Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 3H-geldanamycin-0.04	5/11	1.2487862626820762E-7	0.0014605804128329564	0	0	67.43510928961749	1071.9433426099038	TFAP2A;SPARC;TNC;MMP9;LOXL2
LJP005 A549 24H-dasatinib-0.12	7/45	1.291861474679948E-6	0.007554805903928335	0	0	15.005545889517181	203.46659472197928	POSTN;SPARC;COL4A2;COL4A1;TGFBI;MMP9;LOXL2
LJP006 HME1 24H-XMD-1150-10	11/151	3.09602327877762E-6	0.012070362756194348	0	0	6.47421968787515	82.12801517398721	POSTN;ENPEP;MMP14;SPARC;COL4A2;COL4A1;TNC;SERPINH1;TAGLN2;CEP55;HOXC6
LJP006 LNCAP 24H-palbociclib-1.11	10/143	1.2529042358010894E-5	0.03663491985482385	0	0	6.171705414163022	69.66288552306847	SPARC;TMSB15A;SOX11;MCM10;TGFBI;TK1;MKI67;MMP9;CEP55;LOXL2
LJP006 A375 24H-KIN001-043-10	11/190	2.7391858062209254E-5	0.05498751557551488	0	0	5.053565560302333	53.08904409062176	POSTN;SPARC;COL4A2;COL4A1;TMSB15A;F2R;STON1;TGFBI;MKI67;NID1;CEP55
LJP006 HME1 24H-QL-XII-47-0.37	10/157	2.820836982328055E-5	0.05498751557551488	0	0	5.579939088606154	58.4548382645455	POSTN;SPARC;COL4A2;COL4A1;TK1;MKI67;MMP9;CEP55;AQP1;HOXC6
LJP005 A375 24H-PF-477736-3.33	9/129	3.480807014733458E-5	0.05512304889952774	0	0	6.1346875	62.976624039677034	POSTN;SPARC;COL4A2;F2R;MCM10;TK1;MKI67;NID1;CEP55
LJP006 BT20 24H-XMD11-85H-10	7/74	3.770386381636644E-5	0.05512304889952774	0	0	8.498088072036511	86.55938341585244	POSTN;SPARC;COL4A1;F2R;TAGLN2;VIM;AQP1
LJP006 A375 24H-NVP-TAE684-10	10/178	8.16808787437355E-5	0.10614883975408115	0	0	4.877216577007372	45.907730754368444	POSTN;COL4A2;COL4A1;TMSB15A;MCM10;TK1;MKI67;MMP9;CEP55;LOXL2
LJP006 HME1 24H-sorafenib-3.33	7/88	1.1476361589641324E-4	0.1290936657174154	0	0	7.0242832364044485	63.72876537932675	POSTN;SPARC;HP;TNC;TGFBI;MKI67;CEP55
LJP006 A549 24H-PI-103-1.11	6/63	1.3159545555406954E-4	0.1290936657174154	0	0	8.53108078839073	76.23184463879265	MTHFD2;TNC;MCM10;MKI67;MMP9;CEP55
LJP009 A375 24H-BI-2536-1.11	5/40	1.3244904143373674E-4	0.1290936657174154	0	0	11.543325526932085	103.07396183650295	POSTN;SPARC;COL4A2;COL4A1;NID1
LJP006 HME1 3H-JW-7-24-1-10	6/68	2.0129221967867732E-4	0.17385367150703018	0	0	7.841099163679809	66.73365726177545	FCGBP;SPARC;COL4A2;COL4A1;TGFBI;NID1
LJP006 A375 24H-geldanamycin-3.33	8/131	2.391750583159237E-4	0.17385367150703018	0	0	5.297169652194447	44.169468175636496	POSTN;SPARC;COL4A2;COL4A1;TNC;MCM10;MKI67;CEP55
LJP006 A375 24H-AZD-7762-0.37	7/100	2.55072443694159E-4	0.17385367150703018	0	0	6.1141917710832665	50.58859624571247	POSTN;SPARC;COL4A2;MCM10;MKI67;CEP55;LOXL2
LJP005 HCC515 24H-NU-7441-10	9/168	2.6394048362335154E-4	0.17385367150703018	0	0	4.620754716981132	38.074034282380616	POSTN;COL4A2;COL4A1;TNC;MCM10;TK1;MKI67;CEP55;HOXC6
LJP006 HME1 24H-BI-2536-0.37	7/102	2.8814403634077723E-4	0.17385367150703018	0	0	5.984862983906046	48.788902746789724	POSTN;ENPEP;SPARC;COL4A2;COL4A1;SOX11;MMP9
LJP006 HME1 24H-BI-2536-1.11	7/102	2.8814403634077723E-4	0.17385367150703018	0	0	5.984862983906046	48.788902746789724	POSTN;COL4A2;COL4A1;TNC;SERPINH1;SOX11;MMP9
LJP006 A549 24H-ZSTK-474-10	8/135	2.935033318728664E-4	0.17385367150703018	0	0	5.129284150684484	41.71965618898672	MTHFD2;TMSB15A;MCM10;PRAME;TK1;MKI67;CEP55;HOXC6
LJP005 A375 24H-pelitinib-0.37	6/73	2.9728739997782183E-4	0.17385367150703018	0	0	7.254099871015294	58.90917555365438	NMB;SPARC;COL4A2;TNC;STON1;MKI67
LJP006 A375 24H-KIN001-043-3.33	7/104	3.245758692608383E-4	0.1807733031845126	0	0	5.860867342591804	47.08029605449065	POSTN;SPARC;COL4A2;COL4A1;TMSB15A;F2R;NID1
LJP006 MCF10A 24H-dasatinib-1.11	5/49	3.504345243044879E-4	0.18630373619387683	0	0	9.177999254843517	73.02325207892582	COL4A2;COL4A1;MCM10;TGFBI;CEP55
LJP006 HME1 24H-nintedanib-10	6/76	3.701375841381302E-4	0.18822300800345962	0	0	6.942151675485009	54.85435401659684	POSTN;SPARC;TNC;SERPINH1;TAGLN2;MMP9
LJP006 LNCAP 24H-sirolimus-10	8/142	4.126421421620004E-4	0.18887523376278084	0	0	4.8596024029231435	37.870540500886655	TFAP2A;SPARC;MTHFD2;F2R;TAGLN2;MCM10;TK1;MKI67
LJP006 A375 24H-canertinib-1.11	5/51	4.230626640424015E-4	0.18887523376278084	0	0	8.778064861012117	68.18792223617712	POSTN;SPARC;TMSB15A;NID1;LOXL2
LJP005 A549 24H-YM-201636-10	6/78	4.259773951238864E-4	0.18887523376278084	0	0	6.748628257887517	52.37694260328794	POSTN;HP;TNC;MCM10;PRAME;CEP55
LJP006 BT20 3H-NVP-TAE684-3.33	4/29	4.360149890214674E-4	0.18887523376278084	0	0	12.882285714285715	99.68098758247896	TMSB15A;TNC;SOX11;TGFBI
LJP007 A375 24H-HG-14-8-02-10	9/183	4.941811304286974E-4	0.2064265179105016	0	0	4.219181034482759	32.1189731833406	SPARC;TMSB15A;MCM10;TGFBI;TK1;MKI67;MMP9;CEP55;HOXC6
LJP005 A375 24H-geldanamycin-0.04	6/81	5.218231761652916E-4	0.21045668511825003	0	0	6.477695473251029	48.95959984042888	SPARC;COL4A2;TMSB15A;TNC;SOX11;TGFBI
LJP006 A375 24H-JW-7-24-1-10	6/86	7.179590760407519E-4	0.24438558877089478	0	0	6.071296296296296	43.95070880123791	POSTN;SPARC;COL4A2;COL4A1;MCM10;MKI67
LJP007 A375 24H-TPCA-1-10	6/86	7.179590760407519E-4	0.24438558877089478	0	0	6.071296296296296	43.95070880123791	SPARC;COL4A2;COL4A1;TNC;TGFBI;NID1
LJP006 A375 24H-afatinib-1.11	4/33	7.224695613347127E-4	0.24438558877089478	0	0	11.103166783954961	80.30737630709046	SPARC;TMSB15A;SOX11;LOXL2
