Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	18/151	7.713799949438788E-7	0.013492207491563383	0	0	4.4332514960871565	62.398390414434594	CA12;TFAP2B;ENPEP;SPARC;NNMT;ANXA1;PLA2G2A;TNC;FN1;EMP3;MMP14;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;PLP2
LJP006 HME1 24H-BI-2536-1.11	13/102	1.2612619330240591E-5	0.11030366235261908	0	0	4.755196392367887	53.64247990661729	CA12;CD163;NNMT;ANXA1;SLC43A3;TGFB1I1;IGFBP2;TNC;LOX;COL4A2;COL4A1;SERPINH1;PLP2
LJP008 HEPG2 24H-ABT-737-10	9/57	4.981591700664715E-5	0.21982689950905027	0	0	6.076005025125628	60.1960511996506	CA12;TFAP2A;CSTA;IGFBP2;PLA2G2A;TNC;CHI3L1;HOXB7;HOXB6
LJP007 A375 24H-vorinostat-10	16/167	5.027200263199366E-5	0.21982689950905027	0	0	3.455920978785498	34.206920956760726	PPP1R14B;SPARC;ANXA1;SLC43A3;TGFB1I1;LPL;NID1;TFPI;HOXA10;COL4A2;COL4A1;HOXB2;IGFBP7;TGFBI;HOXB7;NES
LJP006 HME1 24H-BI-2536-10	13/119	6.589015150734888E-5	0.23049692800300786	0	0	3.9890546947087087	38.404710131749844	CSTA;SPARC;NNMT;ANXA1;IGFBP2;TNC;SRPX2;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7
LJP006 MDAMB231 3H-dasatinib-0.37	8/50	1.184572798332569E-4	0.2550363877231684	0	0	6.164038859691034	55.72881748948457	HOXA10;TFAP2B;PLAU;PDPN;CHI3L1;IGF2BP3;CD44;LTF
LJP008 A375 24H-vorinostat-10	14/145	1.3470394554531982E-4	0.2550363877231684	0	0	3.4774344955642666	30.99239563727473	PPP1R14B;SPARC;TGFB1I1;NID1;LOXL2;HOXA10;COL4A2;COL4A1;SERPINH1;HOXB2;IGFBP7;HOXB7;HOXB6;LTF
LJP008 A549 24H-PFI-1-10	11/97	1.6964587439124157E-4	0.2550363877231684	0	0	4.150635137776041	36.034973286825924	CA12;NNMT;COL4A2;COL4A1;GDF15;HOXB2;IGF2BP3;EMP3;TFPI;HOXB7;HOXA5
LJP006 HME1 24H-KIN001-043-0.12	11/98	1.8596515894787134E-4	0.2550363877231684	0	0	4.102714189123925	35.242114751229586	CSTA;SPARC;ANXA1;FOXD1;COL4A2;COL4A1;TGFB1I1;FN1;PI3;IGF2BP2;CD44
LJP008 A549 24H-I-BET151-10	15/168	1.8869390506573883E-4	0.2550363877231684	0	0	3.1918317242294547	27.371183993607858	ABCC3;CA12;NNMT;ANXA1;GDF15;EMP3;TFPI;COL4A2;COL4A1;SPP1;HOXB2;IGF2BP3;TGFBI;HOXB7;HOXA5
LJP006 HS578T 24H-JW-7-24-1-0.12	5/19	2.052195178403033E-4	0.2550363877231684	0	0	11.516520085571667	97.79172798534333	TNC;CHI3L2;TAGLN2;EMP3;CD44
LJP006 BT20 3H-geldanamycin-0.04	4/11	2.3238067926925615E-4	0.2550363877231684	0	0	18.40246796392976	153.9759093510499	TFAP2A;SPARC;TNC;LOXL2
LJP006 HS578T 3H-XMD-1150-1.11	6/30	2.4091494442511356E-4	0.2550363877231684	0	0	8.070833333333333	67.23865013423557	HOXA10;COL4A2;GDF15;TNC;HOXB2;HOXB7
LJP006 MDAMB231 3H-geldanamycin-0.04	6/30	2.4091494442511356E-4	0.2550363877231684	0	0	8.070833333333333	67.23865013423557	HOXA10;CA12;SPP1;CHI3L1;IGF2BP3;LTF
LJP005 MCF10A 3H-AZD-6482-10	7/42	2.4292892192882156E-4	0.2550363877231684	0	0	6.463772954924875	53.79631245119237	IGFBP2;TNC;CHI3L1;IGFBP7;EMP3;NES;LTF
LJP008 A375 24H-I-BET151-0.37	10/85	2.4573454999710564E-4	0.2550363877231684	0	0	4.321923937360179	35.92062779414357	CSTA;SPARC;ANXA1;COL4A2;COL4A1;CHI3L2;FN1;LPL;HOXB2;FCGR2B
LJP006 HME1 24H-BI-2536-0.37	11/102	2.652074198762545E-4	0.2550363877231684	0	0	3.921562471142303	32.294060368011145	TFAP2B;ENPEP;CSTA;SPARC;ANXA1;COL4A2;COL4A1;TGFB1I1;IGFBP2;HOXB2;IGFBP7
LJP009 HEPG2 24H-rondual-kinase-inhibitor-10	7/43	2.8267047345604846E-4	0.2550363877231684	0	0	6.283899091077722	51.347176874367726	CA12;SPARC;LOX;HOXB2;TGFBI;CD44;LOXL2
LJP007 HEPG2 24H-dacomitinib-0.04	6/31	2.911504552063325E-4	0.2550363877231684	0	0	7.7476	63.07840556164061	CA12;CSTA;CHI3L1;HOXB2;HOXB6;TMEM45A
LJP009 HEPG2 24H-dasatinib-10	8/57	3.0278104351481085E-4	0.2550363877231684	0	0	5.2815507473892565	42.7937683232772	CA12;MS4A6A;ST14;PLA2G2A;TNC;SPP1;TAGLN2;TGFBI
LJP005 SKBR3 24H-NU-7441-3.33	7/44	3.274703911999785E-4	0.2550363877231684	0	0	6.113748138789875	49.05740540273535	NNMT;SLC43A3;APOC1;TNC;SPP1;FN1;TFPI
LJP006 HCC515 24H-GSK-1059615-10	7/44	3.274703911999785E-4	0.2550363877231684	0	0	6.113748138789875	49.05740540273535	CA12;TFAP2B;IGF2BP3;CD44;LOXL2;LTF;TMEM45A
LJP006 A549 24H-XMD-1150-10	6/32	3.492470380743141E-4	0.2550363877231684	0	0	7.449230769230769	59.293873383043376	CA12;IGFBP2;FN1;IGFBP7;EMP3;CD44
LJP007 A375 24H-XMD-885-10	9/73	3.49944160159856E-4	0.2550363877231684	0	0	4.553234924623116	36.233445840904764	SPARC;COL4A2;COL4A1;SERPINH1;HOXB2;IGFBP7;HOXB7;HOXB6;LOXL2
LJP008 HEPG2 24H-I-BET-10	12/124	3.903496891203871E-4	0.27310425649618764	0	0	3.477994227994228	27.296924948137693	CA12;STEAP3;CSTA;SLC43A3;IL1R2;CLEC5A;IGFBP2;SPP1;CHI3L1;PI3;TGFBI;EMP3
LJP005 A549 24H-XMD16-144-10	13/143	4.174777526985979E-4	0.28085012970966067	0	0	3.248566610455312	25.2780041272427	NNMT;ANXA1;ANXA2;EMP3;TFPI;COL4A2;TAGLN2;HOXB2;IGFBP7;TGFBI;HOXB7;SLC16A4;S100A11
LJP008 A549 24H-I-BET151-3.33	11/109	4.723063914591805E-4	0.29809558671193237	0	0	3.6401303378494254	27.87569095259725	HOXA10;CA12;LOX;COL4A2;SPP1;TGFBI;EMP3;TFPI;HOXB7;HOXA5;S100A11
LJP006 HCC515 24H-A443654-1.11	13/145	4.7719835503596744E-4	0.29809558671193237	0	0	3.199013746231284	24.46470815462713	CA12;NNMT;ANXA1;DYNLT1;PLA2G2A;TNC;LOXL2;CHI3L1;TAGLN2;TGFBI;CD44;PPIC;LTF
LJP005 PC3 24H-SAR-245408-10	8/62	5.427223442886344E-4	0.31561550781941244	0	0	4.79127957388827	36.025212862716664	HOXA10;TFAP2B;PRRX1;SPP1;IGF2BP3;HOXB7;CD44;HOXB6
LJP008 HEPG2 24H-I-BET151-10	12/129	5.594390781637839E-4	0.31561550781941244	0	0	3.328498661831995	24.92571493658227	CA12;CSTA;COL4A2;COL4A1;IL1R2;CLEC5A;SERPINH1;SPP1;CA9;NID1;LYZ;HOXA5
LJP005 PC3 24H-NU-7441-0.37	6/35	5.792013891960143E-4	0.31561550781941244	0	0	6.677586206896552	49.773794850427365	CA12;SRPX;SPP1;LPL;TGFBI;CPVL
LJP008 PC3 24H-I-BET151-3.33	15/187	5.95363589329497E-4	0.31561550781941244	0	0	2.8364419785149333	21.064377600207987	CA12;CSTA;SPARC;ANXA1;TFPI;MRC2;MMP14;LOX;COL4A2;COL4A1;TAGLN2;HOXB2;IGFBP7;IGF2BP3;NES
LJP008 A375 24H-belinostat-3.33	11/112	5.954669120142136E-4	0.31561550781941244	0	0	3.5314585240036607	26.22519275082523	SPARC;COL4A2;COL4A1;TGFB1I1;SERPINH1;HOXB2;IGFBP7;NID1;HOXB7;HOXB6;LTF
LJP006 A549 24H-BI-2536-3.33	14/168	6.149829497600137E-4	0.31637255218389415	0	0	2.9545454545454546	21.845660951959974	ABCC3;CA12;ENPEP;NNMT;GDF15;FN1;TFPI;LOX;COL4A2;COL4A1;HOXB2;ANG;HOXB7;SLC16A4
LJP006 MCF10A 24H-dasatinib-1.11	7/49	6.442004645315226E-4	0.3202499678219568	0	0	5.384529771841959	39.56283572916048	COL4A2;PLAU;COL4A1;TGFB1I1;SPP1;IGF2BP3;TGFBI
LJP008 A375 24H-I-BET151-3.33	8/64	6.738813475437649E-4	0.3202499678219568	0	0	4.619684663162924	33.73504631849638	HOXA10;CA12;FCGBP;CD163;COL4A2;SERPINH1;IGF2BP3;LTF
LJP006 HME1 3H-radicicol-0.12	6/36	6.774483339667487E-4	0.3202499678219568	0	0	6.454666666666666	47.10084687216894	SRPX;CSTA;NNMT;TNC;CPVL;LTF
LJP007 A549 24H-vorinostat-10	8/65	7.484225950001987E-4	0.32281539329773307	0	0	4.538402863345655	32.66534872978879	CA12;ANXA1;COL4A2;COL4A1;IL1R2;EMP3;TGFBI;HOXB7
