Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 A549 24H-WH-4-025-0.37	8/47	4.700433143943315E-4	0.9999958654597652	0	0	5.008786542544504	38.38075706009259	COL3A1;ANXA1;ANXA2;COL4A1;EIF4EBP1;FN1;ANXA2P2;LOXL2
LJP005 HCC515 24H-YM-201636-0.37	6/27	5.52215348539953E-4	0.9999958654597652	0	0	6.9653294608821925	52.25092368365042	CXCL10;COL3A1;NNMT;CSRP2;IGFBP7;IDO1
LJP008 HEPG2 24H-NPK76-II-72-1-10	8/49	6.28708528563551E-4	0.9999958654597652	0	0	4.763958365698307	35.11915216468019	CXCL10;ADAMDEC1;CXCL9;COL3A1;ANXA1;CHI3L1;LYZ;GBP1
LJP005 MCF7 24H-linsitinib-0.37	7/39	7.610290167530798E-4	0.9999958654597652	0	0	5.336553753180661	38.32093369566221	CXCL10;NNMT;CSRP2;SPP1;HAS2;PI3;GBP1
LJP007 PC3 24H-SB-525334-0.12	7/42	0.0012042558659174864	0.9999958654597652	0	0	4.878371501272265	32.79189339937199	CXCL9;CSTA;LOX;MMP2;FN1;IGFBP7;IDO1
LJP005 A549 24H-dasatinib-0.12	7/45	0.0018278519456265613	0.9999958654597652	0	0	4.492533815454667	28.323690697860425	COL3A1;COL4A1;CHI3L1;TGFBI;GBP1;MMP9;LOXL2
LJP009 MCF7 24H-AZD-1480-10	5/25	0.002654267843024458	0.9999958654597652	0	0	6.087246192893401	36.10702689957735	PRDX4;CSRP2;VNN1;LYZ;MMP9
LJP005 SKBR3 3H-crizotinib-0.37	5/26	0.0031804596767199766	0.9999958654597652	0	0	5.797075175247764	33.33741145711006	FCGBP;COL3A1;LOX;SPP1;TGFBI
LJP006 HS578T 24H-GSK-1059615-3.33	7/51	0.0037995223727221813	0.9999958654597652	0	0	3.8787011334721258	21.615535629588503	MTHFD2;CHI3L2;EIF4EBP1;TAGLN2;EMP3;GBP1;S100A11
LJP005 HS578T 3H-PD-184352-0.12	6/41	0.005240726281791145	0.9999958654597652	0	0	4.1761481212561264	21.930186528760434	CXCL10;CXCL9;CSTA;PLAU;GBP1;MMP9
LJP005 HS578T 3H-torin-2-0.04	6/42	0.005913473093238726	0.9999958654597652	0	0	4.05993223210504	20.82957145806867	CXCL10;CXCL9;CSTA;SPP1;GBP1;MMP9
LJP005 SKBR3 24H-TG-101348-1.11	5/30	0.006047167569665886	0.9999958654597652	0	0	4.868527918781726	24.869245312870856	SLC43A3;HP;SPP1;CHI3L1;MMP9
LJP006 BT20 3H-WYE-125132-0.12	4/20	0.007153721823281763	0.9999958654597652	0	0	6.080798479087452	30.039889524258886	SPP1;CHI3L1;MMP9;TMEM45A
LJP006 HME1 24H-XMD-1150-10	13/151	0.007169670503604349	0.9999958654597652	0	0	2.3030193236714975	11.372068939687926	NNMT;ANXA1;FN1;EMP3;MMP14;COL3A1;LOX;COL4A1;MFAP2;SERPINH1;TAGLN2;IGFBP7;GBP1
LJP006 HME1 24H-BI-2536-1.11	10/102	0.007240254995990175	0.9999958654597652	0	0	2.6535343439391417	13.076879556136635	CD163;NNMT;ANXA1;LOX;COL4A1;SLC43A3;MFAP2;SERPINH1;MMP9;GBP1
LJP006 HME1 24H-BI-2536-10	11/119	0.007704163472809048	0.9999958654597652	0	0	2.4875556502794356	12.1044318278772	CSTA;COL3A1;NNMT;ANXA1;SRPX2;LOX;COL4A1;SERPINH1;TAGLN2;IGFBP7;GBP1
LJP005 HS578T 3H-NVP-BEZ235-3.33	5/32	0.008007272937809463	0.9999958654597652	0	0	4.507426207933822	21.759171962384404	CXCL10;CXCL9;IL1R2;LYZ;GBP1
LJP008 PC3 24H-I-BET-0.04	5/33	0.009135748525309845	0.9999958654597652	0	0	4.34622008701958	20.40793785302143	LOX;CHI3L2;S100A4;PI3;LYZ
LJP005 MCF10A 3H-linsitinib-3.33	5/33	0.009135748525309845	0.9999958654597652	0	0	4.34622008701958	20.40793785302143	COL3A1;SPP1;CHI3L1;PI3;TREM1
LJP005 SKBR3 24H-withaferin-a-0.37	6/46	0.009242180216983814	0.9999958654597652	0	0	3.653176620076239	17.111396971197664	CXCL10;ADAMDEC1;CXCL9;CHI3L1;GBP1;IDO1
LJP005 SKBR3 24H-buparlisib-3.33	8/75	0.009570955038348457	0.9999958654597652	0	0	2.9113033558323034	13.534714175222048	CXCL10;CXCL9;SLC43A3;IL1R2;HP;PI3;LYZ;PPIC
LJP006 HS578T 24H-BI-2536-1.11	11/123	0.009779187172697297	0.9999958654597652	0	0	2.398212002192181	11.09772342505117	CXCL10;CXCL9;COL3A1;NNMT;ANXA1;LOX;MFAP2;S100A4;IGFBP7;GBP1;S100A11
LJP008 HEPG2 24H-I-BET-10	11/124	0.010359512659283594	0.9999958654597652	0	0	2.3768644048615983	10.86191399989711	STEAP3;CSTA;SLC43A3;IL1R2;CLEC5A;SPP1;CHI3L1;PI3;TGFBI;EMP3;MMP9
LJP008 HA1E 24H-(+)-JQ1-0.04	7/62	0.011112484350482005	0.9999958654597652	0	0	3.10117973629424	13.95433531090228	CXCL10;CXCL9;SRPX2;LOX;CHI3L2;CHI3L1;GBP1
LJP005 MDAMB231 24H-neratinib-10	6/48	0.011330171044563414	0.9999958654597652	0	0	3.4788527863496097	15.586255808541136	CXCL10;PLAU;CYTL1;IGFBP7;MMP9;LOXL2
LJP006 PC3 24H-sirolimus-1.11	6/48	0.011330171044563414	0.9999958654597652	0	0	3.4788527863496097	15.586255808541136	CXCL10;CXCL9;CSTA;EMP3;GBP1;TMEM45A
LJP008 HA1E 24H-I-BET151-0.37	10/109	0.01134191709900533	0.9999958654597652	0	0	2.465007675735645	11.041385480239846	CXCL10;CXCL9;PRDX4;ANXA1;SRPX2;CHI3L1;PI3;EMP3;GBP1;IDO1
LJP005 BT20 3H-PLX-4720-10	4/23	0.011902680307959055	0.9999958654597652	0	0	5.119871923153893	22.686109834071218	CSTA;COL3A1;CHI3L1;IGFBP7
LJP006 BT20 24H-KIN001-043-3.33	11/127	0.012259817103759759	0.9999958654597652	0	0	2.3150299850074965	10.189438414299268	FCGBP;COL3A1;NNMT;VNN1;CSRP2;MFAP2;FN1;IGFBP7;TGFBI;MMP9;TMEM45A
LJP006 A549 24H-dasatinib-1.11	6/49	0.012490007341257192	0.9999958654597652	0	0	3.397771933453503	14.891844419244125	CSTA;COL3A1;IL1R2;FN1;TAGLN2;IGFBP7
LJP005 HA1E 24H-AZD-6482-1.11	5/36	0.013168098150750053	0.9999958654597652	0	0	3.9250040936630097	16.9951035871596	CXCL10;COL3A1;IL1R2;LYZ;TMEM45A
LJP008 HEPG2 24H-dasatinib-3.33	4/24	0.013844398010096962	0.9999958654597652	0	0	4.8636248415716095	20.815704442711393	CXCL10;IL1R2;PI3;LYZ
LJP008 HA1E 24H-methylstat-10	8/80	0.013856719130114718	0.9999958654597652	0	0	2.7084217975937723	11.589296322064612	MS4A6A;CXCL10;CXCL9;LOX;TAGLN2;LYZ;GBP1;IDO1
LJP009 A549 24H-serdemetan-3.33	2/5	0.014496298312938001	0.9999958654597652	0	0	16.185419300463547	68.52683093576066	CHI3L1;MMP9
LJP005 MDAMB231 3H-torin-2-0.37	5/37	0.01474161922806535	0.9999958654597652	0	0	3.80214942893401	16.033970388237016	COL3A1;NNMT;SPP1;FN1;LYZ
