Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	48/163	7.602529751462478E-41	1.617818331111215E-36	0	0	20.922277005826984	1932.7478064378658	PCNA;TROAP;HJURP;TNC;KIF14;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;OSR2;RRM2;UBE2C;PLK1;KIF23;EMP3;NDC80;CCNA2;TPX2;ASPM;NEIL3;WEE1;RAD51;KIF4A;CDK2;CDK1;DEPDC1;CENPM;KIF20A;PLP2;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	47/168	7.557454094382764E-39	8.041131156423261E-35	0	0	19.41449786483673	1704.1713122146273	SPARC;PCNA;TROAP;HJURP;KIF14;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;RRM2;UBE2C;PLK1;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;RAD51;KIF4A;CDK2;CDK1;CENPM;KIF20A;PLP2;ASF1B;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	49/195	5.368209365382603E-38	3.8078498431780598E-34	0	0	16.839793281653748	1445.1529868880302	KIF14;HJURP;BUB1B;MKI67;CDC20;MDK;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;DEPDC1;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;SKA1;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	47/178	1.4687938112666046E-37	7.813983075938336E-34	0	0	17.92325202613866	1520.092636149266	SLC43A3;TROAP;HJURP;TNC;KIF14;BUB1B;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;OIP5;GTSE1;BUB1;CEP55;DLGAP5;E2F8;ANXA1;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;RAD51;KIF4A;CDK2;CDK1;DEPDC1;TAGLN2;KIF20A;PLP2;ASF1B;EZH2;APOBEC3B
LJP005 A549 24H-dovitinib-10	50/215	5.633417727756124E-37	1.997985487444172E-33	0	0	15.229235358769037	1271.1375540269275	ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MKI67;CDC20;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;DEPDC1;CKS2;KIF20A;ASF1B;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;SKA1;AURKA;RAD51AP1;CCNB2;BRIP1;BUB1;E2F8;POLQ;RRM2;UBE2C;PLK1;LYZ;NDC80;TPX2;COL3A1;KIF18A;RAD51;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
LJP006 HME1 24H-palbociclib-10	50/215	5.633417727756124E-37	1.997985487444172E-33	0	0	15.229235358769037	1271.1375540269275	KIF14;HJURP;BUB1B;MKI67;CDC20;EXO1;NUSAP1;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;DEPDC1;CKS2;KIF20A;ASF1B;PCNA;TROAP;NCAPG;CDCA8;HMMR;TYMS;CENPA;SKA1;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 A375 24H-palbociclib-10	44/154	7.444596813767188E-37	2.100992695324014E-33	0	0	19.851020408163265	1651.3698605160378	TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;BRIP1;CDC45;EXO1;NUSAP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;RRM2;UBE2C;PLK1;KIF23;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;RAD51;KIF4A;CDK1;DEPDC1;CENPM;KIF20A;ASF1B;EZH2;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	47/184	7.898468779413587E-37	2.100992695324014E-33	0	0	17.133000581689902	1424.2488545654048	PCNA;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;NUSAP1;RCC1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;WEE1;MELK;RAD51;KIF4A;CDK2;CDK1;DEPDC1;CKS2;CENPM;KIF20A;ASF1B;APOBEC3B
LJP006 HME1 24H-palbociclib-1.11	40/124	6.081393984700435E-36	1.4379118221602807E-32	0	0	23.424723424723425	1899.4599769065874	TROAP;HJURP;KIF14;NCAPG;CDCA8;HMMR;MKI67;TYMS;CENPA;AURKA;CDC20;RAD51AP1;CCNB2;NUSAP1;RCC1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF4A;CDK2;CDK1;DEPDC1;CKS2;KIF20A;ASF1B;EZH2
LJP006 MCF10A 24H-mitoxantrone-0.37	43/154	1.463748289985941E-35	3.1148563610900824E-32	0	0	19.17518281640419	1538.0314001760376	TROAP;HJURP;KIF14;NCAPG;CDCA8;HMMR;MKI67;CENPA;SKA1;AURKA;CDC20;CCNB2;CDC45;EXO1;NUSAP1;EIF4EBP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;PLK1;KIF23;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;RAD51;KIF4A;CDK1;DEPDC1;CKS2;CENPM;KIF20A;ASF1B;EZH2;APOBEC3B
