Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	51/129	5.0368205812491855E-36	1.0683600134887649E-31	0	0	15.44600133447717	1255.3936575712246	SPARC;HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK1;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	56/163	1.3725609000306457E-35	1.4556694625275013E-31	0	0	12.421749364905493	997.1410240414439	HJURP;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	56/168	8.777973261937327E-35	6.206319695298421E-31	0	0	11.864089775561098	930.3609529070794	SPARC;HJURP;MCM10;FOXM1;CDC20;CSRP2;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;MELK;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	52/143	1.5050079795299006E-34	7.647682476871261E-31	0	0	13.50655795817086	1051.8785098287094	SPARC;HJURP;MCM10;FOXM1;CDC20;CSRP2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;IGFBP2;KIF23;CCNA2;MELK;KIFC1;TMSB15A;BIRC5;CHI3L1;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;E2F2;BUB1;GINS2;RRM2;UBE2C;GDF15;PLK1;NDC80;TPX2;KIF4A;CDK2;CDK1;ID3;SPC25
LJP006 BT20 24H-PHA-793887-3.33	58/184	1.8027633013227244E-34	7.647682476871261E-31	0	0	10.941746031746032	850.1580473970652	HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	59/195	6.200274933691968E-34	2.191900526975672E-30	0	0	10.319461827284105	789.060100652793	HJURP;BUB1B;MCM10;FOXM1;CDC20;CSRP2;PTTG1;MDK;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;WDR76;CCNA2;NEIL3;MELK;TMSB15A;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK1;CENPM;PLP2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	56/178	2.890853933574737E-33	8.759700397864822E-30	0	0	10.88590000408814	815.6125171790528	HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;CEP55;DLGAP5;ANXA1;KIF23;CCNA2;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;ASF1B;SLC43A3;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;PLP2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	56/180	5.6322056513541016E-33	1.493308925885898E-29	0	0	10.709194755047864	795.2306073636246	HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;IGFBP2;F2R;KIF23;CCNA2;NEIL3;MELK;KIFC1;DEPDC1;BIRC5;KIF20A;HOXB7;DTL;ASF1B;TMEM45A;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK2;CDK1;SPC25
LJP006 A375 24H-palbociclib-10	52/154	1.0859927972640236E-32	2.559443691418578E-29	0	0	12.043010752688172	886.3683418610116	HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	60/215	2.6427931016524167E-32	4.8030040308255135E-29	0	0	9.210283773951007	669.6878992707353	ARHGAP11A;ERCC6L;HJURP;BUB1B;MCM10;FOXM1;CDC20;PTTG1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;HOXB7;DTL;ASF1B;TROAP;NCAPG;CDCA8;LPL;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;GINS2;RRM2;UBE2C;PLK1;LYZ;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;ID3;CENPM;NES;APOBEC3B;SPC25
