Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	25/124	2.0868793319613845E-10	4.150385615404801E-6	0	0	5.510037226455137	122.81972776893005	NCAPG;TYMS;AURKA;CDC20;RAD51AP1;PTTG1;PBK;SPP1;RCC1;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;CDC25C;NDC80;TPX2;KIF18A;MELK;CDK2;CDK1;CKS2;BIRC5;DTL;SPC25
LJP005 SKBR3 24H-pelitinib-0.04	24/121	6.810694208203655E-10	6.4495272929664165E-6	0	0	5.393076704814149	113.83359466515513	UBE2C;NCAPG;LYZ;TYMS;NDC80;AURKA;CDC20;RAD51AP1;CXCL10;TPX2;MELK;CDC45;RAD51;PTTG1;EXO1;CDK1;PBK;CKS2;BIRC5;OIP5;DTL;GBP1;DLGAP5;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	26/143	9.728772063002439E-10	6.4495272929664165E-6	0	0	4.849808429118774	100.63722648575818	SPARC;PCNA;NCAPG;TYMS;CDC20;RAD51AP1;CSRP2;CDC45;PTTG1;PBK;SPP1;OIP5;DLGAP5;GINS2;UBE2C;GDF15;IGFBP2;NDC80;TPX2;MELK;CDK2;CDK1;ID3;BIRC5;DTL;SPC25
LJP006 BT20 24H-palbociclib-10	28/168	1.7529170638813613E-9	8.715503641618128E-6	0	0	4.369585253456221	88.09951033989745	SPARC;PCNA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CSRP2;CDC45;PTTG1;EXO1;PBK;OIP5;IGF2BP3;DLGAP5;GINS2;CDKN2C;UBE2C;NDC80;TPX2;KIF18A;MELK;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 LNCAP 24H-torin-1-0.04	26/150	2.818812758411295E-9	1.1212109627856767E-5	0	0	4.574341861327401	90.05483972780276	PCNA;NCAPG;TYMS;CDC20;CDC45;PTTG1;EXO1;EIF4EBP1;PBK;DLGAP5;GINS2;CDKN2C;UBE2C;IL1R2;EMP3;NDC80;TPX2;MELK;RAD51;MTHFD2;CDK2;CDK1;CKS2;BIRC5;DTL;SPC25
LJP006 LNCAP 24H-sirolimus-10	25/142	4.07157441453774E-9	1.2456802631710472E-5	0	0	4.657923400747741	89.98752181347001	CXCL9;SPARC;PCNA;NCAPG;TYMS;RAD51AP1;CDC45;EXO1;EIF4EBP1;PBK;GBP1;GINS2;UBE2C;F2R;NDC80;TPX2;MELK;RAD51;MTHFD2;CDK2;CDK1;BIRC5;TAGLN2;DTL;SPC25
LJP006 HEPG2 24H-PI-103-10	21/103	4.695092776687098E-9	1.2456802631710472E-5	0	0	5.567414634146341	106.76490724865488	GINS2;PCNA;UBE2C;NCAPG;LPL;EMP3;TYMS;AQP1;AURKA;CDC20;TPX2;MELK;PRDX4;PTTG1;CDK1;PBK;CKS2;ID3;BIRC5;DTL;SPC25
LJP006 MDAMB231 24H-palbociclib-0.12	20/94	5.010781428684824E-9	1.2456802631710472E-5	0	0	5.871282241145255	112.2100319212149	GINS2;PCNA;UBE2C;NCAPG;NDC80;AURKA;RAD51AP1;TPX2;MELK;RAD51;PTTG1;EXO1;PBK;CDK1;BIRC5;OIP5;DTL;NES;DLGAP5;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	28/179	7.550938215698375E-9	1.6685895470423256E-5	0	0	4.048921170690024	75.7212799306595	NCAPG;LPL;TYMS;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;EIF4EBP1;PBK;SPP1;OIP5;IGF2BP3;DLGAP5;GINS2;UBE2C;CDC25C;NDC80;TPX2;MELK;RAD51;MTHFD2;CDK2;CDK1;CKS2;BIRC5;DTL;SPC25
LJP006 HME1 24H-palbociclib-10	31/215	8.917350729105092E-9	1.7734827130044205E-5	0	0	3.685096757979392	68.30425210125698	PCNA;NCAPG;TYMS;SKA1;AURKA;CDC20;RAD51AP1;CSRP2;CDC45;PTTG1;EXO1;PBK;RCC1;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;CDC25C;NDC80;TPX2;KIF18A;WEE1;MELK;RAD51;CDK2;CKS2;CDK1;BIRC5;DTL;SPC25
LJP006 LNCAP 24H-PI-103-1.11	28/182	1.0997044957101974E-8	1.8741661867768663E-5	0	0	3.9694176790950984	72.74211638196655	CXCL9;CSTA;PCNA;NCAPG;LPL;TYMS;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;OIP5;GBP1;DLGAP5;GINS2;UBE2C;NDC80;CXCL10;TPX2;RAD51;CDK2;CDK1;CKS2;ID3;BIRC5;DTL;SPC25
LJP006 MDAMB231 24H-BI-2536-3.33	21/108	1.1453214011527897E-8	1.8741661867768663E-5	0	0	5.2460689655172414	95.9243471472327	GINS2;CDKN2C;UBE2C;SLC43A3;IGFBP2;NCAPG;NDC80;AURKA;CDC20;RAD51AP1;TPX2;MELK;PTTG1;CDK1;PBK;BIRC5;OIP5;DTL;DLGAP5;IDO1;SPC25
LJP007 A549 24H-NVP-BGT226-1.11	17/72	1.3481645964891397E-8	1.8741661867768663E-5	0	0	6.698376254007654	121.38755003047862	GINS2;CSTA;PCNA;UBE2C;NCAPG;TYMS;RAD51AP1;TPX2;CSRP2;RAD51;PTTG1;CDK1;BIRC5;OIP5;DTL;NES;DLGAP5
LJP006 BT20 24H-PHA-793887-3.33	28/184	1.4059317861903523E-8	1.8741661867768663E-5	0	0	3.9181141439205955	70.83942719333754	PCNA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;RCC1;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;CDC25C;NDC80;TPX2;WEE1;MELK;RAD51;CDK2;CDK1;CKS2;BIRC5;DTL;SPC25
LJP006 A549 24H-torin-1-0.37	24/140	1.4283693871236085E-8	1.8741661867768663E-5	0	0	4.505219867130655	81.3829550240474	GINS2;CSTA;PCNA;UBE2C;NCAPG;TYMS;NDC80;AURKA;CDC20;RAD51AP1;TPX2;MELK;CSRP2;RAD51;CDK2;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;OIP5;DTL;DLGAP5;SPC25
LJP006 HS578T 24H-palbociclib-10	25/152	1.7038172664220386E-8	1.8741661867768663E-5	0	0	4.288897728197293	76.71898578135428	PCNA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;BRIP1;CDC45;PTTG1;EXO1;PBK;SPP1;DLGAP5;GINS2;CDKN2C;UBE2C;NDC80;TPX2;KIF18A;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 BT20 24H-palbociclib-3.33	26/163	1.7056510977696843E-8	1.8741661867768663E-5	0	0	4.1374444164778925	74.00536701639274	PCNA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;EMP3;CDC25C;NDC80;TPX2;WEE1;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 A549 24H-GSK-2126458-3.33	28/186	1.7904845911484545E-8	1.8741661867768663E-5	0	0	3.8681094324213965	69.00008816851107	CXCL9;CSTA;PCNA;NCAPG;LPL;TYMS;AURKA;CDC20;RAD51AP1;CSRP2;CDC45;EXO1;PBK;OIP5;GBP1;DLGAP5;GINS2;UBE2C;NDC80;CXCL10;TPX2;MELK;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 PC3 24H-NVP-TAE684-10	28/186	1.7904845911484545E-8	1.8741661867768663E-5	0	0	3.8681094324213965	69.00008816851107	PCNA;NCAPG;TYMS;SKA1;AURKA;RAD51AP1;CSRP2;CDC45;ORC1;EXO1;PBK;RCC1;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;WDR76;NDC80;TPX2;KIF18A;MELK;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 LNCAP 24H-PHA-793887-0.37	18/83	2.1287050136659015E-8	2.0301048204530734E-5	0	0	6.004941300157701	106.0782904356714	GINS2;PCNA;GDF15;UBE2C;TYMS;CDC20;TPX2;MELK;PTTG1;CDK2;PBK;CKS2;SPP1;CDK1;BIRC5;OIP5;DTL;DLGAP5
LJP006 MCF10A 24H-mitoxantrone-0.37	25/154	2.2325080622554107E-8	2.0301048204530734E-5	0	0	4.221958187595119	74.38058099511507	NCAPG;SKA1;AURKA;CDC20;CDC45;PTTG1;EXO1;EIF4EBP1;PBK;SPP1;OIP5;DLGAP5;GINS2;UBE2C;IGFBP2;NDC80;TPX2;KIF18A;MELK;RAD51;CDK1;CKS2;BIRC5;DTL;SPC25
LJP005 A549 24H-crizotinib-10	21/112	2.245691173067559E-8	2.0301048204530734E-5	0	0	5.0144175824175825	88.31225465597409	GINS2;UBE2C;NCAPG;AURKA;RAD51AP1;TPX2;MELK;CSRP2;CDC45;RAD51;EXO1;CDK2;CDK1;PBK;ID3;BIRC5;OIP5;IGFBP7;DTL;DLGAP5;SPC25
LJP006 HS578T 24H-palbociclib-1.11	25/156	2.9106915101383703E-8	2.5168622936361698E-5	0	0	4.157062602431179	72.13455606934852	CXCL9;PCNA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;NDC80;TPX2;MELK;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 A549 24H-ZSTK-474-10	23/135	3.21136689964741E-8	2.5375926595067327E-5	0	0	4.4675175912289316	77.08247736050201	GINS2;CXCL9;CSTA;UBE2C;NCAPG;NDC80;AURKA;TPX2;MELK;CSRP2;RAD51;MTHFD2;EXO1;EIF4EBP1;CDK1;PBK;CKS2;BIRC5;OIP5;DTL;DLGAP5;IDO1;SPC25
LJP006 A549 24H-PI-103-10	25/157	3.317448167094482E-8	2.5375926595067327E-5	0	0	4.125352259680618	71.044691568626	CSTA;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CSRP2;CDC45;EXO1;EIF4EBP1;PBK;OIP5;GBP1;DLGAP5;GINS2;UBE2C;NDC80;TPX2;MELK;RAD51;CDK2;CDK1;BIRC5;DTL;SPC25
LJP006 MDAMB231 24H-palbociclib-10	25/157	3.317448167094482E-8	2.5375926595067327E-5	0	0	4.125352259680618	71.044691568626	PCNA;SLC43A3;NCAPG;TYMS;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;OIP5;DLGAP5;GINS2;CDKN2C;UBE2C;IL1R2;NDC80;TPX2;MELK;CDK1;CKS2;BIRC5;DTL;SPC25
