Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	49/129	8.014646984637406E-35	9.69015264963077E-31	0	0	15.359924540682414	1205.895503164389	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;BUB1;GINS2;RRM2;NDC80;TPX2;KIF18A;KIF4A;CDK1;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	54/163	1.1364748313646597E-34	9.69015264963077E-31	0	0	12.48675966211385	975.9646599881237	TOP2A;HJURP;KIF14;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;EMP3;CDC25C;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;CDK1;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	54/168	6.7200149683792784E-34	2.8790813029418902E-30	0	0	11.935966071056107	911.7025423921922	TOP2A;SPARC;HJURP;KIF14;MCM10;KIF15;LMNB1;CDC20;CSRP2;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	52/154	6.753254683497074E-34	2.8790813029418902E-30	0	0	12.820326022372058	979.1891763175529	TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF4A;CDK1;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	56/184	1.080535760844571E-33	3.278663611286492E-30	0	0	11.045281456953642	838.4235799249062	TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;RAD51;KIF4A;CDK2;CDK1;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	60/215	1.1535789402286375E-33	3.278663611286492E-30	0	0	9.81091877496671	744.0840071263453	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;HOXB7;DTL;ASF1B;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;RAD51AP1;CCNB2;BRIP1;BUB1;E2F8;GINS2;POLQ;RRM2;UBE2C;LYZ;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;NES;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	55/178	1.7080329967917008E-33	4.1610123848984106E-30	0	0	11.277046500623737	850.8527711580538	TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;CEP55;DLGAP5;ANXA1;KIF23;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;ASF1B;SLC43A3;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18A;RAD51;KIF4A;CDK2;CDK1;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	47/124	2.14516024100233E-33	4.572677198726592E-30	0	0	15.269327531107637	1148.5907880336395	TOP2A;HJURP;KIF14;NCAPG;TTK;HMMR;TYMS;CENPA;KIF15;LMNB1;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;BUB1;CEP55;DLGAP5;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;KIF23;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIFC1;KIF4A;CDK2;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;SPC25
LJP006 LNCAP 24H-palbociclib-10	55/180	3.2901002701852644E-33	6.234008878607702E-30	0	0	11.095449735449735	829.877395040761	TOP2A;HJURP;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;F2R;KIF23;CCNA2;ASPM;NEIL3;KIFC1;DEPDC1;BIRC5;KIF20A;HOXB7;DTL;ASF1B;PCNA;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;HOXC6;E2F8;GINS2;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18A;WEE1;RAD51;KIF4A;CDK2;CDK1;SPC25
LJP006 HCC515 24H-palbociclib-1.11	49/139	5.092135949256567E-33	8.683619434267223E-30	0	0	13.646121318168563	1014.6929764030813	TOP2A;HJURP;KIF14;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;DEPDC1;BIRC5;KIF2C;KIF20A;HOXB7;DTL;ASF1B;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;NDC80;TPX2;RAD51;KIF4A;CDK1;APOBEC3B;SPC25
