Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	35/143	3.4914985189328045E-18	7.219720637449253E-14	0	0	8.011598061792363	322.03580325726193	SPARC;PCNA;NCAPG;TTK;TYMS;CENPA;AURKB;LOXL2;CDC20;RAD51AP1;CCNB2;CSRP2;PTTG1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GINS2;RRM2;UBE2C;GDF15;IGFBP2;PLK1;SOX11;MMP9;TMSB15A;KIF4A;CDK1;ID3;BIRC5;CHI3L1;TGFBI;SPC25
LJP006 BT20 24H-palbociclib-3.33	34/163	1.949636719506401E-15	2.0157294042976682E-11	0	0	6.500155439894902	220.16763161837375	PCNA;TNC;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;EMP3;CDC25C;NEIL3;WEE1;RAD51;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;CENPM;PLP2;SPC25
LJP006 LNCAP 24H-palbociclib-10	35/180	7.23982767414703E-15	4.9901718882004095E-11	0	0	5.955690548508129	193.91239458215435	NNMT;PCNA;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;HOXC6;CA12;GINS2;CDKN2C;RRM2;UBE2C;IGFBP2;F2R;PLK1;NEIL3;KIF18A;WEE1;RAD51;KIF4A;CDK1;DEPDC1;BIRC5;TMEM45A;SPC25
LJP006 BT20 24H-palbociclib-10	33/168	3.161300242612424E-14	1.6342341604184926E-10	0	0	6.0188917599770315	187.09850162489101	SPARC;PCNA;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;CSRP2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;MMP9;NEIL3;KIF18A;RAD51;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;PLP2;SPC25
LJP006 HME1 24H-palbociclib-1.11	28/124	7.293894367960393E-14	3.0164629548137003E-10	0	0	7.150139067180145	216.2856555600211	NCAPG;TTK;TYMS;CENPA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NEIL3;KIF18A;KIF4A;CDK1;DEPDC1;BIRC5;LTF;SPC25
LJP006 LNCAP 24H-palbociclib-0.37	25/100	1.3333232943666228E-13	4.081683705968171E-10	0	0	8.14919011082694	241.5903331565708	PCNA;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;PTTG1;NUSAP1;PBK;E2F2;MYBL2;TK1;CA12;GINS2;RRM2;UBE2C;IGFBP2;PLK1;KIF4A;CDK1;DEPDC1;ID3;BIRC5;SPC25
LJP006 MCF7 24H-palbociclib-10	28/127	1.3817480385809652E-13	4.081683705968171E-10	0	0	6.932378988861659	205.26952221096084	PCNA;NCAPG;TTK;NID1;TYMS;CENPA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;E2F2;MYBL2;TK1;GINS2;RRM2;UBE2C;PLK1;MMP9;NEIL3;RAD51;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;SPC25
LJP006 HCC515 24H-palbociclib-0.37	28/129	2.0921207706394986E-13	5.407609161910444E-10	0	0	6.794392404580638	198.36519380756556	SPARC;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GINS2;RRM2;PLK1;NEIL3;KIF18A;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF2C;SPC25
LJP006 HT29 24H-palbociclib-0.37	34/195	4.836392054009051E-13	1.111187943253324E-9	0	0	5.199456823057701	147.44327038368584	PCNA;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;CSRP2;PTTG1;MDK;PBK;NUSAP1;OIP5;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;WDR76;NEIL3;KIF18A;RAD51;TMSB15A;KIF4A;DEPDC1;CDK1;CENPM;BIRC5;PLP2;SPC25
LJP006 A375 24H-palbociclib-10	30/154	5.870733862896721E-13	1.213950348169784E-9	0	0	5.937538921409889	167.2226288898085	NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;MMP9;NEIL3;RAD51;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;CENPM;SPC25
LJP006 BT20 24H-palbociclib-0.37	32/178	9.951168110874496E-13	1.8706386745151167E-9	0	0	5.386690234202386	148.86612026633986	SLC43A3;TNC;NCAPG;TTK;TYMS;CENPA;AURKB;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NEIL3;KIF18A;RAD51;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;TAGLN2;KIF2C;PLP2;SPC25
