Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-10	35/215	1.9022009155000952E-30	2.7486434505884044E-26	0	0	19.947353112274577	1365.0879583424453	TOP2A;PCNA;KIF14;CDCA8;BUB1B;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;CSRP2;EXO1;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18A;WEE1;MELK;KIFC1;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 HME1 24H-palbociclib-1.11	29/124	3.5738440392515986E-30	2.7486434505884044E-26	0	0	30.493775046753942	2067.597209678669	TOP2A;KIF14;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;HOXC6;CDKN2C;CDC25C;NDC80;TPX2;KIF18A;MELK;KIFC1;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 HT29 24H-palbociclib-0.37	32/195	5.331895247127787E-28	2.733840423043987E-24	0	0	19.84542407184871	1246.266353349854	TOP2A;PCNA;KIF14;CDCA8;BUB1B;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;CSRP2;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;WDR76;NDC80;TPX2;KIF18A;MELK;KIFC1;KIF4A;DEPDC1;PLP2;DTL;EZH2
LJP006 LNCAP 24H-palbociclib-10	31/180	8.096475119249104E-28	3.1134995071072432E-24	0	0	20.938736878334193	1306.1783779912466	TOP2A;PCNA;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;HOXC6;E2F8;CDKN2C;F2R;NDC80;TPX2;KIF18A;WEE1;MELK;KIFC1;KIF4A;CDK2;DEPDC1;DTL;EZH2
LJP006 BT20 24H-PHA-793887-3.33	31/184	1.6410452871765007E-27	5.048511721469787E-24	0	0	20.3871627283392	1257.3673358266676	TOP2A;PCNA;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;CDC25C;NDC80;TPX2;WEE1;MELK;KIFC1;KIF4A;CDK2;DEPDC1;CKS2;DTL
LJP006 BT20 24H-palbociclib-0.37	30/178	1.187439673551208E-26	3.04419950976078E-23	0	0	20.29715940430226	1211.6473126243698	TOP2A;SLC43A3;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;NDC80;TPX2;KIF18A;KIFC1;KIF4A;CDK2;DEPDC1;KIF2C;PLP2;DTL;EZH2
LJP006 BT20 24H-palbociclib-3.33	29/163	1.6947388937465295E-26	3.724067666229874E-23	0	0	21.575876960375787	1280.30571510951	TOP2A;PCNA;KIF14;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;CDC25C;NDC80;TPX2;WEE1;KIFC1;KIF4A;CDK2;DEPDC1;PLP2;DTL;EZH2
LJP006 HME1 24H-palbociclib-3.33	30/183	2.8010886920484787E-26	5.385793282636212E-23	0	0	19.628851540616246	1154.9067474382405	TOP2A;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18A;MELK;KIFC1;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 HCC515 24H-palbociclib-3.33	28/150	3.1869757358360374E-26	5.44689564095888E-23	0	0	22.7792680907435	1337.328460075962	TOP2A;PCNA;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;NDC80;TPX2;KIF4A;DEPDC1;CKS2;KIF2C;DTL;EZH2
LJP006 BT20 24H-palbociclib-10	29/168	4.2187882195847853E-26	6.489340039365317E-23	0	0	20.794471022167038	1214.9723759802828	TOP2A;PCNA;KIF14;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;CSRP2;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;NDC80;TPX2;KIF18A;MELK;KIFC1;KIF4A;CDK2;PLP2;DTL;EZH2
LJP005 A549 24H-dovitinib-10	31/215	2.2871299446368975E-25	3.198239346218614E-22	0	0	16.92558528428094	960.3125108220191	TOP2A;ARHGAP11A;ERCC6L;KIF14;CDCA8;BUB1B;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;NDC80;TPX2;KIF18A;KIFC1;KIF4A;CDK2;DEPDC1;CKS2;ID3;KIF2C;DTL
LJP006 HCC515 24H-palbociclib-0.37	26/129	2.5013350489466063E-25	3.2062946435747247E-22	0	0	24.82747572815534	1406.4219469832346	TOP2A;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;NDC80;TPX2;KIF18A;KIFC1;KIF4A;DEPDC1;CKS2;KIF2C;DTL;EZH2
LJP006 PC3 24H-NVP-TAE684-10	29/186	8.82822458668442E-25	9.864271444803547E-22	0	0	18.393514177632643	1018.75556237066	TOP2A;PCNA;KIF14;BUB1B;CDCA8;TTK;MKI67;SKA1;KIF15;LMNB1;CSRP2;ORC1;EXO1;NUSAP1;RCC1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;WDR76;NDC80;TPX2;KIF18A;MELK;CDK2;DTL;EZH2
LJP006 BT20 24H-palbociclib-0.12	25/120	8.978013277028322E-25	9.864271444803547E-22	0	0	25.76459806231998	1426.5818966725967	TOP2A;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;CSRP2;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;NDC80;TPX2;MELK;KIFC1;KIF4A;DEPDC1;PLP2;DTL;EZH2
LJP006 A549 24H-palbociclib-10	26/138	1.5985441948245835E-24	1.6392537869861163E-21	0	0	22.821964285714287	1250.4827227914902	TOP2A;KIF14;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;HOXC6;E2F8;NDC80;TPX2;MELK;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 MDAMB231 24H-palbociclib-0.37	24/113	4.8983067934158866E-24	4.709109693520198E-21	0	0	26.278785181888974	1410.4652482303302	TOP2A;PCNA;CDKN2C;KIF14;CDCA8;TTK;HMMR;MKI67;NDC80;KIF15;LMNB1;TPX2;EXO1;KIF4A;CDK2;NUSAP1;DEPDC1;OIP5;DTL;BUB1;CEP55;DLGAP5;EZH2;E2F8
LJP006 LNCAP 24H-palbociclib-0.37	23/100	6.173017913183049E-24	5.30850557400706E-21	0	0	28.982854583839806	1548.8974943772603	TOP2A;PCNA;BUB1B;CDCA8;TTK;HMMR;MKI67;NDC80;KIF15;LMNB1;CDC20;TPX2;KIFC1;KIF4A;CDK2;NUSAP1;DEPDC1;ID3;DTL;BUB1;CEP55;DLGAP5;EZH2
LJP006 LNCAP 24H-mitoxantrone-0.04	27/162	6.212007562873949E-24	5.30850557400706E-21	0	0	19.737688442211056	1054.6943976932657	TOP2A;KIF14;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;HOXC6;CDKN2C;NDC80;TPX2;KIF18A;MELK;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 A375 24H-mitoxantrone-0.12	30/222	1.0073424303944976E-23	8.155232244383243E-21	0	0	15.610650510204081	826.6173752367511	TOP2A;ARHGAP11A;ERCC6L;KIF14;CDCA8;BUB1B;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDC25C;WDR76;NDC80;TPX2;MELK;KIFC1;CENPI;KIF4A;DEPDC1;PLP2;DTL
LJP006 HCC515 24H-PHA-793887-3.33	28/186	1.6097514965369203E-23	1.2380598759865454E-20	0	0	17.5568341644291	921.4419520272456	TOP2A;PCNA;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;NDC80;TPX2;WEE1;MELK;KIFC1;KIF4A;DEPDC1;CKS2;DTL;EZH2
LJP006 A549 24H-mitoxantrone-0.37	27/171	2.7850756608009E-23	2.040001610211402E-20	0	0	18.49560301507538	960.5725106113432	TOP2A;KIF14;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;HOXC6;NDC80;SFRP4;TPX2;KIF18A;MELK;KIF4A;CDK2;DEPDC1;CKS2;DTL;EZH2
LJP006 A375 24H-palbociclib-10	26/154	3.12927524454025E-23	2.1879323550690056E-20	0	0	19.95296875	1033.9360180962913	TOP2A;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIFC1;KIF4A;DEPDC1;DTL;EZH2
LJP005 MCF10A 24H-mitoxantrone-0.37	28/192	3.964865640352628E-23	2.6516331860827877E-20	0	0	16.909337275190932	872.21718457642	TOP2A;KIF14;CDCA8;TTK;HMMR;MKI67;SKA1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;CDKN2C;CDC25C;NDC80;TPX2;KIF18A;MELK;KIFC1;KIF4A;DEPDC1;CKS2;DTL;EZH2
LJP006 HCC515 24H-palbociclib-1.11	25/139	4.355172536416289E-23	2.7913026647981393E-20	0	0	21.44976870035786	1104.4076837707207	TOP2A;KIF14;BUB1B;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;NDC80;TPX2;MELK;KIF4A;DEPDC1;KIF2C;DTL;EZH2
LJP006 MDAMB231 24H-palbociclib-10	26/157	5.2520225227853895E-23	3.231464417819394E-20	0	0	19.493053435114504	1000.0100912924245	TOP2A;PCNA;SLC43A3;CDCA8;TTK;HMMR;MKI67;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;NDC80;TPX2;MELK;KIF4A;DEPDC1;CKS2;DTL;EZH2
