Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	46/129	1.3700681648498295E-43	2.606417676810316E-39	0	0	27.75643447827299	2739.457342695911	TOP2A;SPARC;TROAP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;EXO1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF2C;KIF20A;DTL
LJP006 A375 24H-palbociclib-10	48/154	3.182704731370639E-42	3.027388740479752E-38	0	0	22.76905075325435	2175.6019829909274	TOP2A;TROAP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;BRIP1;CDC45;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;E2F8;RRM2;UBE2C;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;CENPM;KIF20A;DTL
LJP005 A549 24H-dovitinib-10	54/215	7.167522785428279E-42	4.545165115666252E-38	0	0	17.081821294077372	1618.314903445165	TOP2A;ARHGAP11A;ERCC6L;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;CEP55;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;KIF2C;KIF20A;DTL;TROAP;NCAPG;CDCA8;LPL;TTK;TYMS;NCAPH;SKA1;AURKA;RAD51AP1;BRIP1;BUB1;E2F8;POLQ;RRM2;UBE2C;PLK1;NDC80;TPX2;COL3A1;KIF18A;KIF18B;KIF4A;CDK1;CENPM;NES
LJP006 BT20 24H-palbociclib-10	48/168	3.4057656147154064E-40	1.6197821263586474E-36	0	0	20.098191214470283	1826.4820938095945	TOP2A;SPARC;TROAP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;E2F8;RRM2;UBE2C;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;KIF20A;DTL
LJP006 BT20 24H-palbociclib-3.33	47/163	1.41408881697389E-39	5.380325130822257E-36	0	0	20.309789370778528	1816.798666584448	TOP2A;TROAP;TNC;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;E2F8;OSR2;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;CENPM;KIF20A;DTL
LJP006 MCF10A 24H-palbociclib-3.33	42/121	2.7770689190820584E-39	8.805159852769513E-36	0	0	26.360421296743645	2340.2629822422264	TOP2A;SPARC;KIF14;BUB1B;NCAPG;CDCA8;MCM10;MKI67;FOXM1;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;POSTN;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;COL3A1;KIF18B;ESPL1;KIF4A;CDK1;BIRC5;KIF20A;DTL
LJP006 HCC515 24H-palbociclib-1.11	44/139	4.307659028116685E-39	1.170698647869883E-35	0	0	23.063130973213084	2037.4067693825996	TOP2A;TROAP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;E2F8;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK1;DEPDC1;BIRC5;KIF2C;KIF20A;DTL
LJP006 LNCAP 24H-palbociclib-1.11	44/143	1.7685959799605707E-38	4.205721240346237E-35	0	0	22.126740551292983	1923.4343544069488	TOP2A;SPARC;TROAP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;LOXL2;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;RRM2;UBE2C;PLK1;SOX11;MMP9;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;KIF20A;DTL
LJP006 MCF7 24H-palbociclib-10	42/127	2.9208764878055943E-38	5.785613786180662E-35	0	0	24.492141894925908	2116.7664226513466	TOP2A;KIF14;NCAPG;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;E2F2;MYBL2;TK1;GTSE1;BUB1;CEP55;RRM2;UBE2C;PLK1;MMP9;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;BIRC5;CENPM;DTL
LJP006 HME1 24H-palbociclib-3.33	48/183	3.041218348496983E-38	5.785613786180662E-35	0	0	17.851277634223372	1542.1000292495874	TOP2A;TROAP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;E2F8;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18A;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;CENPM;KIF20A;DTL
