Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 MCF10A 3H-radicicol-10	6/92	1.1811892634966235E-4	0.6738504414742262	0	0	8.611046511627906	77.87674252653665	TFAP2A;SRPX;POSTN;WEE1;SPARC;NID1
LJP005 PC3 24H-SAR-245408-10	5/62	1.6376652683949705E-4	0.6738504414742262	0	0	10.775307834804403	93.92909931992347	CDKN2C;PRRX1;IGF2BP3;HOXB7;HOXB6
LJP008 HCC515 24H-GSK-461364-1.11	4/37	2.441289252174453E-4	0.6738504414742262	0	0	14.81556303778526	123.23309898959577	POSTN;SPARC;LYZ;NES
LJP005 A375 24H-nilotinib-10	4/39	3.001361523967705E-4	0.6738504414742262	0	0	13.967548500881835	113.29461781691258	SRPX;POSTN;SPARC;PRRX1
LJP006 BT20 24H-XMD11-85H-10	5/74	3.763420371891276E-4	0.6738504414742262	0	0	8.895940228643441	70.14459683034816	SFRP4;POSTN;SPARC;ANXA5;F2R
LJP006 BT20 3H-AT-7519-0.37	4/42	4.0061341352190717E-4	0.6738504414742262	0	0	12.862897985705004	100.6201950937783	TGIF1;TFAP2A;SRPX;WEE1
LJP005 A375 24H-AS-601245-3.33	4/44	4.796524782369991E-4	0.6738504414742262	0	0	12.218518518518518	93.37940121156761	SRPX;POSTN;SPARC;NES
LJP006 HME1 3H-PHA-793887-0.37	4/46	5.692084360034161E-4	0.6738504414742262	0	0	11.635508524397414	86.93195445963957	TFAP2A;POSTN;WEE1;PLAU
LJP005 MDAMB231 3H-trametinib-0.37	5/85	7.122603741078283E-4	0.6738504414742262	0	0	7.668478260869565	55.573975893566605	SRPX;SPARC;PLAU;IGF2BP3;HOXB7
LJP008 HEPG2 24H-NPK76-II-72-1-10	4/49	7.24918574202523E-4	0.6738504414742262	0	0	10.858161865569272	78.4985515553548	ADAMDEC1;LPL;NID1;LYZ
LJP005 A375 24H-PF-477736-1.11	5/87	7.917477152725296E-4	0.6738504414742262	0	0	7.480684744735646	53.421572776969995	SRPX;IGF2BP3;IQGAP2;HOXB7;NES
LJP006 HME1 24H-KIN001-043-3.33	6/133	8.594243133829289E-4	0.6738504414742262	0	0	5.818996062992126	41.077735132086595	SRPX;SPARC;F2R;NID1;HOXB7;HOXC10
LJP009 A375 24H-XMD-1499-10	4/53	9.764437877146E-4	0.6738504414742262	0	0	9.969765684051398	69.10636175958095	POSTN;HOXB7;HOXC10;HOXB6
LJP005 A375 24H-withaferin-a-1.11	4/55	0.0011227512922791607	0.6738504414742262	0	0	9.577826192205277	65.0523378060686	SRPX;SPARC;F2R;NES
LJP005 BT20 3H-CP-724714-0.12	3/25	0.0011291976051592011	0.6738504414742262	0	0	16.574456218627997	112.47837007331985	SPARC;HOXB7;HOXB6
LJP008 HCC515 24H-rucaparib-3.33	3/25	0.0011291976051592011	0.6738504414742262	0	0	16.574456218627997	112.47837007331985	SFRP4;NOX4;LYZ
LJP007 HCC515 24H-TPCA-1-10	5/95	0.001177318157590839	0.6738504414742262	0	0	6.812974465148378	45.950216479510956	TFAP2A;CDKN2C;PLAU;HOXB7;HOXB6
LJP008 A375 24H-tanespimycin-10	5/95	0.001177318157590839	0.6738504414742262	0	0	6.812974465148378	45.950216479510956	LPL;IGF2BP3;NID1;HOXB7;NES
LJP006 MCF10A 3H-withaferin-a-1.11	4/57	0.0012837785621435114	0.6738504414742262	0	0	9.21546703936641	61.35609617821233	SFRP4;POSTN;SPARC;PLAU
LJP006 MDAMB231 3H-sorafenib-10	4/58	0.0013700514100683612	0.6738504414742262	0	0	9.044352994970279	59.62857829988194	SRPX;WEE1;IGF2BP3;HOXC10
LJP009 HCC515 24H-XMD-892-3.33	4/59	0.0014602910094620328	0.6738504414742262	0	0	8.87946127946128	57.975064158384356	POSTN;SPARC;IGF2BP3;EGFR
LJP005 A375 24H-CP466722-10	4/60	0.0015545925267876671	0.6738504414742262	0	0	8.720458553791888	56.39120982599672	SRPX;SPARC;MMP2;NID1
LJP005 BT20 3H-neratinib-1.11	3/28	0.0015793082238047215	0.6738504414742262	0	0	14.583312883435584	94.07357334491708	SRPX;POSTN;ANXA5
LJP008 PC3 24H-belinostat-10	6/151	0.0016519458318742066	0.6738504414742262	0	0	5.09198275862069	32.618230252598615	MMP14;SPARC;PLAU;HOXB7;NES;HOXB6
LJP006 MCF7 3H-JNK-9L-0.37	3/29	0.001750869868398503	0.6738504414742262	0	0	14.021708352996697	89.00479252153153	TFAP2A;HOXB7;HOXB6
LJP006 A375 24H-radicicol-3.33	4/62	0.0017557605450080585	0.6738504414742262	0	0	8.418901660280971	53.416694777354685	POSTN;SPARC;LYZ;NES
LJP006 A375 24H-KIN001-043-3.33	5/104	0.001760422053198269	0.6738504414742262	0	0	6.190789886442061	39.26323811568022	SRPX;POSTN;SPARC;F2R;NID1
LJP006 MDAMB231 3H-geldanamycin-0.04	3/30	0.0019336358929995464	0.6902338197094136	0	0	13.501704158145875	84.36341592244764	SFRP4;POSTN;IGF2BP3
LJP005 BT20 24H-pelitinib-1.11	3/31	0.0021278583875590524	0.6902338197094136	0	0	13.018843120070114	80.10024526018454	IGF2BP3;NID1;HOXB7
LJP005 PC3 24H-crizotinib-10	3/31	0.0021278583875590524	0.6902338197094136	0	0	13.018843120070114	80.10024526018454	POSTN;HOXB7;HOXC10
