Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-NVP-TAE684-10	22/178	4.651871428285246E-17	6.913146129574704E-13	0	0	13.977207977207977	525.6363455449895	TOP2A;POSTN;RRM2;PLK1;FN1;KIF14;NCAPG;KIF23;MKI67;NCAPH;ASPM;COL4A2;PLAU;COL4A1;TMSB15A;KIF4A;GTSE1;NES;BUB1;DLGAP5;APOBEC3B;SPC25
LJP005 A375 24H-TG-101348-10	22/199	5.132713100369706E-16	3.8138624692297095E-12	0	0	12.30571249215317	433.2315557581942	TOP2A;POSTN;SPARC;RRM2;PLK1;KIF14;NCAPG;KIF23;TTK;MKI67;NID1;NCAPH;ASPM;COL4A2;COL4A1;KIF4A;GTSE1;NES;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 A375 24H-mitoxantrone-1.11	17/103	1.3520887957929966E-15	6.697797198093241E-12	0	0	19.177339901477833	656.5769976055984	TOP2A;SPARC;RRM2;PLK1;KIF14;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;KIF4A;GTSE1;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 A375 24H-KIN001-043-10	21/190	2.45444316582369E-15	7.700270069754814E-12	0	0	12.245576997413101	411.95194314433337	TOP2A;POSTN;SPARC;RRM2;PLK1;FN1;KIF14;NCAPG;KIF23;TTK;MKI67;NID1;ASPM;COL4A2;COL4A1;TMSB15A;KIF4A;GTSE1;BUB1;DLGAP5;SPC25
LJP006 HCC515 24H-palbociclib-10	19/146	2.6187768859784736E-15	7.700270069754814E-12	0	0	14.627923375249736	491.14816491862933	TOP2A;RRM2;PLK1;TNC;KIF14;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;WEE1;TMSB15A;KIF4A;GTSE1;BUB1;DLGAP5;APOBEC3B;SPC25
LJP005 A549 24H-TG-101348-10	21/194	3.749401354130327E-15	7.700270069754814E-12	0	0	11.960002323757516	397.2775524592564	TOP2A;RRM2;PLK1;KIF14;TNC;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;COL4A2;COL4A1;KIF4A;GTSE1;NES;GBP1;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 A375 24H-AZD-5438-3.33	16/92	3.99874655553375E-15	7.700270069754814E-12	0	0	20.3343653250774	674.141054106167	TOP2A;SPARC;RRM2;PLK1;KIF14;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;KIF4A;GTSE1;BUB1;DLGAP5;SPC25
LJP006 HCC515 24H-palbociclib-0.37	18/129	4.145223104638887E-15	7.700270069754814E-12	0	0	15.78993845330479	522.9125461391025	TOP2A;SPARC;RRM2;PLK1;KIF14;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;TMSB15A;KIF4A;GTSE1;BUB1;DLGAP5;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-1.11	17/111	4.96459755240221E-15	8.197653802916582E-12	0	0	17.53809873178912	577.6426095103428	TOP2A;RRM2;PLK1;KIF14;NCAPG;KIF23;TTK;MKI67;NCAPH;ASPM;TMSB15A;KIF4A;GTSE1;BUB1;DLGAP5;APOBEC3B;SPC25
LJP005 A375 24H-torin-2-3.33	18/132	6.2744535772416565E-15	9.324465461138825E-12	0	0	15.37206878582595	502.7018512265543	TOP2A;SPARC;RRM2;PLK1;KIF14;NCAPG;MKI67;NCAPH;ASPM;COL4A2;COL4A1;TMSB15A;KIF4A;GTSE1;NES;BUB1;DLGAP5;SPC25
