Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	50/124	1.5326266766301338E-44	3.2772156226382153E-40	0	0	25.101156819007105	2532.374409982574	TOP2A;HJURP;KIF14;MKI67;FOXM1;KIF15;CDC20;PTTG1;NUSAP1;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;SPP1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK2;CDK1;EZH2
LJP006 BT20 24H-palbociclib-3.33	54/163	1.1587029842472516E-42	1.1833005055797717E-38	0	0	18.513300090500948	1787.6678175645943	TOP2A;HJURP;TNC;KIF14;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;EMP3;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	56/180	1.6601512962350067E-42	1.1833005055797717E-38	0	0	16.92890698402756	1628.5890412906485	TOP2A;HJURP;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;F2R;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TMEM45A;NNMT;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CCNB2;CDC45;BUB1;HOXC6;E2F8;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;KIF4A;CDK2;CDK1;EZH2
LJP006 HCC515 24H-palbociclib-0.37	49/129	3.8152034971171685E-42	2.0395124094714104E-38	0	0	22.703568007662835	2165.229743147335	TOP2A;SPARC;HJURP;KIF14;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK1;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	55/178	1.4123910889338584E-41	6.040231730934539E-38	0	0	16.73016323186488	1573.6509439520767	TOP2A;HJURP;TNC;KIF14;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;GTSE1;CEP55;DLGAP5;ANXA1;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;ASF1B;SLC43A3;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK2;CDK1;PLP2;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	53/168	1.2778536977454854E-40	4.5540576031486194E-37	0	0	17.183850931677018	1578.4779910826633	TOP2A;SPARC;HJURP;KIF14;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	56/195	2.2780406832832993E-40	6.958763418663827E-37	0	0	15.09031221624642	1377.445026981334	TOP2A;KIF14;HJURP;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;MDK;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;SKA1;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-3.33	54/183	1.2111982838742998E-39	3.2111623159931936E-36	0	0	15.626827403175746	1400.307634026271	TOP2A;HJURP;KIF14;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;CDC45;SPP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-1.11	49/143	1.351562495624503E-39	3.2111623159931936E-36	0	0	19.30820494008315	1728.075794384051	TOP2A;SPARC;HJURP;MKI67;FOXM1;KIF15;CDC20;PTTG1;NUSAP1;OIP5;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;CHI3L1;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;CCNB2;CDC45;SPP1;E2F2;BUB1;GINS2;RRM2;UBE2C;GDF15;PLK1;NDC80;TPX2;KIF4A;CDK2;CDK1;TGFBI;EZH2
LJP006 BT20 24H-PHA-793887-3.33	54/184	1.670503930155073E-39	3.572038553850593E-36	0	0	15.50581758666865	1384.4786849089128	TOP2A;HJURP;KIF14;BUB1B;MKI67;FOXM1;KIF15;CDC20;PTTG1;EXO1;NUSAP1;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;NCAPG;CDCA8;TTK;HMMR;TYMS;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
