Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 MCF10A 24H-palbociclib-3.33	35/121	1.9579284961686252E-21	2.7479534631107738E-17	0	0	10.615217666814523	506.15905411441315	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;POSTN;RRM2;UBE2C;KIF23;NDC80;TPX2;ASPM;COL3A1;KIF18B;ESPL1;KIF4A;KIF20A;DTL;ASF1B
LJP006 A375 24H-NVP-TAE684-0.37	35/122	2.647354010704021E-21	2.7479534631107738E-17	0	0	10.492655579567165	497.149642156998	TOP2A;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;MMP9;TPX2;ASPM;KIF18B;RAD51;COL4A2;ESPL1;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;APOBEC3B
LJP005 A549 24H-TG-101348-10	43/194	4.760572541825894E-21	3.2943161989435185E-17	0	0	7.483991024027147	350.2052698496592	TOP2A;CSTA;CXCL9;NNMT;KIF14;HJURP;MCM10;MKI67;FOXM1;CENPA;AURKB;LOXL2;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP3;KIF23;TPX2;ASPM;COL3A1;KIF18A;KIF18B;RAD51;COL4A2;ESPL1;COL4A1;KIF4A;CDK2;KIF20A;HOXB7;NES;DTL;ASF1B;APOBEC3B
LJP006 A549 24H-ZSTK-474-10	36/135	1.0759772397717346E-20	5.584321874415302E-17	0	0	9.491256356194965	436.3934698477531	TOP2A;CXCL9;CSTA;HJURP;KIF14;MCM10;MKI67;CENPA;AURKB;LMNB1;AURKA;EXO1;EIF4EBP1;PBK;MYBL2;PRAME;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;RRM2;UBE2C;NDC80;TPX2;ASPM;COL3A1;KIF18B;RAD51;ESPL1;KIF4A;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 A375 24H-palbociclib-10	38/154	1.759035040011861E-20	6.25711536252184E-17	0	0	8.566088023019955	389.6451017330114	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;BRIP1;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;MMP9;NDC80;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;DEPDC1;CENPM;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-3.33	39/163	1.8084148446594913E-20	6.25711536252184E-17	0	0	8.232136544410075	374.2267628771813	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;OSR2;RRM2;UBE2C;KIF23;EMP3;NDC80;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;CDK2;DEPDC1;CENPM;KIF20A;PLP2;DTL;ASF1B;APOBEC3B
LJP006 A549 24H-palbociclib-10	36/138	2.4074055048599373E-20	7.139676897270329E-17	0	0	9.21065725062194	416.0744222706372	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;CENPA;HOXC10;AURKB;LMNB1;AURKA;EXO1;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;RRM2;UBE2C;IL1R2;KIF23;MMP9;NDC80;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;CDK2;DEPDC1;KIF20A;DTL;ASF1B
LJP005 A549 24H-dovitinib-10	44/215	4.6367298154276556E-20	1.2032313871034766E-16	0	0	6.764589635007058	301.14392141738114	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;BRIP1;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;LYZ;NDC80;TPX2;ASPM;COL3A1;KIF18A;KIF18B;RAD51;ESPL1;KIF4A;CDK2;DEPDC1;CENPM;KIF20A;HOXB7;NES;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-10	39/168	5.75207509341476E-20	1.3268119882143377E-16	0	0	7.910990761388978	350.4738296192538	TOP2A;SPARC;HJURP;KIF14;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;MMP9;NDC80;TPX2;ASPM;KIF18A;KIF18B;RAD51;ESPL1;KIF4A;CDK2;CENPM;KIF20A;PLP2;DTL;ASF1B;APOBEC3B
LJP006 A375 24H-NVP-TAE684-10	40/178	6.746557880501582E-20	1.4005854159921284E-16	0	0	7.5914991749667005	335.1090385487381	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LOXL2;LMNB1;AURKA;PLAU;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;POSTN;RRM2;UBE2C;IGFBP3;FN1;KIF23;MMP9;TPX2;ASPM;KIF18B;RAD51;COL4A2;COL4A1;KIF4A;KIF20A;NES;DTL;ASF1B;APOBEC3B
LJP006 A375 24H-NVP-TAE684-3.33	38/162	1.1785560652958413E-19	2.224256719594697E-16	0	0	8.010083403203742	349.1180973911944	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP3;KIF23;MMP9;TPX2;ASPM;COL3A1;KIF18B;RAD51;COL4A2;COL4A1;KIF4A;CENPM;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 MCF10A 24H-mitoxantrone-0.37	37/154	1.4989835977973545E-19	2.5057245454625436E-16	0	0	8.257647937975808	357.9222130354047	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;EIF4EBP1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP2;KIF23;NDC80;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIF4A;DEPDC1;CENPM;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-0.12	33/120	1.5690953319370457E-19	2.5057245454625436E-16	0	0	9.866191904047977	427.1924697832696	TOP2A;CXCL9;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;NDC80;TPX2;ASPM;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;PLP2;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	34/129	1.9302613379677918E-19	2.8623018125865256E-16	0	0	9.317923379878268	401.5229353247825	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;KIF23;NDC80;TPX2;ASPM;KIF18A;KIF18B;ESPL1;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 A549 24H-NVP-TAE684-3.33	38/165	2.3298500971237326E-19	3.1562018378433764E-16	0	0	7.8196408759438585	335.4884987765625	TOP2A;CSTA;HJURP;KIF14;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;EIF4EBP1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IL1R2;KIF23;LYZ;TPX2;ASPM;COL3A1;KIF18B;RAD51;ESPL1;KIF4A;CDK2;KIF20A;DTL;ASF1B;APOBEC3B
LJP006 PC3 24H-palbociclib-10	30/98	2.432525501228036E-19	3.1562018378433764E-16	0	0	11.440141685903049	490.3266090850086	TOP2A;ADAMDEC1;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;NDC80;TPX2;ASPM;KIF18B;KIF4A;DEPDC1;KIF20A;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	35/139	2.839227196698409E-19	3.4671974472622926E-16	0	0	8.769715468455251	374.5158281851232	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;KIF23;NDC80;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;DEPDC1;KIF20A;HOXB7;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	39/178	5.103434580416811E-19	5.885961216080722E-16	0	0	7.338011234847738	309.07118486584903	TOP2A;SLC43A3;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;NDC80;TPX2;ASPM;KIF18A;KIF18B;RAD51;ESPL1;KIF4A;CDK2;DEPDC1;TAGLN2;KIF20A;PLP2;DTL;ASF1B;APOBEC3B
LJP005 A375 24H-TG-101348-10	41/199	6.875144657392152E-19	7.5120001624979505E-16	0	0	6.798520308805119	284.3223052934264	TOP2A;CSTA;SPARC;KIF14;HJURP;MCM10;MKI67;NID1;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;POSTN;RRM2;UBE2C;IGFBP2;KIF23;NDC80;TPX2;ASPM;KIF18B;RAD51;COL4A2;ESPL1;COL4A1;KIF4A;KIF20A;HOXB7;NES;DTL;ASF1B;APOBEC3B
LJP006 LNCAP 24H-palbociclib-1.11	35/143	7.647929763895031E-19	7.656299773249875E-16	0	0	8.443145120597437	352.20311188393316	TOP2A;SPARC;HJURP;MCM10;MKI67;FOXM1;CENPA;AURKB;LOXL2;LMNB1;CDC45;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;GDF15;IGFBP2;KIF23;MMP9;NDC80;TPX2;ASPM;KIF18B;ESPL1;KIF4A;CDK2;KIF20A;TGFBI;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-10	39/180	7.744811909356811E-19	7.656299773249875E-16	0	0	7.233168172544448	301.63825600222225	TOP2A;NNMT;HJURP;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;RRM2;UBE2C;IGFBP2;F2R;KIF23;NDC80;TPX2;ASPM;KIF18A;KIF18B;RAD51;ESPL1;KIF4A;CDK2;DEPDC1;KIF20A;HOXB7;DTL;ASF1B
LJP006 HCC515 24H-palbociclib-0.12	29/96	1.4609386832862334E-18	1.3785948665919184E-15	0	0	11.20927793465107	460.3364892639754	TOP2A;KIF14;HJURP;BUB1B;MKI67;FOXM1;CENPA;AURKB;AURKA;EXO1;PBK;TK1;GTSE1;BUB1;CEP55;DLGAP5;KIF23;NDC80;ASPM;TPX2;KIF18A;KIF18B;ESPL1;KIF4A;MFAP2;DEPDC1;KIF20A;NES;ASF1B
LJP006 HS578T 24H-palbociclib-1.11	36/156	1.939153173984693E-18	1.7502965170400968E-15	0	0	7.821691678035471	319.00206585135965	TOP2A;CXCL9;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;CENPA;AURKB;LMNB1;AURKA;CDC45;EXO1;PBK;MYBL2;TK1;GTSE1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;KIF23;NDC80;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIF4A;CDK2;KIF20A;DTL;ASF1B;APOBEC3B
