Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	55/143	1.0685992242771265E-48	2.1167704347466879E-44	0	0	24.70280612244898	2728.6160324168222	TOP2A;SPARC;HJURP;MKI67;FOXM1;LMNB1;CDC20;CSRP2;PTTG1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;IGFBP2;SOX11;KIF23;MMP9;CCNA2;MELK;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;SPP1;BUB1;GINS2;RRM2;UBE2C;GDF15;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK2;CDK1;ID3;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	52/124	1.9468136068671827E-48	2.1167704347466879E-44	0	0	28.395199459093984	3119.436712204601	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;AURKA;RAD51AP1;CCNB2;SPP1;BUB1;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	58/168	3.849012043123471E-48	2.790020529658767E-44	0	0	20.94474519320515	2286.669113578195	TOP2A;SPARC;HJURP;MKI67;FOXM1;LMNB1;CDC20;CSRP2;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;MMP9;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	56/163	2.3250771458157732E-46	1.2640281903227451E-42	0	0	20.707681134491523	2175.8629303494	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	51/129	6.2827166841742865E-46	2.7324791402810805E-42	0	0	25.646916848333852	2669.3596197594443	TOP2A;SPARC;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	58/183	1.0798862847362667E-45	3.913867857979143E-42	0	0	18.417084188911705	1906.8951992394122	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;SPP1;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	58/184	1.53897324021709E-45	4.780930297394406E-42	0	0	18.269971643688276	1885.1909286721143	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;KIF4A;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	54/154	2.8249954754403105E-45	7.679043951115624E-42	0	0	21.28655804480652	2183.5287710904154	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;MMP9;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;DEPDC1;BIRC5;KIF20A;ASF1B;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	59/195	3.78389726456257E-45	9.14273665724196E-42	0	0	17.24493161462116	1763.9077405855294	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;CSRP2;PTTG1;MDK;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;WDR76;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;DEPDC1;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	57/180	6.876705552604575E-45	1.4954083894693907E-41	0	0	18.358056777289086	1866.7975562659262	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;IGFBP2;KIF23;CCNA2;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;HOXB7;ASF1B;TMEM45A;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;HOXC6;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;KIF18B;KIF4A;CDK2;CDK1;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	61/215	8.482139024642754E-45	1.676841774817103E-41	0	0	15.795870451862188	1602.939131268071	TOP2A;HJURP;MKI67;FOXM1;LMNB1;CDC20;CSRP2;PTTG1;EXO1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF20A;ASF1B;PCNA;TROAP;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
