Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	50/163	3.7979871985290234E-52	6.878534615255915E-48	0	0	35.093690659596575	4155.091345534499	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;OSR2;KIF23;CDC25C;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 LNCAP 24H-palbociclib-10	51/180	3.425982593622865E-51	3.1023985376551854E-47	0	0	31.45755341274343	3655.3819072389515	TOP2A;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;F2R;KIF23;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;TMEM45A;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF18A;WEE1;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	48/154	1.9438035599891406E-50	1.1734742091654441E-46	0	0	35.639008865651284	4079.405179249658	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;BRIP1;CDC45;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;KIF23;CDC25C;CCNA2;TPX2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;DEPDC1;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.37	50/178	5.689147768170011E-50	2.5759038807331767E-46	0	0	30.9574266194332	3510.284094710568	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;KIF23;CCNA2;ASPM;ESPL1;KIFC1;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;SLC43A3;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	45/129	7.326440087400843E-50	2.6537831284583332E-46	0	0	41.707057823129254	4718.643303296167	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;EXO1;NUSAP1;E2F2;OIP5;MYBL2;BUB1;GINS2;RRM2;PLK1;KIF23;CCNA2;TPX2;ASPM;KIF18A;KIF18B;ESPL1;KIFC1;KIF4A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	46/139	9.996113084824346E-50	3.0173267346542285E-46	0	0	38.643704750888915	4360.055529775707	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;BUB1;E2F8;GINS2;RRM2;PLK1;KIF23;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;KIF4A;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HT29 24H-palbociclib-0.37	51/195	3.2985863787795657E-49	8.275363177475261E-46	0	0	28.159129403794037	3143.4930360711387	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;MDK;EXO1;NUSAP1;OIP5;MYBL2;KIF23;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF18A;KIF18B;RAD51;KIF4A;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	50/184	3.655397571630616E-49	8.275363177475261E-46	0	0	29.56220919693033	3297.0869291353993	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;KIF23;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;SPC25
LJP006 BT20 24H-palbociclib-10	48/168	2.2915489522271154E-48	4.6113603415316985E-45	0	0	31.45863453815261	3450.8504006077387	TOP2A;PCNA;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;FOXM1;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;ASPM;KIF18A;MELK;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK2;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	52/215	3.0948942526328095E-48	5.605162980943281E-45	0	0	25.44334543633404	2783.357745420979	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EXO1;NUSAP1;OIP5;MYBL2;KIF23;CDC25C;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF18A;WEE1;KIF18B;RAD51;KIF4A;CDK2;EZH2;SPC25
