Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	47/129	5.018858598400225E-38	9.474601262059944E-34	0	0	19.549577695423597	1679.0160863450112	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;E2F2;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;KIF18A;KIF18B;ESPL1;KIFC1;CDK1;DEPDC1;CKS2;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	49/154	2.462418958239797E-36	1.731418675974598E-32	0	0	15.95437352245863	1308.1297041756227	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	50/163	3.5077553926370745E-36	1.731418675974598E-32	0	0	15.14799038023232	1236.6529565993658	TOP2A;HJURP;KIF14;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;OSR2;KIF23;EMP3;CDC25C;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	56/215	3.668648534748592E-36	1.731418675974598E-32	0	0	12.158215055948872	992.0281590340951	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;ESPL1;KIFC1;DEPDC1;CKS2;KIF2C;KIF20A;HOXB7;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;BUB1;GINS2;POLQ;RRM2;UBE2C;NDC80;TPX2;COL3A1;KIF18A;KIF18B;RAD51;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	44/124	4.470394659877799E-35	1.5162636232298442E-31	0	0	18.662302284710016	1476.0575037040092	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;RCC1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;GINS2;RRM2;UBE2C;KIF23;CDC25C;NDC80;TPX2;KIF18A;KIF18B;ESPL1;KIFC1;CDK2;CDK1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	46/139	4.819144898495108E-35	1.5162636232298442E-31	0	0	16.83116193510459	1329.9627634934131	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;KIF18B;RAD51;ESPL1;CDK1;DEPDC1;KIF2C;KIF20A;HOXB7;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	50/183	1.8102112467255463E-33	4.881881130812123E-30	0	0	12.856742210766704	969.2937669154616	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;KIFC1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18A;KIF18B;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	50/184	2.416599185730196E-33	5.7025699285268295E-30	0	0	12.76013361257655	958.3236360211494	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;KIFC1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CDK2;CDK1;CENPM;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	48/168	3.674155376317015E-33	7.706745021568068E-30	0	0	13.640353982300885	1018.7159893733907	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;IGF2BP3;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18A;KIF18B;RAD51;ESPL1;KIFC1;CDK2;CDK1;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	42/121	4.555873109896249E-33	8.60057725686214E-30	0	0	17.97725509321865	1338.7462477656018	TOP2A;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;HMMR;MKI67;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;E2F2;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;POSTN;RRM2;UBE2C;KIF23;NDC80;TPX2;COL3A1;KIF18B;ESPL1;CDK1;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-10	53/215	5.995570851506439E-33	1.0289489684976233E-29	0	0	11.231536596119929	833.3158503777215	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;RCC1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;KIFC1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18A;KIF18B;RAD51;CDK2;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-3.33	49/179	7.350354976331283E-33	1.156333343693183E-29	0	0	12.869517184942717	952.2227765023031	TOP2A;HJURP;BUB1B;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;MTHFD2;DEPDC1;CKS2;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;EIF4EBP1;IGF2BP3;BUB1;HOXC6;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;CDK2;CDK1;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	46/154	8.84772305312883E-33	1.284825506130508E-29	0	0	14.482232673590698	1068.863324758901	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;CENPA;NCAPH;SKA1;AURKB;KIF15;AURKA;CDC20;CCNB2;CDC45;EXO1;EIF4EBP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18A;KIF18B;RAD51;CDK1;DEPDC1;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-3.33	45/150	3.513388877184892E-32	4.737553944535456E-29	0	0	14.548792756539235	1053.712928834027	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;SKA1;AURKB;KIF15;AURKA;CDC20;RAD51AP1;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;KIF18B;RAD51;ESPL1;CDK1;DEPDC1;CKS2;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	50/195	5.104968705041896E-32	6.424773280918727E-29	0	0	11.785386170147609	849.1666390208064	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;KIF15;CDC20;MDK;EXO1;OIP5;TK1;GTSE1;CEP55;DLGAP5;KIF23;ESPL1;KIFC1;DEPDC1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18A;KIF18B;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	48/178	7.073095936443353E-32	8.345369068011101E-29	0	0	12.584560925799863	902.6455615525966	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18A;KIF18B;RAD51;ESPL1;KIFC1;CDK2;CDK1;DEPDC1;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-mitoxantrone-0.04	46/162	1.0962116602757275E-31	1.2173108072167756E-28	0	0	13.477862920391656	960.8136332191125	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;CCNB2;EXO1;EIF4EBP1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18A;KIF18B;ESPL1;MTHFD2;CDK2;CDK1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 A549 24H-palbociclib-10	43/138	1.4285008564252202E-31	1.498179953755295E-28	0	0	15.319593721144967	1088.0513537067065	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;CENPA;NCAPH;HOXC10;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;OIP5;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;RAD51;ESPL1;CDK2;CDK1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 HS578T 24H-palbociclib-1.11	45/156	2.3776658237132984E-31	2.362398706318929E-28	0	0	13.758089074990483	970.1381492468831	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;RAD51;ESPL1;CDK2;CDK1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP005 MCF10A 24H-mitoxantrone-0.37	49/192	2.7180352167451744E-31	2.56555344108577E-28	0	0	11.691662946982095	822.8619110432966	TOP2A;HJURP;KIF14;MCM10;MKI67;KIF15;CDC20;EXO1;OIP5;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;ESPL1;KIFC1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;EIF4EBP1;IGF2BP3;BUB1;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18A;KIF18B;RAD51;CDK1;EZH2;APOBEC3B;SPC25
LJP006 MCF10A 24H-afatinib-1.11	47/174	2.869063334977839E-31	2.5791513160815072E-28	0	0	12.593138755182103	885.6269936596084	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;EIF4EBP1;IGF2BP3;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;RAD51;COL4A2;ESPL1;CDK1;DEPDC1;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.12	37/96	3.2712161015780895E-31	2.8070007984359627E-28	0	0	21.04331450094162	1477.1349578383508	TOP2A;TROAP;KIF14;HJURP;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;CCNB2;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;KIF23;NDC80;TPX2;KIF18A;KIF18B;ESPL1;MFAP2;DEPDC1;CDK1;KIF20A;ASF1B;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	48/186	6.486457251423852E-31	5.323971304016499E-28	0	0	11.850096190842631	823.7051796095237	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;KIF23;NDC80;TPX2;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;CDK1;DEPDC1;CKS2;CENPM;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	43/143	7.644298522586067E-31	6.012877812890824E-28	0	0	14.549842105263158	1008.9759376518462	TOP2A;TROAP;HJURP;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;LOXL2;KIF15;CDC20;RAD51AP1;CCNB2;CDC45;E2F2;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;SOX11;KIF23;NDC80;TPX2;KIF18B;ESPL1;KIFC1;CDK2;CDK1;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 A375 24H-palbociclib-1.11	40/120	9.530772421186199E-31	6.920073914121272E-28	0	0	16.847294938917976	1164.5795751665344	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;RAD51AP1;CCNB2;CDC45;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;ESPL1;KIFC1;CDK1;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.12	40/120	9.530772421186199E-31	6.920073914121272E-28	0	0	16.847294938917976	1164.5795751665344	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;CDC45;OIP5;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;CDK1;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-10	47/180	1.5334584419186585E-30	1.0098173944282098E-27	0	0	12.02128111798932	825.2612755577176	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;RAD51;COL4A2;KIFC1;CDK1;DEPDC1;CKS2;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	47/180	1.5334584419186585E-30	1.0098173944282098E-27	0	0	12.02128111798932	825.2612755577176	TOP2A;TROAP;HJURP;BUB1B;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;CDC20;RAD51AP1;CCNB2;CDC45;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;HOXC6;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18A;KIF18B;RAD51;ESPL1;KIFC1;CDK2;CDK1;DEPDC1;KIF20A;HOXB7;DTL;ASF1B;EZH2;SPC25
LJP006 MCF10A 24H-palbociclib-10	42/137	1.5512609618825132E-30	1.0098173944282098E-27	0	0	14.937118628445019	1025.2611879301498	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;MKI67;TYMS;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;OIP5;TK1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;KIF23;NDC80;TPX2;KIF18B;ESPL1;CDK1;DEPDC1;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
