Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-BI-2536-0.37	7/102	0.0015924408327198385	0.9818925788919777	0	0	4.42376493380691	28.500049514460123	ENPEP;CXCL9;CSTA;COL4A2;COL4A1;IGFBP7;MMP9
LJP005 A549 24H-ruxolitinib-10	5/55	0.0021850465075507826	0.9818925788919777	0	0	5.980792682926829	36.63904270040793	COL4A2;COL4A1;FN1;IGFBP7;LYZ
LJP009 A549 24H-serdemetan-3.33	2/5	0.0026736204772843533	0.9818925788919777	0	0	39.605236656596176	234.63416458546632	CHI3L1;MMP9
LJP005 BT20 3H-PF-477736-10	3/18	0.0031002568679387565	0.9818925788919777	0	0	11.91030303030303	68.79712978059625	CSTA;FN1;IGFBP7
LJP006 BT20 3H-WYE-125132-0.12	3/20	0.0042260325595866385	0.9818925788919777	0	0	10.508021390374331	57.44201124346472	SPP1;CHI3L1;MMP9
LJP008 PC3 24H-CX-5461-3.33	4/42	0.005133157914254739	0.9818925788919777	0	0	6.280275155975044	33.10982560467487	FCGBP;CSTA;APOC1;LYZ
LJP005 HS578T 3H-torin-2-0.04	4/42	0.005133157914254739	0.9818925788919777	0	0	6.280275155975044	33.10982560467487	CXCL9;CSTA;SPP1;MMP9
LJP007 PC3 24H-SB-525334-0.12	4/42	0.005133157914254739	0.9818925788919777	0	0	6.280275155975044	33.10982560467487	CXCL9;CSTA;FN1;IGFBP7
LJP005 BT20 3H-PLX-4720-10	3/23	0.006327922950001257	0.9818925788919777	0	0	8.930454545454545	45.21295546108102	CSTA;CHI3L1;IGFBP7
LJP005 A549 24H-dasatinib-0.12	4/45	0.0065723079500728835	0.9818925788919777	0	0	5.819853213729706	29.244123507214926	COL4A2;COL4A1;CHI3L1;MMP9
LJP006 HEPG2 24H-BI-2536-0.37	4/45	0.0065723079500728835	0.9818925788919777	0	0	5.819853213729706	29.244123507214926	FCGBP;CXCL9;APOC1;CHI3L1
LJP007 HA1E 24H-AZ-628-3.33	3/24	0.007143874026827108	0.9818925788919777	0	0	8.504761904761905	42.02628153909273	CD163;VNN1;MMP9
LJP009 MCF7 24H-AZD-1480-10	3/25	0.008019298080272021	0.9818925788919777	0	0	8.117768595041323	39.175575035659364	VNN1;LYZ;MMP9
LJP008 PC3 24H-I-BET151-0.04	4/50	0.009522580831282285	0.9818925788919777	0	0	5.185938945420906	24.135823325553485	CSTA;S100A4;LYZ;MMP9
LJP006 HS578T 24H-afatinib-3.33	4/50	0.009522580831282285	0.9818925788919777	0	0	5.185938945420906	24.135823325553485	CXCL9;APOC1;SPP1;LYZ
LJP006 PC3 24H-KIN001-043-0.12	3/29	0.012132887091812629	0.9818925788919777	0	0	6.867482517482517	30.298203659558215	FCGBP;CD163;SPP1
LJP006 A375 24H-KIN001-043-0.37	5/83	0.01252495160422707	0.9818925788919777	0	0	3.8283692933083175	16.768381911197675	COL4A2;COL4A1;SPP1;IGFBP7;MMP9
LJP005 MCF10A 3H-PD-184352-3.33	4/55	0.013221644476853065	0.9818925788919777	0	0	4.676321592466774	20.229299853640693	CXCL9;CHI3L1;LYZ;MMP9
LJP008 MCF7 24H-GSK-1070916-3.33	3/30	0.013317724458522546	0.9818925788919777	0	0	6.6127946127946124	28.558408044060297	VNN1;CHI3L1;MMP9
LJP005 SKBR3 24H-TG-101348-1.11	3/30	0.013317724458522546	0.9818925788919777	0	0	6.6127946127946124	28.558408044060297	SPP1;CHI3L1;MMP9
LJP006 BT20 3H-GSK-1059615-1.11	3/30	0.013317724458522546	0.9818925788919777	0	0	6.6127946127946124	28.558408044060297	FCGBP;SPP1;LYZ
LJP007 HEPG2 24H-dacomitinib-10	4/57	0.014924287331915228	0.9818925788919777	0	0	4.499397832195905	18.918912194265275	FCGBP;SPP1;S100A4;LYZ
LJP006 HME1 24H-QL-XII-47-0.37	7/157	0.016293141641763254	0.9818925788919777	0	0	2.793844580777096	11.502288921323226	CXCL9;CSTA;COL4A2;COL4A1;SPP1;IGFBP7;MMP9
LJP009 A549 24H-CH5424802-10	2/12	0.016337799491726847	0.9818925788919777	0	0	11.877341389728096	48.86663530877033	CXCL9;IGFBP7
LJP005 SKBR3 24H-TWS-119-10	4/59	0.01675929115394988	0.9818925788919777	0	0	4.33534125449019	17.726354067541905	SPP1;FN1;LYZ;S100A11
LJP005 SKBR3 3H-nilotinib-3.33	3/33	0.017255659865209754	0.9818925788919777	0	0	5.95060606060606	24.157170105871064	SPP1;CHI3L1;LYZ
LJP006 A549 24H-dasatinib-0.37	3/33	0.017255659865209754	0.9818925788919777	0	0	5.95060606060606	24.157170105871064	CSTA;IGFBP7;MMP9
LJP008 A375 24H-mocetinostat-1.11	3/33	0.017255659865209754	0.9818925788919777	0	0	5.95060606060606	24.157170105871064	CSTA;IGFBP7;MMP9
LJP009 HCC515 24H-D-4476-10	3/34	0.01869717282550638	0.9818925788919777	0	0	5.7583577712609975	22.914710748506117	CXCL9;CD163;LYZ
LJP008 HT29 24H-GSK-1070916-0.12	3/34	0.01869717282550638	0.9818925788919777	0	0	5.7583577712609975	22.914710748506117	FN1;IGFBP7;LYZ
LJP006 HS578T 3H-celastrol-3.33	3/34	0.01869717282550638	0.9818925788919777	0	0	5.7583577712609975	22.914710748506117	CXCL9;CHI3L1;MMP9
LJP006 HCC515 24H-KIN001-043-1.11	4/61	0.018729511655909036	0.9818925788919777	0	0	4.1827974190796136	16.637724380735612	FCGBP;COL4A2;COL4A1;IGFBP7
CPC019 A375 6H-BRD-K23282736-10.0	2/13	0.019098186333203527	0.9818925788919777	0	0	10.797033781928041	42.736407800627916	FN1;COL8A1
