Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 HEPG2 24H-I-BET151-1.11	15/98	1.5241882792215027E-11	2.7465872791571476E-7	0	0	12.61908845345796	314.30330839891747	CA12;CD163;C1R;IL1R2;CFI;F13A1;SERPINA5;FCGR2A;SLAMF8;SPP1;HLA-DRA;VSIG4;PI3;S100A9;IDO1
LJP008 HEPG2 24H-GSK-1070916-10	16/131	1.0610764384397061E-10	9.560298710341751E-7	0	0	9.733664596273291	223.548860389418	CA12;CSTA;ANXA1;ANGPT2;LUM;CAV1;PLA2G2A;F13A1;LYZ;COL3A1;SPP1;CHI3L1;S100A4;PI3;S100A9;GBP1
LJP006 PC3 24H-BI-2536-10	14/109	8.099113449662632E-10	4.864867478764021E-6	0	0	10.247331093691676	214.51861618859877	DENND2D;CA12;FCGBP;CSTA;ANXA1;C1R;HMGA2;CP;FSTL1;PSMB9;LOX;COL4A2;S100A4;S100A9
LJP006 HME1 24H-XMD-1150-10	15/151	7.451537105484619E-9	3.3310579387670414E-5	0	0	7.680552648105506	143.74035618658908	CA12;ANXA1;PLA2G2A;FN1;EMP3;FSTL1;PSMB9;COL3A1;LOX;COL4A2;COL4A1;IGFBP7;PTX3;CCL18;GBP1
LJP006 HEPG2 24H-BI-2536-10	14/131	9.242669086479027E-9	3.3310579387670414E-5	0	0	8.311147481360248	153.75153369420508	CA12;FCGBP;C1R;PROS1;IL1R2;CFI;LYZ;PSMB9;COL3A1;LOX;SPP1;ANG;GBP2;GBP1
LJP009 HA1E 24H-XMD-1499-10	9/44	1.358197729620439E-8	3.589402612483556E-5	0	0	17.622797411647586	319.22855356244196	FCGBP;ADAMDEC1;CD209;PLA2G2A;DPYD;F13A1;GBP2;HLA-DQA1;HLA-DPA1
LJP006 HEPG2 24H-A443654-0.12	13/114	1.4321563003750469E-8	3.589402612483556E-5	0	0	8.91575411958157	161.031888867732	CD163;ORM1;NID1;LYZ;CP;COL3A1;CHI3L2;S100A4;PTX3;CCL18;CPVL;S100A9;HLA-DQA1
LJP006 HCC515 24H-BI-2536-1.11	13/115	1.593519472800691E-8	3.589402612483556E-5	0	0	8.82789440864685	158.50251062115913	CA12;VCAM1;C1R;CFI;FN1;LYZ;MMP9;PSMB9;COL3A1;LOX;COL4A2;COL4A1;GBP1
LJP006 HME1 24H-BI-2536-0.37	12/102	3.6464837172375685E-8	6.509721524620682E-5	0	0	9.208450704225353	157.71237464695045	CSTA;COL3A1;ANXA1;COL4A2;COL4A1;HMGA2;IGFBP7;RNASE2;CP;MMP9;GBP1;PSMB9
LJP006 HME1 24H-BI-2536-1.11	12/102	3.6464837172375685E-8	6.509721524620682E-5	0	0	9.208450704225353	157.71237464695045	CA12;CD163;ANXA1;LOX;COL4A2;COL4A1;HMGA2;RNASE2;CP;MMP9;GBP1;PSMB9
LJP008 HEPG2 24H-I-BET-10	13/124	3.97374787851429E-8	6.509721524620682E-5	0	0	8.108394613694967	138.1749178300418	CA12;STEAP3;CSTA;C1R;IL1R2;EMP3;MMP9;SPP1;CHI3L1;CD48;PI3;GBP2;CCR2
