Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-XMD-1150-10	16/151	9.546699376139948E-8	0.001600676756277291	0	0	5.822072577628133	94.11080638853534	ENPEP;NNMT;PLA2G2A;TNC;FN1;EMP3;MMP14;COL3A1;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;PLP2;GBP1
LJP006 HME1 24H-BI-2536-1.11	13/102	1.771836126054119E-7	0.001600676756277291	0	0	7.138267015854242	110.97206496959072	CD163;NNMT;SLC43A3;TGFB1I1;TNC;SOX11;MMP9;LOX;COL4A2;COL4A1;SERPINH1;PLP2;GBP1
LJP005 A549 24H-dasatinib-0.12	8/45	3.350595084713826E-6	0.020179517330203137	0	0	10.463473374364463	131.90644394984494	COL3A1;COL4A2;COL4A1;CHI3L1;TGFBI;GBP1;MMP9;LOXL2
LJP006 HCC515 24H-BI-2536-1.11	12/115	4.537612393980635E-6	0.02049639518361053	0	0	5.675242718446602	69.82313310727505	COL3A1;NNMT;LOX;COL4A2;COL4A1;IGFBP3;FN1;LYZ;HOXB7;MMP9;GBP1;LTF
LJP006 HME1 24H-BI-2536-0.37	11/102	8.235571011466824E-6	0.02224660001811731	0	0	5.87725740593571	68.80533372011064	ENPEP;CSTA;COL3A1;COL4A2;COL4A1;TGFB1I1;SOX11;HOXB2;IGFBP7;MMP9;GBP1
LJP006 HS578T 24H-GSK-1059615-3.33	8/51	8.885686367379016E-6	0.02224660001811731	0	0	9.000690766751093	104.68765399856876	MTHFD2;TNC;CHI3L2;EIF4EBP1;TAGLN2;EMP3;GBP1;S100A11
LJP005 HCC515 24H-crizotinib-10	7/37	9.03106828776869E-6	0.02224660001811731	0	0	11.26798353909465	130.8758247262421	COL3A1;COL4A2;COL4A1;IGFBP3;ID3;IGFBP7;GBP1
LJP008 A375 24H-vorinostat-10	13/145	9.85016604742852E-6	0.02224660001811731	0	0	4.8023088023088025	55.361122701889876	PPP1R14B;TGFB1I1;NID1;MMP9;LOXL2;COL4A2;COL4A1;SERPINH1;HOXB2;IGFBP7;HOXB7;HOXB6;LTF
LJP006 BT20 24H-KIN001-043-3.33	12/127	1.2675758360047705E-5	0.02544728911659355	0	0	5.0799130434782604	57.28018092386001	FCGBP;COL3A1;NNMT;VNN1;FN1;STON1;ID3;IGFBP7;TGFBI;MMP9;HOXC10;TMEM45A
LJP007 A375 24H-XMD-885-10	9/73	1.8537447541417322E-5	0.03349346021783282	0	0	6.812810173697271	74.23045626253808	COL4A2;COL4A1;SERPINH1;HOXB2;IGFBP7;HOXB7;GBP1;HOXB6;LOXL2
LJP006 HS578T 24H-JW-7-24-1-0.12	5/19	3.317021825567492E-5	0.049570567791109375	0	0	17.176202176202175	177.15291237364323	TNC;CHI3L2;TAGLN2;EMP3;CD44
LJP006 HT29 24H-nintedanib-1.11	6/31	3.505923957878333E-5	0.049570567791109375	0	0	11.564334975369459	118.6323992330018	HP;TNC;PI3;MMP9;EGFR;LTF
LJP006 HME1 24H-BI-2536-10	11/119	3.5666226548838934E-5	0.049570567791109375	0	0	4.94781564607001	50.67209580461581	CSTA;COL3A1;NNMT;LOX;COL4A2;COL4A1;TNC;SERPINH1;TAGLN2;IGFBP7;GBP1
LJP005 A549 24H-XMD16-144-10	12/143	4.1683201348413285E-5	0.05379514871165223	0	0	4.455801526717558	44.93859577203869	COL3A1;NNMT;COL4A2;ANXA2;IGFBP3;TAGLN2;HOXB2;IGFBP7;TGFBI;EMP3;HOXB7;S100A11
LJP008 PC3 24H-I-BET-0.04	6/33	5.093469909717224E-5	0.05823519062305786	0	0	10.706622879036672	105.83460479924088	LOX;IGFBP3;CHI3L2;PI3;LYZ;LTF
