Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	52/163	4.405251308378944E-43	8.467333539835169E-39	0	0	20.228656273199704	1972.8677055208273	TOP2A;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;OSR2;KIF23;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	54/184	1.5562846810115714E-42	1.4956673926861709E-38	0	0	17.999070727929787	1732.7034481576652	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;CKS2;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
LJP006 A375 24H-palbociclib-10	50/154	7.015663203670942E-42	4.4949354145919725E-38	0	0	20.675208937404058	1959.191661458084	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;BRIP1;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 BT20 24H-palbociclib-10	51/168	4.946188880140996E-41	2.376767411629752E-37	0	0	18.774586894586896	1742.420059857415	TOP2A;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;IGF2BP3;E2F8;CDKN2C;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HME1 24H-palbociclib-10	55/215	9.318435093104926E-40	3.582192818491395E-36	0	0	14.905339125560538	1339.5638290400784	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;PBK;NUSAP1;RCC1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;CKS2;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	45/129	2.2589112631279713E-39	6.583781024946826E-36	0	0	22.808975563909776	2029.6780322637417	TOP2A;TROAP;BUB1B;NCAPG;MCM10;TTK;HMMR;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;RAD51AP1;CCNB2;EXO1;NUSAP1;PBK;E2F2;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;NDC80;CCNA2;TPX2;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;CKS2;BIRC5;KIF2C;KIF20A;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	51/180	2.3977143319612812E-39	6.583781024946826E-36	0	0	17.017571059431525	1513.3096753328339	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;TMEM45A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;RAD51AP1;CCNB2;CDC45;HOXC6;E2F8;CA12;CDKN2C;UBE2C;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2
LJP006 HME1 24H-palbociclib-3.33	51/183	6.010909230058012E-39	1.444196078886813E-35	0	0	16.62823232323232	1463.4048761374677	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;CCNA2;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;CKS2;BIRC5;KIF20A;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;KIF18B;KIF4A;CDK2;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HT29 24H-palbociclib-0.37	52/195	1.271490939740722E-38	2.7154808169729355E-35	0	0	15.676047782952015	1367.8612570573896	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;WDR76;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;CDKN2C;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 HCC515 24H-PHA-793887-3.33	51/186	1.4786934189961202E-38	2.8421966206524425E-35	0	0	16.2561975308642	1416.0298120236484	TOP2A;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;NEIL3;MELK;ESPL1;MTHFD2;KIFC1;TMSB15A;CKS2;BIRC5;KIF20A;PCNA;TROAP;NCAPG;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;E2F8;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
