Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	45/124	1.9778387674171764E-34	2.7257181023975864E-30	0	0	17.316275721399006	1343.844961915209	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;TPX2;NEIL3;ESPL1;KIFC1;CDK1;CKS2;BIRC5;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	49/154	2.952307719899904E-34	2.7257181023975864E-30	0	0	14.257445680975092	1100.7504568537074	TOP2A;HJURP;LMNB1;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	50/163	4.567399678625233E-34	2.8112345021938306E-30	0	0	13.534327264528493	1039.0160811026685	TOP2A;HJURP;LMNB1;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	45/129	1.5057551922215635E-33	6.950942406092793E-30	0	0	16.281313473256603	1230.4767669763933	TOP2A;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;PLK1;NDC80;CCNA2;TPX2;NEIL3;ESPL1;KIFC1;TMSB15A;CDK1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-3.33	47/150	1.4852786106879793E-32	5.485133909270707E-29	0	0	13.898312125921253	1018.5672769717606	TOP2A;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;IGFBP2;PLK1;NDC80;CCNA2;TPX2;NEIL3;RAD51;ESPL1;CDK1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	46/143	1.8439131441003222E-32	5.674642700968741E-29	0	0	14.425649223541694	1054.0942046618313	TOP2A;PCNA;TROAP;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;LMNB1;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;IGFBP2;PLK1;SOX11;NDC80;CCNA2;TPX2;ESPL1;KIFC1;TMSB15A;CDK1;ID3;BIRC5;KIF20A;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	51/184	2.517437223239944E-32	6.640639761017938E-29	0	0	11.735547001474979	853.8723157284996	TOP2A;HJURP;LMNB1;CDC20;PTTG1;NUSAP1;PBK;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CDC25C;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;CKS2;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	49/168	3.013085733455128E-32	6.954578508531117E-29	0	0	12.570934256055363	912.3953694263441	TOP2A;HJURP;LMNB1;CDC20;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CCNA2;NEIL3;ESPL1;KIFC1;TMSB15A;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	52/195	5.011502733791057E-32	1.0281933108827986E-28	0	0	11.140865524252106	802.9331761365504	TOP2A;HJURP;LMNB1;CDC20;PTTG1;MDK;PBK;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;WDR76;CCNA2;NEIL3;ESPL1;TMSB15A;KIFC1;BIRC5;KIF20A;DTL;ASF1B;PCNA;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;RAD51AP1;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CDK1;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HS578T 24H-palbociclib-0.12	45/142	1.8642198908385253E-31	3.442282028433337E-28	0	0	14.089754238530316	996.9529000402098	TOP2A;PCNA;HJURP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;CDC45;PTTG1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;BUB1;DLGAP5;GINS2;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;NEIL3;RAD51;ESPL1;KIFC1;CDK1;BIRC5;KIF20A;DTL;ASF1B;EZH2;APOBEC3B;SPC25
