Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	35/129	1.1165995433509697E-27	1.8810235907290436E-23	0	0	16.83411677387432	1044.7170309618832	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;NUSAP1;E2F2;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CKS2;KIF2C
LJP006 A375 24H-palbociclib-10	36/154	5.808481763348757E-26	4.892484189268658E-22	0	0	13.80846272371696	802.380677144171	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;BRIP1;CDC45;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CENPM
LJP005 A549 24H-dovitinib-10	41/215	9.92807021354436E-26	5.574942360578943E-22	0	0	10.75961017132943	619.450623006873	TOP2A;ARHGAP11A;ERCC6L;TROAP;KIF14;HJURP;NCAPG;CDCA8;BUB1B;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;BRIP1;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;POLQ;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;KIF4A;CDK2;CKS2;ID3;CENPM;KIF2C
LJP006 BT20 24H-PHA-793887-3.33	38/184	3.049951904488799E-25	1.1923217058129684E-21	0	0	11.818388887106606	667.1421612502091	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;RCC1;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;CKS2;CENPM
LJP006 HCC515 24H-PHA-793887-1.11	37/173	3.538886696583665E-25	1.1923217058129684E-21	0	0	12.331002611324903	694.2454985068568	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;EIF4EBP1;OIP5;MYBL2;GTSE1;BUB1;TFAP2B;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;MTHFD2;TMSB15A;KIF4A;CENPM
LJP006 LNCAP 24H-palbociclib-1.11	34/143	7.660885045749643E-25	2.150921158011641E-21	0	0	14.059132804018818	780.6825531882539	TOP2A;TROAP;HJURP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;CDC20;RAD51AP1;CDC45;NUSAP1;E2F2;OIP5;MYBL2;GTSE1;BUB1;GDF15;PLK1;SOX11;KIF23;CCNA2;TPX2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;ID3
LJP006 BT20 24H-palbociclib-10	36/168	1.478418982421924E-24	3.557920882554247E-21	0	0	12.33502860775588	676.8362054854714	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;OIP5;MYBL2;IGF2BP3;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;CENPM
LJP006 HCC515 24H-palbociclib-1.11	33/139	4.020359608453079E-24	8.46587224550007E-21	0	0	14.00150681341719	754.2705653471038	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIF4A;KIF2C
LJP006 HCC515 24H-PHA-793887-3.33	37/186	5.359788542624637E-24	1.0032333087672738E-20	0	0	11.24760082794957	602.6815191028677	TOP2A;TROAP;HJURP;KIF14;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;TMSB15A;KIF4A;CKS2;CENPM
LJP006 BT20 24H-palbociclib-3.33	35/163	6.165851582306905E-24	1.0386993575554212E-20	0	0	12.34093386627907	659.536725737524	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;KIF15;AURKA;CDC20;RAD51AP1;CDC45;NUSAP1;OIP5;MYBL2;GTSE1;BUB1;PLK1;KIF23;CCNA2;TPX2;ASPM;NEIL3;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;CENPM
