Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-10	42/180	1.1584387482446462E-33	2.3244073483528826E-29	0	0	17.48967551622419	1326.386119720471	NNMT;PCNA;HJURP;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;CA12;CDKN2C;RRM2;UBE2C;IGFBP2;F2R;PLK1;KIF23;CCNA2;TPX2;WEE1;RAD51;ESPL1;CDK2;KIF20A;HOXB7;ASF1B;TMEM45A
LJP006 BT20 24H-palbociclib-3.33	40/163	4.965689469391339E-33	4.9818279601668606E-29	0	0	18.592852204181867	1382.987587267469	PCNA;HJURP;TNC;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;PLK1;KIF23;EMP3;CCNA2;TPX2;WEE1;RAD51;ESPL1;CDK2;CENPM;KIF20A;PLP2;ASF1B
LJP006 BT20 24H-palbociclib-10	40/168	1.8117155730327314E-32	1.211735765763392E-28	0	0	17.861986803519063	1305.5049070449338	SPARC;PCNA;HJURP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;IGF2BP3;TK1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;PLK1;KIF23;MMP9;CCNA2;TPX2;RAD51;ESPL1;CDK2;CENPM;KIF20A;PLP2;ASF1B
LJP005 A549 24H-TG-101348-10	41/194	5.034416100493829E-31	2.525388976410217E-27	0	0	15.342291426374471	1070.3371693888391	NNMT;HJURP;TNC;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LOXL2;AURKA;CDC20;CDC45;EXO1;MYBL2;TK1;PITX1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP3;PLK1;KIF23;CCNA2;TPX2;COL3A1;RAD51;COL4A2;ESPL1;COL4A1;CDK2;ID3;KIF20A;HOXB7;NES;ASF1B
LJP005 A549 24H-dovitinib-10	42/215	2.7817291060475846E-30	9.917403597081222E-27	0	0	13.926236636145072	947.7427936725419	ARHGAP11A;ERCC6L;HJURP;NCAPG;CDCA8;BUB1B;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;POLQ;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;COL3A1;RAD51;ESPL1;CDK2;ID3;CENPM;KIF2C;KIF20A;HOXB7;NES;ASF1B
LJP006 LNCAP 24H-palbociclib-1.11	36/143	3.0525529093502536E-30	9.917403597081222E-27	0	0	19.028362454286874	1293.1974731179862	SPARC;PCNA;HJURP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;LOXL2;KIF15;LMNB1;CDC20;CCNB2;CDC45;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP2;PLK1;KIF23;MMP9;CCNA2;TPX2;ESPL1;CDK2;ID3;KIF20A;TGFBI;ASF1B
LJP006 BT20 24H-palbociclib-0.37	39/178	3.459846757018119E-30	9.917403597081222E-27	0	0	15.9813202069923	1084.114087291162	SLC43A3;HJURP;TNC;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;RAD51;ESPL1;CDK2;TAGLN2;KIF2C;KIF20A;PLP2;ASF1B
LJP005 A549 24H-NVP-BEZ235-0.37	41/207	7.858071817615628E-30	1.9709026377557198E-26	0	0	14.131343019135365	947.0262466948699	HJURP;NCAPG;CDCA8;BUB1B;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;EIF4EBP1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;POLQ;RRM2;UBE2C;IL1R2;PLK1;KIF23;PDIA4;CCNA2;TPX2;COL3A1;RAD51;ESPL1;CDK2;KIF20A;NES;ASF1B;TMEM45A
LJP006 BT20 24H-PHA-793887-3.33	39/184	1.3347601844084398E-29	2.975773677795038E-26	0	0	15.315305505142165	1018.256710813126	PCNA;HJURP;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;RCC1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;WEE1;RAD51;ESPL1;CDK2;CENPM;KIF20A;ASF1B
LJP006 MCF10A 24H-palbociclib-3.33	33/121	4.737907518252449E-29	9.506611435373539E-26	0	0	21.04633620689655	1372.628832638894	SPARC;HJURP;BUB1B;NCAPG;CDCA8;MCM10;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;CDKN2C;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;COL3A1;ESPL1;KIF20A;ASF1B
LJP006 A375 24H-palbociclib-10	36/154	5.313604077380072E-29	9.692496892057375E-26	0	0	17.244804716285923	1122.7177920488352	HJURP;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;CDKN2C;RRM2;UBE2C;PLK1;KIF23;MMP9;CCNA2;TPX2;RAD51;ESPL1;CENPM;KIF20A;ASF1B
LJP006 A375 24H-mitoxantrone-0.12	41/222	1.46031240513681E-28	2.4417640340891742E-25	0	0	12.950243743906402	830.029454639382	ARHGAP11A;ERCC6L;SPARC;HJURP;NCAPG;CDCA8;BUB1B;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;CA12;RRM2;UBE2C;PLK1;KIF23;CCNA2;TPX2;RAD51;ESPL1;CENPI;CENPM;KIF20A;PLP2;HOXB7;ASF1B
LJP006 HCC515 24H-palbociclib-1.11	34/139	3.7126789207547407E-28	5.730377118841837E-25	0	0	18.209853163167285	1150.145778084726	HJURP;BUB1B;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;E2F8;RRM2;PLK1;KIF23;CCNA2;TPX2;RAD51;ESPL1;KIF2C;KIF20A;HOXB7;ASF1B
LJP006 MDAMB231 24H-palbociclib-3.33	35/151	4.385236733669637E-28	6.2849839329343775E-25	0	0	17.007300179390075	1071.3602313844804	PCNA;HJURP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;EXO1;MYBL2;BUB1;CEP55;DLGAP5;E2F8;RRM2;UBE2C;PLK1;KIF23;MMP9;CCNA2;TPX2;RAD51;ESPL1;CDK2;CENPM;KIF20A;ASF1B
LJP006 LNCAP 24H-palbociclib-0.37	30/100	6.952966463948528E-28	9.300751473275149E-25	0	0	23.86935286935287	1492.6273559372996	PCNA;HJURP;BUB1B;NCAPG;CDCA8;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;CDC20;MYBL2;TK1;BUB1;CEP55;DLGAP5;CA12;RRM2;UBE2C;IGFBP2;PLK1;CCNA2;TPX2;ESPL1;CDK2;ID3;KIF20A;ASF1B
LJP006 A375 24H-NVP-TAE684-10	37/178	8.396404311830945E-28	1.0529615782305494E-24	0	0	14.858279729506846	926.3331951097081	PCNA;HJURP;BUB1B;NCAPG;MCM10;MKI67;FOXM1;NCAPH;AURKB;LOXL2;KIF15;LMNB1;AURKA;CDC20;PLAU;EXO1;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;IGFBP3;PLK1;FN1;KIF23;MMP9;CCNA2;TPX2;RAD51;COL4A2;COL4A1;ID3;KIF20A;NES;ASF1B
LJP006 MCF10A 24H-canertinib-3.33	38/193	1.3141888549338808E-27	1.5511293749557834E-24	0	0	13.912009780870873	861.105796811793	PCNA;HJURP;NCAPG;CDCA8;MCM10;TTK;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;CCNB2;CDC45;PLAU;EXO1;EIF4EBP1;MYBL2;TK1;BUB1;CEP55;DLGAP5;RRM2;UBE2C;PLK1;FN1;KIF23;MMP9;CCNA2;TPX2;RAD51;COL4A2;ESPL1;KIF20A;VIM;ASF1B
