Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 PC3 24H-belinostat-10	12/151	8.851203170093468E-8	0.001203232558942506	0	0	8.354963319984407	135.68566826055286	STEAP3;MMP14;SPARC;ANXA1;PLAU;MDK;HOXB2;IGFBP7;HOXB7;NES;HOXB6;LMNB1
LJP006 HS578T 24H-BI-2536-0.37	10/115	4.6648451251645795E-7	0.002687351757179162	0	0	9.142857142857142	133.28494643686176	POSTN;ANXA1;TGFB1I1;TAGLN2;HOXB2;IGFBP7;PLP2;HOXB7;NES;S100A11
LJP006 HS578T 24H-BI-2536-10	10/118	5.93059825771479E-7	0.002687351757179162	0	0	8.887533875338754	127.42919902368207	POSTN;ANXA1;PCNA;TGFB1I1;TNC;IGFBP7;EMP3;NES;S100A11;EGFR
LJP009 HEPG2 24H-QL-XI-92-10	9/98	1.1151853001349349E-6	0.003789957242508576	0	0	9.668593869313844	132.52248497495188	SPARC;TNC;IGFBP7;VIM;HOXB7;HOXB6;ASF1B;LMNB1;E2F8
LJP006 HME1 24H-XMD-1150-10	10/151	5.6043143374015526E-6	0.015237009820527342	0	0	6.796056045666839	82.17773191563384	POSTN;MMP14;SPARC;ANXA1;TNC;TAGLN2;IGFBP7;EMP3;PLP2;LMNB1
LJP006 A375 24H-BI-2536-3.33	8/93	7.283151193202087E-6	0.015318283103900857	0	0	8.957090082409776	105.96190035081601	SPARC;HOXB2;IGFBP7;PLP2;HOXB7;NES;HOXB6;LMNB1
LJP008 PC3 24H-belinostat-1.11	8/94	7.887890372760483E-6	0.015318283103900857	0	0	8.85248848443995	104.01834941749588	STEAP3;SPARC;ANXA1;HOXB2;HOXB7;HOXB6;PPIC;IDO1
LJP006 HME1 24H-BI-2536-0.37	8/102	1.4439284660617249E-5	0.02453595445955386	0	0	8.095796073594409	90.23216440673541	POSTN;SPARC;ANXA1;PCNA;TGFB1I1;HOXB2;IGFBP7;LMNB1
LJP008 HA1E 24H-pracinostat-10	11/211	1.8633811896357327E-5	0.028145337657675722	0	0	5.280269607843137	57.50494927063919	ANXA1;PLAU;MDK;TGFB1I1;HOXB2;EMP3;HOXB7;HOXB6;CD44;IDO1;LMNB1
LJP008 PC3 24H-I-BET151-3.33	10/187	3.611085023032306E-5	0.0360925440071654	0	0	5.403885903265812	55.275901340560026	POSTN;MMP14;SPARC;ANXA1;MDK;TAGLN2;HOXB2;IGFBP7;NES;LMNB1
LJP006 MDAMB231 24H-AS-605240-10	7/85	3.650185433938741E-5	0.0360925440071654	0	0	8.502773668639053	86.88259546145913	STEAP3;PCNA;PLAU;CHI3L1;PLP2;CD44;ASF1B
LJP006 HCC515 24H-KIN001-043-10	8/117	3.913125279735937E-5	0.0360925440071654	0	0	6.9763772547976775	70.80038620715015	SPARC;CSRP2;PCNA;MDK;TNC;HOXB2;IGFBP7;ASF1B
LJP005 A375 24H-PF-477736-1.11	7/87	4.2436855922491274E-5	0.0360925440071654	0	0	8.28936298076923	83.45310651755568	ANXA1;IQGAP2;HOXB7;NES;LMNB1;IDO1;ASF1B
LJP006 HS578T 24H-JW-7-24-1-0.12	4/19	4.4344213596948106E-5	0.0360925440071654	0	0	24.98578199052133	250.44569360523374	TNC;TAGLN2;EMP3;CD44
LJP009 PC3 24H-vorinostat-10	9/154	4.465634532988986E-5	0.0360925440071654	0	0	5.9176431201874795	59.274156036689384	STEAP3;SPARC;ANXA1;MDK;TGFB1I1;HOXB2;HOXB7;HOXB6;LMNB1
LJP007 HCC515 24H-AT7867-10	9/154	4.465634532988986E-5	0.0360925440071654	0	0	5.9176431201874795	59.274156036689384	TFAP2A;POSTN;WEE1;PCNA;IGFBP7;NES;PPIC;ASF1B;LMNB1
LJP008 HCC515 24H-GSK-461364-1.11	5/37	4.513559277047313E-5	0.0360925440071654	0	0	14.697172619047619	147.05754924273307	POSTN;SPARC;IGFBP7;NES;CD44
LJP005 HEPG2 24H-BYL719-3.33	5/39	5.8586050542305405E-5	0.04245555661826257	0	0	13.831232492997199	134.78555338347488	POSTN;TNC;CHI3L1;TAGLN2;EMP3
LJP008 HA1E 24H-vorinostat-10	10/199	6.107398190680633E-5	0.04245555661826257	0	0	5.057684862562911	49.07686376762924	SPARC;ANXA1;MDK;TGFB1I1;HOXB2;EMP3;PLP2;HOXB7;HOXB6;EGFR
LJP007 HA1E 24H-WZ-4002-0.37	5/40	6.637389436886617E-5	0.04245555661826257	0	0	13.435374149659864	129.25107689367675	TFAP2A;POSTN;CHI3L1;CD44;PPIC
LJP006 BT20 24H-palbociclib-3.33	9/163	6.944120589507488E-5	0.04245555661826257	0	0	5.569253561972008	53.32577061161488	OSR2;WEE1;PCNA;TNC;EMP3;PLP2;ASF1B;LMNB1;E2F8
LJP009 HCC515 24H-JWE-035-10	8/127	7.018248410898977E-5	0.04245555661826257	0	0	6.386879389436934	61.08674454758302	TFAP2A;STEAP3;ANXA1;PCNA;HOXB2;IGFBP7;HOXB7;HOXB6
LJP007 HCC515 24H-quizartinib-10	7/95	7.464085867693217E-5	0.04245555661826257	0	0	7.5327250874125875	71.58214942622777	TFAP2A;SPARC;ANXA1;PCNA;TNC;TAGLN2;NES
LJP008 MCF7 24H-LY2603618-3.33	6/66	7.639971078812444E-5	0.04245555661826257	0	0	9.437799043062201	89.46591470951593	SPARC;CSRP2;TNC;TAGLN2;LMNB1;IDO1
LJP005 PC3 24H-NVP-AUY922-1.11	7/96	7.9785936767266E-5	0.04245555661826257	0	0	7.4477095937770095	70.27780393804763	ABCC3;STEAP3;PCNA;PLAU;TNC;CHI3L1;S100A11
LJP005 MCF10A 3H-AZD-6482-10	5/42	8.432396856650651E-5	0.04245555661826257	0	0	12.707850707850708	119.21037025980216	TNC;CHI3L1;IGFBP7;EMP3;NES
LJP006 HT29 24H-sorafenib-10	5/42	8.432396856650651E-5	0.04245555661826257	0	0	12.707850707850708	119.21037025980216	WEE1;ANXA1;TNC;NES;CD44
LJP007 HCC515 24H-NVP-BGT226-3.33	8/132	9.210671549089024E-5	0.04471781037082721	0	0	6.127785569580801	56.942831630663605	TFAP2A;SPARC;CSRP2;ANXA1;PCNA;TNC;NES;LMNB1
LJP006 PC3 24H-QL-X-138-0.12	4/23	9.7948019990052E-5	0.04591397874981955	0	0	19.72162634073335	182.05178482063135	POSTN;TNC;EMP3;CD44
