Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	26/143	1.1519734343195666E-10	2.2587895100138064E-6	0	0	5.399009200283086	123.55294808175793	SPARC;HJURP;HMMR;TYMS;LOXL2;CDC20;CCNB2;CSRP2;CDC45;PTTG1;SPP1;TK1;GTSE1;CEP55;DLGAP5;RRM2;GDF15;IGFBP2;PLK1;KIF23;NDC80;ASPM;CHI3L1;KIF20A;TGFBI;SPC25
LJP006 MCF10A 24H-palbociclib-1.11	21/106	1.3875133327284785E-9	1.0253073441303655E-5	0	0	5.974445271779598	121.85330805097568	ENPEP;RRM2;PLK1;HJURP;HMMR;NID1;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;PTTG1;KIF20A;TK1;PITX1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 LNCAP 24H-JW-7-24-1-1.11	18/78	1.5687076868579645E-9	1.0253073441303655E-5	0	0	7.236696090794451	146.709638889614	CA12;RRM2;PLK1;HJURP;KIF23;HMMR;TYMS;CDC20;ASPM;CCNB2;CDC45;PTTG1;KIF20A;GTSE1;CEP55;DLGAP5;TMEM45A;APOBEC3B
LJP005 A375 24H-TG-101348-10	29/199	2.2951988250992643E-9	1.0932641497858382E-5	0	0	4.1488716714307206	82.53120719155396	CSTA;SPARC;HJURP;HMMR;TYMS;NID1;AURKA;CDC20;CDC45;PTTG1;IGFBP7;TK1;GTSE1;CEP55;DLGAP5;POSTN;ANXA1;RRM2;PLK1;IGFBP2;KIF23;NDC80;ASPM;COL4A2;COL4A1;KIF20A;NES;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	22/121	3.0942889938554586E-9	1.0932641497858382E-5	0	0	5.376707505985072	105.34963517759749	POSTN;SPARC;ANXA1;RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;SPC25
LJP005 A549 24H-dovitinib-1.11	19/91	3.345361535452381E-9	1.0932641497858382E-5	0	0	6.369651374859708	124.30814843535701	CA12;POSTN;RRM2;IGFBP2;PLK1;HJURP;LYZ;NDC80;AURKA;CDC20;ASPM;CCNB2;CDC45;CHI3L1;KIF20A;GTSE1;CEP55;DLGAP5;SPC25
LJP006 HCC515 24H-palbociclib-0.12	19/96	8.55036436269711E-9	2.210917659469622E-5	0	0	5.954479863570772	110.61811077274734	PLK1;HJURP;BUB1B;KIF23;HMMR;NDC80;AURKA;CDC20;ASPM;CCNB2;KIF18A;PTTG1;TK1;KIF20A;GTSE1;NES;CEP55;DLGAP5;SPC25
LJP006 MCF10A 24H-PHA-793887-3.33	21/118	1.0486997661158527E-8	2.210917659469622E-5	0	0	5.232050110922615	96.1291351023715	SPARC;RRM2;PLK1;HJURP;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;IGF2BP3;KIF20A;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	22/129	1.0647464004855722E-8	2.210917659469622E-5	0	0	4.972625943167146	91.28718906879689	SPARC;RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP007 HCC515 24H-BS-181-10	17/78	1.1275589858576204E-8	2.210917659469622E-5	0	0	6.713796093653219	122.86666891517893	SPARC;RRM2;PLK1;HMMR;TYMS;NDC80;AURKA;CDC20;ASPM;CCNB2;PTTG1;KIF20A;GTSE1;CEP55;DLGAP5;HOXB6;APOBEC3B
LJP007 A375 24H-vorinostat-10	25/167	1.6767839274495456E-8	2.859237511228646E-5	0	0	4.266342328781851	76.38375307188531	SPARC;SLC43A3;TGFB1I1;HJURP;HMMR;NID1;TFPI;TYMS;CCNB2;IGFBP7;GTSE1;DLGAP5;PPP1R14B;ANXA1;RRM2;PLK1;KIF23;NDC80;ASPM;COL4A2;COL4A1;KIF20A;TGFBI;NES;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	26/180	1.85766523550076E-8	2.859237511228646E-5	0	0	4.09388700471503	72.87675757567389	NNMT;HJURP;BUB1B;HMMR;TYMS;CDC20;CCNB2;CDC45;PTTG1;TK1;GTSE1;CEP55;DLGAP5;CA12;RRM2;IGFBP2;F2R;PLK1;KIF23;NDC80;ASPM;KIF18A;WEE1;KIF20A;TMEM45A;SPC25
LJP006 BT20 24H-palbociclib-10	25/168	1.895659304670155E-8	2.859237511228646E-5	0	0	4.236285343155572	75.3258728260781	SPARC;HJURP;HMMR;TYMS;AURKA;CDC20;CCNB2;CSRP2;CDC45;PTTG1;IGF2BP3;TK1;GTSE1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;ASPM;KIF18A;KIF20A;PLP2;APOBEC3B;SPC25
LJP007 HCC515 24H-DCC-2036-3.33	19/101	2.0508365511543656E-8	2.8723430782167715E-5	0	0	5.589939024390244	98.95552083147587	RRM2;PLK1;HJURP;HMMR;TYMS;NDC80;CDC20;CCNB2;ASPM;CSRP2;CDC45;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;PPIC;SPC25
LJP005 A549 24H-TG-101348-10	27/194	2.222072609713389E-8	2.9046933154173422E-5	0	0	3.92272088476109	69.12713035776409	CSTA;NNMT;HJURP;HMMR;TYMS;SKA1;LOXL2;AURKA;CDC20;CDC45;TK1;GTSE1;PITX1;CEP55;DLGAP5;RRM2;IGFBP3;PLK1;KIF23;ASPM;KIF18A;COL4A2;COL4A1;KIF20A;NES;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-1.11	21/124	2.603030498030511E-8	3.190013875336391E-5	0	0	4.925722010569006	86.02283087322071	RRM2;PLK1;HJURP;KIF23;HMMR;CDC25C;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;PTTG1;SPP1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;SPC25
LJP006 HME1 24H-XMD-1150-10	23/151	4.4852440428067434E-8	4.892990657364037E-5	0	0	4.346476443527918	73.54189390982953	CA12;TFAP2B;POSTN;ENPEP;SPARC;NNMT;ANXA1;PLK1;PLA2G2A;NDC80;AURKA;ASPM;MMP14;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;IGFBP7;KIF20A;PLP2;CEP55;SPC25
LJP009 HEPG2 24H-KIN001-127-10	21/128	4.6172422031327805E-8	4.892990657364037E-5	0	0	4.7405891399503135	80.0727371910159	POSTN;RRM2;PLK1;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;PTTG1;S100A4;IGFBP7;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.12	20/117	4.741270016825617E-8	4.892990657364037E-5	0	0	4.976605367080689	83.92734266136912	RRM2;PLK1;HJURP;HMMR;NID1;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CSRP2;CDC45;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 MCF7 24H-palbociclib-1.11	21/130	6.0930286027634E-8	5.715596094101124E-5	0	0	4.653118104749739	77.30474271813081	RRM2;GDF15;PLK1;HJURP;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.37	25/178	6.121354445946737E-8	5.715596094101124E-5	0	0	3.9573250844018695	65.72680613597248	SLC43A3;HJURP;BUB1B;HMMR;TYMS;AURKA;CDC20;CCNB2;CDC45;PTTG1;GTSE1;CEP55;DLGAP5;ANXA1;RRM2;PLK1;KIF23;NDC80;ASPM;KIF18A;TAGLN2;KIF20A;PLP2;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	23/154	6.51743103881556E-8	5.808808536777068E-5	0	0	4.246270391754175	70.25964110129637	RRM2;IGFBP2;PLK1;HJURP;KIF23;HMMR;SKA1;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;CDC45;PTTG1;SPP1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-1.11	20/120	7.342879886446085E-8	5.911140888951245E-5	0	0	4.826548672566371	79.28547189805204	RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;TYMS;NDC80;AURKA;CCNB2;ASPM;CSRP2;CDC45;PTTG1;KIF20A;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-0.12	20/120	7.342879886446085E-8	5.911140888951245E-5	0	0	4.826548672566371	79.28547189805204	RRM2;PLK1;HJURP;BUB1B;HMMR;TYMS;NDC80;AURKA;CDC20;ASPM;CSRP2;CDC45;PTTG1;KIF20A;PLP2;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 MCF7 24H-PHA-793887-1.11	17/88	7.536644340258115E-8	5.911140888951245E-5	0	0	5.765175435484443	94.55408718118188	SPARC;RRM2;PLK1;KIF23;TYMS;NDC80;AURKA;CDC20;ASPM;CCNB2;PTTG1;SPP1;KIF20A;GTSE1;CEP55;DLGAP5;SPC25
LJP005 MCF7 24H-mitoxantrone-0.12	22/144	8.305070677659612E-8	5.9516047435334995E-5	0	0	4.357809221051757	71.04891312575594	CA12;RRM2;PLK1;HJURP;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;CHI3L1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-1.11	22/144	8.305070677659612E-8	5.9516047435334995E-5	0	0	4.357809221051757	71.04891312575594	RRM2;PLK1;HJURP;KIF23;HMMR;NID1;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;IGFBP7;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP005 SKBR3 24H-GDC-0980-0.04	15/69	8.498823583177171E-8	5.9516047435334995E-5	0	0	6.67748464544947	108.71447812052692	ANXA1;RRM2;ANXA2;PLK1;HMMR;NDC80;AURKA;CDC20;CCNB2;PTTG1;KIF20A;TGFBI;GTSE1;CEP55;DLGAP5
LJP006 HT29 24H-palbociclib-0.37	26/195	9.744457203819181E-8	6.395994992533674E-5	0	0	3.7275845173934345	60.178057771674005	HJURP;BUB1B;HMMR;TYMS;SKA1;AURKA;CDC20;CCNB2;CSRP2;CDC45;PTTG1;MDK;TK1;GTSE1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;ASPM;KIF18A;KIF20A;PLP2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-0.37	18/100	9.785794052224103E-8	6.395994992533674E-5	0	0	5.2890536093255	85.3639976832844	CA12;RRM2;IGFBP2;PLK1;HJURP;BUB1B;HMMR;TYMS;NDC80;CDC20;ASPM;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;SPC25
LJP005 A375 24H-NU-7441-10	18/101	1.146327107183997E-7	7.250703844407682E-5	0	0	5.2250565946003436	83.50441251010832	SPARC;ANXA1;RRM2;HJURP;BUB1B;NDC80;AURKA;CCNB2;ASPM;COL4A2;COL4A1;S100A4;IGF2BP3;KIF20A;GTSE1;DLGAP5;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	23/163	1.8843399355325792E-7	1.1414334886226778E-4	0	0	3.97141950688905	61.49551707114015	RRM2;PLK1;HJURP;KIF23;HMMR;CDC25C;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;WEE1;CDC45;PTTG1;KIF20A;TK1;PLP2;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP005 MCF7 24H-mitoxantrone-0.37	20/127	1.9259821521563545E-7	1.1414334886226778E-4	0	0	4.509139029029857	69.7232819148868	RRM2;PLK1;HJURP;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;CLEC5A;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	21/139	1.9792298354330396E-7	1.1414334886226778E-4	0	0	4.296191804333834	66.31338679474497	RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HME1 24H-MK-2206-10	16/84	2.2282815560859288E-7	1.248346992906654E-4	0	0	5.659193488716241	86.68110247863513	POSTN;PLK1;KIF23;HMMR;NDC80;AURKA;CDC20;PRDX4;PTTG1;MDK;KIF20A;PITX1;GTSE1;CEP55;DLGAP5;SPC25
LJP005 HEPG2 24H-TG-101348-10	24/179	2.7114796684509856E-7	1.4754248301881084E-4	0	0	3.744853875476493	56.6244418608768	POSTN;CSTA;SPARC;RRM2;IL1R2;PLK1;HMMR;NID1;TYMS;AURKA;CDC20;CCNB2;ASPM;PTTG1;MDK;SPP1;S100A4;KIF20A;TGFBI;NES;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 A375 24H-palbociclib-10	22/154	2.7841043817299067E-7	1.4754248301881084E-4	0	0	4.025559780312632	60.762481317274414	RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;CDC25C;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 MCF10A 24H-canertinib-3.33	25/193	3.003295250325285E-7	1.549700349167847E-4	0	0	3.601152611171695	54.08349833296418	HJURP;HMMR;TYMS;SKA1;AURKA;CDC20;CCNB2;CDC45;PTTG1;PLAU;SPP1;TK1;GTSE1;CEP55;DLGAP5;RRM2;PLK1;KIF23;NDC80;ASPM;COL4A2;KIF20A;VIM;APOBEC3B;SPC25
LJP005 HCC515 24H-NU-7441-10	23/168	3.2797699419348155E-7	1.6489674108066118E-4	0	0	3.8334675301942935	57.234906023320654	POSTN;ANXA1;RRM2;IGFBP3;PLK1;HJURP;KIF23;HMMR;TYMS;AURKA;CDC20;CCNB2;ASPM;COL4A2;COL4A1;IGFBP7;IGF2BP3;KIF20A;TK1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 LNCAP 24H-OSI-027-3.33	18/109	3.7796543399518837E-7	1.8527865574444134E-4	0	0	4.763715477460749	70.44803050952468	FCGBP;RRM2;PLK1;HJURP;KIF23;HMMR;TYMS;CDC20;CCNB2;ASPM;CDC45;PTTG1;KIF20A;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	24/183	4.1018871946173117E-7	1.961702539318445E-4	0	0	3.6498765313706216	53.67745118526336	RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;CDC25C;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;CDC45;PTTG1;SPP1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP005 A549 24H-mitoxantrone-0.37	24/184	4.539724818080125E-7	2.0351335587763555E-4	0	0	3.626874205844981	52.97132924997087	ANXA1;RRM2;PLK1;HJURP;KIF23;HMMR;SKA1;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;WEE1;CSRP2;PTTG1;IGFBP7;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-10	21/146	4.605166417769421E-7	2.0351335587763555E-4	0	0	4.054116455696202	59.15327607855948	RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;WEE1;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 MCF10A 24H-gefitinib-0.37	21/146	4.605166417769421E-7	2.0351335587763555E-4	0	0	4.054116455696202	59.15327607855948	RRM2;PLK1;HJURP;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CDC45;PTTG1;COL4A2;SPP1;IGF2BP3;KIF20A;GTSE1;CEP55;DLGAP5;SPC25
LJP006 PC3 24H-palbociclib-3.33	14/68	4.6705941526385145E-7	2.0351335587763555E-4	0	0	6.224499279706306	90.73333936064394	CA12;SPARC;PLK1;KIF23;HMMR;NDC80;AURKA;CDC20;ASPM;KIF20A;GTSE1;CEP55;DLGAP5;SPC25
LJP006 BT20 24H-PHA-793887-1.11	18/111	4.99883430084018E-7	2.1308074558885708E-4	0	0	4.66078184110971	67.622775267171	RRM2;PLK1;HJURP;KIF23;HMMR;NDC80;AURKA;CDC20;CCNB2;ASPM;KIF18A;PTTG1;KIF20A;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HCC515 24H-GSK-2126458-10	21/148	5.800469924192879E-7	2.369491964032791E-4	0	0	3.9898534835044352	57.29492129411132	RRM2;IGFBP3;PLK1;HJURP;BUB1B;KIF23;TYMS;NDC80;LOXL2;AURKA;CDC20;ASPM;CSRP2;COL4A2;COL4A1;KIF20A;TK1;GTSE1;NES;DLGAP5;SPC25
LJP006 MCF10A 24H-lapatinib-10	21/148	5.800469924192879E-7	2.369491964032791E-4	0	0	3.9898534835044352	57.29492129411132	RRM2;PLK1;HJURP;KIF23;TYMS;SKA1;NDC80;AURKA;CDC20;CCNB2;ASPM;PTTG1;COL4A2;SPP1;IGF2BP3;KIF20A;VIM;GTSE1;CEP55;DLGAP5;SPC25
LJP005 MCF10A 24H-mitoxantrone-1.11	21/149	6.499022188033628E-7	2.535269814618549E-4	0	0	3.9584750791139243	56.39419321533008	ANXA1;RRM2;PLK1;HJURP;HMMR;NID1;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;PTTG1;CHI3L1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 MCF10A 24H-palbociclib-10	20/137	6.759978136981499E-7	2.535269814618549E-4	0	0	4.12158146671421	58.555621117534486	RRM2;IGFBP2;PLK1;HJURP;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;PTTG1;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-10	26/215	6.777800240813741E-7	2.535269814618549E-4	0	0	3.3296262595625654	47.29548658143565	HJURP;BUB1B;HMMR;TYMS;SKA1;AURKA;CDC20;CCNB2;CSRP2;CDC45;PTTG1;TK1;GTSE1;CEP55;DLGAP5;RRM2;PLK1;KIF23;CDC25C;NDC80;ASPM;KIF18A;WEE1;KIF20A;APOBEC3B;SPC25
LJP005 A375 24H-dovitinib-1.11	23/175	6.852779486678045E-7	2.535269814618549E-4	0	0	3.655582086561582	51.885289823281575	CA12;RRM2;PLK1;HJURP;BUB1B;KIF23;HMMR;TYMS;NDC80;AURKA;CDC20;CCNB2;ASPM;CSRP2;PTTG1;IGF2BP3;KIF20A;TK1;GTSE1;CEP55;DLGAP5;APOBEC3B;SPC25
