Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 MDAMB231 24H-PD-184352-3.33	5/22	0.0010532874611292543	0.9999926335268148	0	0	7.722092929941417	52.94142657003378	CA12;SLC43A3;GDF15;PLAU;MMP9
LJP006 MCF10A 24H-dasatinib-1.11	7/49	0.0020165680431811486	0.9999926335268148	0	0	4.382124943000456	27.19703707784592	COL4A2;PLAU;COL4A1;IGFBP3;SPP1;TGFBI;CEP55
LJP009 HA1E 24H-BX-795-3.33	6/37	0.0021635059591148644	0.9999926335268148	0	0	5.084875727128503	31.200925823840187	CSRP2;LOX;IGFBP3;TNC;NID1;LEFTY2
LJP006 MCF7 3H-celastrol-10	5/27	0.002772564470254159	0.9999926335268148	0	0	5.965521518045392	35.124886811897596	HOXA10;LOX;MDK;GDF15;SPP1
LJP006 MCF7 24H-BI-2536-0.12	6/40	0.003253335745243163	0.9999926335268148	0	0	4.635486981677917	26.552414431155285	CA12;GDF15;CDK2;SPP1;MMP9;E2F8
LJP005 MDAMB231 3H-NVP-AUY922-0.37	5/29	0.003838122653111182	0.9999926335268148	0	0	5.467826284674852	30.416270543603098	WEE1;FOXD1;PLA2G2A;SPP1;PI3
LJP006 HME1 24H-BI-2536-1.11	10/102	0.00442349665964959	0.9999926335268148	0	0	2.8622193024366935	15.515589366749689	CA12;ANXA1;LOX;COL4A2;COL4A1;MDK;SLC43A3;TNC;SERPINH1;MMP9
LJP005 SKBR3 24H-TG-101348-1.11	5/30	0.004468179766126887	0.9999926335268148	0	0	5.248840381991815	28.40028993218709	SLC43A3;SPP1;CHI3L1;MMP9;NES
LJP006 HS578T 3H-XMD-1150-1.11	5/30	0.004468179766126887	0.9999926335268148	0	0	5.248840381991815	28.40028993218709	HOXA10;COL4A2;GDF15;TNC;HOXB2
LJP006 MDAMB231 3H-geldanamycin-0.04	5/30	0.004468179766126887	0.9999926335268148	0	0	5.248840381991815	28.40028993218709	HOXA10;CA12;SFRP4;SPP1;CHI3L1
LJP006 A549 24H-lapatinib-10	4/19	0.004577640203917237	0.9999926335268148	0	0	6.9925522252497725	37.66588359835051	ANXA1;TNC;CYTL1;CD44
LJP009 HEPG2 24H-rondual-kinase-inhibitor-10	6/43	0.00470719844439226	0.9999926335268148	0	0	4.258972086840939	22.822393405660648	CA12;LOX;HOXB2;TGFBI;CD44;LOXL2
LJP006 BT20 3H-WYE-125132-0.12	4/20	0.0055572452724993796	0.9999926335268148	0	0	6.555177111716621	34.03875844333441	HOXA10;SPP1;CHI3L1;MMP9
LJP005 A549 24H-dasatinib-0.12	6/45	0.005910690602566169	0.9999926335268148	0	0	4.040142917192098	20.729943415761227	COL4A2;COL4A1;CHI3L1;TGFBI;MMP9;LOXL2
LJP005 PC3 24H-TG-101348-1.11	6/45	0.005910690602566169	0.9999926335268148	0	0	4.040142917192098	20.729943415761227	CA12;CSRP2;CLEC5A;SPP1;TGFBI;MMP9
LJP006 BT20 3H-geldanamycin-0.04	3/11	0.006612713582487602	0.9999926335268148	0	0	9.823469387755102	49.30164684084312	TNC;MMP9;LOXL2
LJP006 MDAMB231 24H-selumetinib-0.04	5/33	0.006795720456465775	0.9999926335268148	0	0	4.685733775092575	23.38866306242379	STEAP3;CHI3L1;MMP9;CD44;IDO1
LJP005 MCF10A 3H-neratinib-10	7/61	0.007006394562088097	0.9999926335268148	0	0	3.4061914171353296	16.89788412900573	HOXA10;CA12;FOXD1;PLAU;TNC;SPP1;HOXB2
LJP005 PC3 24H-AZD-6482-0.37	5/34	0.007730408655806878	0.9999926335268148	0	0	4.523921531730724	21.997991668001195	ANXA2;LOX;MDK;TNC;SPP1
LJP006 MDAMB231 3H-AZD-8055-0.12	5/34	0.007730408655806878	0.9999926335268148	0	0	4.523921531730724	21.997991668001195	HOXA10;SFRP4;CSRP2;MDK;CHI3L1
LJP006 LNCAP 3H-MK-2206-1.11	4/24	0.010847882396250601	0.9999926335268148	0	0	5.243051771117166	23.718440995407523	GDF15;TNC;SPP1;TGFBI
LJP005 A549 24H-neratinib-3.33	6/52	0.011900269935734273	0.9999926335268148	0	0	3.4240912330719886	15.172813196668786	CSRP2;MDK;CHI3L2;CHI3L1;TGFBI;MMP9
LJP006 HA1E 24H-AZD-5438-0.12	4/25	0.012544780476187	0.9999926335268148	0	0	4.9931231348125085	21.862142976635045	FOXD1;PLAU;TFPI;CD44
LJP009 A549 24H-GSK-429286A-0.12	2/5	0.012624588792531513	0.9999926335268148	0	0	17.444746376811594	76.27033046036442	COL4A2;TGFBI
LJP009 A549 24H-serdemetan-3.33	2/5	0.012624588792531513	0.9999926335268148	0	0	17.444746376811594	76.27033046036442	CHI3L1;MMP9
LJP005 MCF7 24H-linsitinib-0.37	5/39	0.013760702729721123	0.9999926335268148	0	0	3.857635823770163	16.533589422771122	CSRP2;TNC;SPP1;HAS2;PI3
LJP005 SKBR3 3H-crizotinib-0.37	4/26	0.014402217649737706	0.9999926335268148	0	0	4.765915283626455	20.20925887407955	FCGBP;LOX;SPP1;TGFBI
LJP006 MCF7 3H-PHA-793887-1.11	4/26	0.014402217649737706	0.9999926335268148	0	0	4.765915283626455	20.20925887407955	CA12;FCGBP;SPP1;TFPI
LJP009 HA1E 24H-dasatinib-1.11	7/70	0.014511759877484045	0.9999926335268148	0	0	2.9182246542027666	12.352249445631466	CA12;CSRP2;LOX;IGFBP3;PLA2G2A;CYTL1;CD44
LJP008 A375 24H-mocetinostat-10	8/87	0.014951805304502913	0.9999926335268148	0	0	2.6610716143575517	11.184279705426947	HOXA10;CA12;FKBP10;COL4A2;MDK;COL4A1;NID1;NES
LJP006 MCF7 3H-XMD-1150-0.12	5/40	0.015261758086835107	0.9999926335268148	0	0	3.7472227635938413	15.672403413399774	HOXA10;ANXA1;MDK;SPP1;EGFR
LJP007 HA1E 24H-bosutinib-3.33	5/40	0.015261758086835107	0.9999926335268148	0	0	3.7472227635938413	15.672403413399774	CA12;LOX;MDK;PLA2G2A;CHI3L1
LJP005 MCF7 3H-brivanib-0.04	6/56	0.01678243552738747	0.9999926335268148	0	0	3.1495081967213117	12.873370490261086	SFRP4;PLA2G2A;TNC;SPP1;VIM;LEFTY2
LJP006 PC3 24H-XMD-1150-10	6/56	0.01678243552738747	0.9999926335268148	0	0	3.1495081967213117	12.873370490261086	CA12;LOX;MDK;IGFBP3;NES;CD44
LJP006 HT29 24H-ZSTK-474-3.33	5/41	0.016868349072903438	0.9999926335268148	0	0	3.642943762316204	14.87164851482679	CSRP2;TNC;CHI3L1;NID1;IDO1
LJP006 MDAMB231 24H-selumetinib-0.12	5/41	0.016868349072903438	0.9999926335268148	0	0	3.642943762316204	14.87164851482679	STEAP3;PLAU;GDF15;PLA2G2A;CPVL
CPC014 MCF7 6H-s2001-10.0	2/6	0.01847663053824105	0.9999926335268148	0	0	13.08288043478261	52.217027690411875	EN1;CD44
LJP006 HT29 24H-sorafenib-10	5/42	0.018583244916102987	0.9999926335268148	0	0	3.5443014638103314	14.12579546194917	WEE1;ANXA1;TNC;NES;CD44
LJP005 MCF7 24H-TG-101348-0.37	4/28	0.01861652392695946	0.9999926335268148	0	0	4.368301544050863	17.4020278017303	HOXA10;SFRP4;SPP1;PI3
LJP006 MDAMB231 3H-geldanamycin-0.12	3/16	0.019568513089911907	0.9999926335268148	0	0	6.043642072213501	23.774681521877515	GDF15;SPP1;CHI3L1
LJP007 HEPG2 24H-dasatinib-10	3/16	0.019568513089911907	0.9999926335268148	0	0	6.043642072213501	23.774681521877515	CA12;TNC;CD44
LJP006 MDAMB231 3H-selumetinib-0.12	6/58	0.019676527015199802	0.9999926335268148	0	0	3.0280580075662042	11.895207708526167	HOXA10;PLAU;GDF15;TGFBI;CPVL;NES
LJP006 HCC515 24H-mitoxantrone-0.37	8/92	0.02032804779157117	0.9999926335268148	0	0	2.5020221787345074	9.7472621151136	CA12;STEAP3;ANXA1;IGFBP3;CHI3L1;CD44;LOXL2;IDO1
LJP006 HME1 24H-AS-605240-0.37	7/75	0.020552308989280763	0.9999926335268148	0	0	2.7029451999678122	10.500352818671859	PLAU;TNC;SPP1;CYTL1;TFPI;MMP9;IDO1
LJP006 BT20 24H-saracatinib-0.37	4/29	0.020981072616155224	0.9999926335268148	0	0	4.193351498637602	16.203674413182686	ANXA2;COL4A2;TGFBI;MMP9
LJP008 A549 24H-I-BET151-10	12/168	0.022126320197750463	0.9999926335268148	0	0	2.024369569824115	7.714846963855409	ABCC3;CA12;ANXA1;COL4A2;COL4A1;MDK;GDF15;IGFBP3;SPP1;HOXB2;TGFBI;TFPI
LJP006 A549 24H-BI-2536-3.33	12/168	0.022126320197750463	0.9999926335268148	0	0	2.024369569824115	7.714846963855409	ABCC3;CA12;ENPEP;LOX;COL4A2;COL4A1;MDK;GDF15;IGFBP3;HOXB2;TFPI;SLC16A4
LJP005 PC3 24H-TWS-119-10	5/44	0.022348166614919836	0.9999926335268148	0	0	3.3621926050302586	12.779731048738096	CSRP2;IGFBP3;TNC;SPP1;EGFR
LJP005 SKBR3 24H-NU-7441-3.33	5/44	0.022348166614919836	0.9999926335268148	0	0	3.3621926050302586	12.779731048738096	SLC43A3;TNC;SPP1;TFPI;CEP55
LJP005 BT20 3H-pelitinib-0.37	3/17	0.023123120779451136	0.9999926335268148	0	0	5.611661807580175	21.13869379246577	SPP1;HAS2;CD44
LJP006 BT20 3H-BI-2536-3.33	3/17	0.023123120779451136	0.9999926335268148	0	0	5.611661807580175	21.13869379246577	ABCC3;MDK;CD44
LJP008 HEPG2 24H-GSK-1070916-10	10/131	0.02336338337557149	0.9999926335268148	0	0	2.172940695667968	8.162837064746283	CA12;ANXA1;ANGPT2;PLAU;PLA2G2A;SPP1;CHI3L1;PI3;CEP55;EGFR
LJP008 A549 24H-(+)-JQ1-3.33	7/77	0.023396590216670426	0.9999926335268148	0	0	2.6254445964432285	9.858977617236343	CA12;COL4A2;COL4A1;GDF15;IGFBP3;IQGAP2;TFPI
LJP009 PC3 24H-ponatinib-3.33	4/30	0.023521522214698488	0.9999926335268148	0	0	4.031859149025362	15.11882444561056	CA12;IQGAP2;TFPI;LEFTY2
LJP005 BT20 24H-XMD16-144-10	8/95	0.024144808204913378	0.9999926335268148	0	0	2.415367658636435	8.994070501409023	FCGBP;MDK;SPP1;SERPINH1;HOXB2;VIM;MMP9;EGFR
LJP006 HME1 24H-XMD-1150-10	11/151	0.024417053238591252	0.9999926335268148	0	0	2.066633916290037	7.672323622762757	CA12;ENPEP;MMP14;ANXA1;LOX;COL4A2;COL4A1;PLA2G2A;TNC;SERPINH1;CEP55
CPC014 HT29 6H-s1035-10.0	2/7	0.02524058288109881	0.9999926335268148	0	0	10.465760869565218	38.50669644815821	EN1;CHI3L1
