Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	18/143	5.6722453480208E-9	8.421582668206481E-5	0	0	6.2961081081081085	119.5484909927979	PCNA;UBE2C;IGFBP2;PLK1;CDCA8;SOX11;AURKB;CDC20;KIF18B;ESPL1;KIFC1;TMSB15A;SPP1;BIRC5;E2F2;MYBL2;GTSE1;EZH2
LJP006 BT20 24H-PHA-793887-1.11	15/111	4.0582649851476936E-8	2.4466558794167465E-4	0	0	6.796001118568233	115.66743073272939	UBE2C;PLK1;CDCA8;AURKB;AURKA;CDC20;KIF18B;ESPL1;KIFC1;TMSB15A;CKS2;RCC1;BIRC5;MYBL2;GTSE1
LJP006 HCC515 24H-palbociclib-0.37	16/129	4.943737885263177E-8	2.4466558794167465E-4	0	0	6.166911385372435	103.74323088682257	PLK1;CDCA8;AURKB;AURKA;CDC20;KIF18B;ESPL1;KIFC1;TMSB15A;CKS2;BIRC5;E2F2;MYBL2;KIF2C;GTSE1;EZH2
LJP006 LNCAP 24H-palbociclib-0.37	14/100	7.304636118333107E-8	2.711298311222291E-4	0	0	7.068313953488372	116.14774718916048	PCNA;UBE2C;IGFBP2;PLK1;CDCA8;AURKB;CDC20;ESPL1;KIFC1;BIRC5;E2F2;MYBL2;GTSE1;EZH2
LJP006 A549 24H-palbociclib-3.33	12/73	1.0274439524373696E-7	3.0508920723675253E-4	0	0	8.514535519125683	137.00757437803276	CDC20;KIF18B;UBE2C;IL1R2;PLK1;CKS2;BIRC5;MYBL2;GTSE1;AURKB;AURKA;EZH2
LJP006 HME1 24H-palbociclib-1.11	15/124	1.8103975825511286E-7	4.4798288180227674E-4	0	0	5.981466658456991	92.85957325351806	UBE2C;PLK1;CDCA8;AURKA;CDC20;KIF18B;ESPL1;KIFC1;CKS2;SPP1;RCC1;BIRC5;MYBL2;GTSE1;EZH2
LJP006 MCF10A 24H-AZD-8055-0.12	12/82	3.8369575234436773E-7	7.285975883604848E-4	0	0	7.416380952380952	109.56528035657483	CDC20;PCNA;KIF18B;ESPL1;UBE2C;PLK1;CKS2;BIRC5;MYBL2;GTSE1;AURKA;EZH2
LJP006 LNCAP 24H-AZD-7762-0.37	9/42	3.9258979638202186E-7	7.285975883604848E-4	0	0	11.742925948223961	173.21403560268448	KIF18B;MDK;UBE2C;PLK1;SPP1;BIRC5;MYBL2;AURKB;AURKA
LJP006 MCF10A 24H-PHA-793887-3.33	14/118	5.908298941390076E-7	7.805159907767006E-4	0	0	5.839543269230769	83.74919778588894	PCNA;UBE2C;PLK1;CDCA8;AURKB;AURKA;CDC20;KIF18B;ESPL1;CKS2;BIRC5;MYBL2;GTSE1;EZH2
LJP006 SKBR3 24H-lapatinib-0.12	9/44	5.991360259707597E-7	7.805159907767006E-4	0	0	11.070766319772943	158.61947299926118	UBE2C;IL1R2;PLK1;CKS2;E2F2;BIRC5;MYBL2;GTSE1;AURKA
LJP006 HME1 24H-JW-7-24-1-3.33	12/86	6.514546709051509E-7	7.805159907767006E-4	0	0	7.014054054054054	99.90859289652172	CDC20;KIF18B;UBE2C;PLK1;CKS2;BIRC5;CDCA8;MYBL2;GTSE1;AURKB;AURKA;EZH2
