Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	36/129	9.422706446306636E-40	1.5982794674225315E-35	0	0	38.26616955746474	3438.608763153008	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;KIFC1;TMSB15A;KIF4A;BIRC5;KIF2C;KIF20A;EZH2
LJP006 A375 24H-palbociclib-10	37/154	3.651183035047849E-38	3.096568332024081E-34	0	0	31.381162047828713	2705.1560327792367	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;KIF20A;EZH2
LJP006 BT20 24H-palbociclib-3.33	37/163	3.631498450550126E-37	2.0532492239410412E-33	0	0	29.126302709636043	2443.871644904076	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;OSR2;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;KIF20A;EZH2
LJP006 HCC515 24H-palbociclib-1.11	35/139	6.577140879843744E-37	2.7890365900977398E-33	0	0	33.08341346153846	2756.246940455353	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;KIF4A;BIRC5;KIF2C;KIF20A;HOXB7;EZH2
LJP006 BT20 24H-palbociclib-10	37/168	1.220632030840452E-36	3.98904327143758E-33	0	0	28.007479373891588	2316.0419448834973	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;IGF2BP3;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;KIF20A;EZH2
LJP006 HME1 24H-palbociclib-3.33	38/183	1.4110517408693245E-36	3.98904327143758E-33	0	0	26.100472606336425	2154.560814007009	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;SPP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;KIF20A;EZH2
LJP005 A549 24H-dovitinib-10	40/215	1.8217079318120687E-36	4.4142585627709016E-33	0	0	22.962637362637363	1889.6709495322318	TOP2A;ARHGAP11A;KIF14;HJURP;CDCA8;BUB1B;MCM10;TTK;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CCNB2;EXO1;PBK;NUSAP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;HOXB7;LTF
LJP005 A375 24H-dovitinib-1.11	37/175	6.215302487664422E-36	1.317799509947049E-32	0	0	26.577331283853024	2154.5192389082436	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;IGF2BP3;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;KIFC1;KIF4A;BIRC5;CENPM;KIF20A;EZH2;LTF
LJP005 MCF10A 24H-mitoxantrone-0.37	38/192	9.872158534304064E-36	1.7547550012496724E-32	0	0	24.563847320192497	1979.928255698692	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;IGF2BP3;GTSE1;BUB1;DLGAP5;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIFC1;TMSB15A;KIF4A;BIRC5;KIF20A;EZH2;LTF
LJP006 HME1 24H-palbociclib-1.11	33/124	1.0345212836043346E-35	1.7547550012496724E-32	0	0	35.319442933304316	2845.2120984676167	TOP2A;HJURP;KIF14;CDCA8;TTK;MKI67;FOXM1;TYMS;CENPA;LMNB1;CCNB2;NUSAP1;PBK;SPP1;MYBL2;GTSE1;BUB1;DLGAP5;HOXC6;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;KIFC1;KIF4A;BIRC5;KIF20A;EZH2;LTF
LJP006 BT20 24H-palbociclib-0.37	37/178	1.219862942027408E-35	1.8810286566062632E-32	0	0	26.00788022064618	2090.8187380162235	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIFC1;TMSB15A;KIF4A;BIRC5;KIF2C;KIF20A;EZH2
LJP006 A549 24H-palbociclib-10	34/138	1.6385821816654341E-35	2.3161359137840913E-32	0	0	31.978281668580177	2561.3531356046615	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;HOXC6;RRM2;IL1R2;NDC80;CCNA2;TPX2;ASPM;KIF18B;RAD51;TMSB15A;KIF4A;BIRC5;KIF20A;EZH2
LJP006 HT29 24H-palbociclib-0.37	38/195	1.8441599816206067E-35	2.4062032006345178E-32	0	0	24.09078858029681	1926.744035338885	TOP2A;KIF14;HJURP;CDCA8;BUB1B;MCM10;TTK;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CCNB2;EXO1;PBK;NUSAP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;TMSB15A;KIFC1;KIF4A;CENPM;BIRC5;KIF20A;EZH2
LJP006 HS578T 24H-palbociclib-10	35/152	2.0482866220052692E-35	2.4816455487466697E-32	0	0	29.388034188034187	2347.3244024163355	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;SPP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;TMSB15A;KIF4A;BIRC5;KIF20A;EZH2
LJP006 MCF10A 24H-mitoxantrone-0.37	35/154	3.3701420961795487E-35	3.8109566823598335E-32	0	0	28.891176470588235	2293.2522524426086	TOP2A;HJURP;KIF14;CDCA8;MCM10;TTK;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CCNB2;EXO1;NUSAP1;PBK;SPP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIF4A;BIRC5;CENPM;KIF20A;EZH2
LJP006 HME1 24H-palbociclib-10	39/215	4.145761453484022E-35	4.395025360874749E-32	0	0	22.146654684601113	1753.3150346642483	TOP2A;KIF14;HJURP;CDCA8;BUB1B;MCM10;TTK;MKI67;TYMS;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;CCNB2;EXO1;PBK;NUSAP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;CDC25C;NDC80;CCNA2;TPX2;ASPM;KIF18A;KIF18B;RAD51;KIFC1;KIF4A;CENPM;BIRC5;KIF20A;EZH2;LTF
LJP006 A375 24H-palbociclib-1.11	32/120	1.1162843050721179E-34	1.0519119101462925E-31	0	0	35.24764890282132	2755.586733265424	TOP2A;HJURP;KIF14;BUB1B;CDCA8;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;CCNB2;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18B;KIFC1;TMSB15A;KIF4A;BIRC5;KIF20A;EZH2
LJP006 BT20 24H-palbociclib-0.12	32/120	1.1162843050721179E-34	1.0519119101462925E-31	0	0	35.24764890282132	2755.586733265424	TOP2A;HJURP;KIF14;BUB1B;CDCA8;MCM10;TTK;MKI67;FOXM1;TYMS;CENPA;NCAPH;AURKB;LMNB1;NUSAP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18B;KIFC1;TMSB15A;KIF4A;BIRC5;KIF20A;EZH2
LJP006 PC3 24H-palbociclib-10	30/98	1.3505846101624336E-34	1.2057166398723787E-31	0	0	42.38952654232425	3305.8470809568994	TOP2A;HJURP;KIF14;BUB1B;MCM10;TTK;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;NUSAP1;PBK;SPP1;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;NDC80;CCNA2;TPX2;ASPM;KIF18B;KIF4A;BIRC5;KIF20A;EZH2
