Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 HEPG2 24H-GSK-1070916-10	11/131	0.0010440805211046678	0.9999056186618343	0	0	3.2687115621156213	22.43845839980337	CSTA;ANXA1;ANGPT2;PLA2G2A;CHI3L1;S100A4;PI3;LYZ;GBP1;EGFR;AQP1
LJP006 HS578T 24H-JW-7-24-1-0.12	4/19	0.0016099770061474084	0.9999056186618343	0	0	9.43873709775349	60.70557160544439	CHI3L2;TAGLN2;EMP3;CD44
LJP008 PC3 24H-I-BET-0.04	5/33	0.001984871205500948	0.9999056186618343	0	0	6.327880604796663	39.37334661424749	CHI3L2;S100A4;PI3;LYZ;AQP1
LJP005 A549 24H-XMD16-144-10	11/143	0.00211542437495356	0.9999056186618343	0	0	2.969710947109471	18.288964382271043	NNMT;ANXA1;ANXA2;TAGLN2;HOXB2;IGFBP7;EMP3;TFPI;HOXB7;SLC16A4;S100A11
LJP008 HCC515 24H-GSK-1059615-0.37	5/35	0.0025946650265103325	0.9999056186618343	0	0	5.905413625304136	35.16259168140295	PLA2G2A;HP;CHI3L1;PI3;LYZ
LJP005 A549 24H-CYT387-10	5/37	0.0033298482841300045	0.9999056186618343	0	0	5.535755018248175	31.580533198339413	ANXA1;IGFBP7;EMP3;LYZ;CD44
LJP005 MCF7 24H-linsitinib-0.37	5/39	0.004203974085538274	0.9999056186618343	0	0	5.209585659081151	28.505420039515563	NNMT;CSRP2;HAS2;PI3;GBP1
LJP006 BT20 24H-XMD11-85H-10	7/74	0.00432713688293145	0.9999056186618343	0	0	3.7083811710677383	20.184159429556285	SFRP4;SPARC;ANXA5;F2R;TAGLN2;IGFBP7;AQP1
LJP005 MDAMB231 3H-torin-2-1.11	6/57	0.004780361179206996	0.9999056186618343	0	0	4.17163135821056	22.29002409613898	SPARC;CSRP2;IL1R2;CHI3L1;ID3;CD99
LJP008 PC3 24H-CX-5461-3.33	5/42	0.005805070471714633	0.9999056186618343	0	0	4.786447030972578	24.64552835922016	FCGBP;CSTA;SPARC;APOC1;LYZ
LJP007 HA1E 24H-BIX-02189-3.33	4/27	0.006122163417112529	0.9999056186618343	0	0	6.153163855230854	31.35553693341915	PLA2G2A;CHI3L1;TAGLN2;LYZ
