Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A549 24H-palbociclib-10	37/138	1.7272943836965504E-30	3.18443992578296E-26	0	0	18.48386600318063	1266.717757213348	TOP2A;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;HOXC10;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;HOXC6;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK2;CKS2;DTL;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	34/124	1.853074364565417E-28	1.7081639492564015E-24	0	0	18.924821479577265	1208.4546292249088	TOP2A;HJURP;KIF14;NCAPG;HMMR;MKI67;FOXM1;CENPA;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;RCC1;MYBL2;BUB1;HOXC6;GINS2;KIF23;CDC25C;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK2;CKS2;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	34/129	7.998991245107767E-28	4.915646753160226E-24	0	0	17.924178054390474	1118.344445215424	TOP2A;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;E2F2;MYBL2;BUB1;GINS2;KIF23;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CKS2;KIF2C;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-3.33	37/163	1.2346989617368617E-27	5.306084492947562E-24	0	0	14.79741343860515	916.8325001463272	TOP2A;PCNA;HJURP;TNC;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;E2F8;GINS2;KIF23;CDC25C;TPX2;ASPM;NEIL3;WEE1;KIF18B;ESPL1;KIF4A;CDK2;DTL;ASF1B;EZH2;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	33/121	1.4390552432598076E-27	5.306084492947562E-24	0	0	18.739423076923078	1158.2052352002665	TOP2A;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;E2F2;MYBL2;BUB1;GINS2;ANXA1;KIF23;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;DTL;ASF1B;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	38/184	9.674353255262402E-27	2.972606276900294E-23	0	0	13.136061199074899	786.8542578196616	TOP2A;PCNA;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;RCC1;MYBL2;BUB1;E2F8;GINS2;KIF23;CDC25C;TPX2;ASPM;NEIL3;WEE1;MELK;KIF18B;ESPL1;KIF4A;CDK2;CKS2;DTL;ASF1B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	34/139	1.219547129435976E-26	3.2119386968973794E-23	0	0	16.208789325498838	967.157919815961	TOP2A;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;KIF2C;DTL;ASF1B;EZH2;SPC25
LJP006 MCF7 24H-palbociclib-1.11	33/130	1.8654773009860157E-26	4.2989924401222734E-23	0	0	16.992862807295797	1006.7199893534352	TOP2A;PCNA;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;DTL;ASF1B;EZH2;SPC25
LJP006 MDAMB231 24H-palbociclib-0.12	29/94	4.416404158066459E-26	9.046758562012581E-23	0	0	22.094806716126513	1289.9364999676875	TOP2A;PCNA;HJURP;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;KIF15;LMNB1;AURKA;RAD51AP1;CCNB2;EXO1;BUB1;GINS2;KIF23;ASPM;TPX2;NEIL3;MELK;KIF18B;KIF4A;DTL;NES;ASF1B;SPC25;EZH2
LJP006 BT20 24H-palbociclib-10	36/168	5.594773968361603E-26	1.0314525288071451E-22	0	0	13.703312191684285	796.7842874602958	TOP2A;PCNA;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;IGF2BP3;BUB1;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK2;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-10	34/146	7.1372517060091E-26	1.1962033859271252E-22	0	0	15.190277267719427	879.545681864098	TOP2A;PCNA;HJURP;TNC;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;GINS2;KIF23;TPX2;ASPM;NEIL3;WEE1;KIF18B;ESPL1;KIF4A;DTL;ASF1B;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	34/150	1.8704927295891955E-25	2.873700330225534E-22	0	0	14.663460686109387	834.9143629234462	TOP2A;PCNA;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;EXO1;MYBL2;BUB1;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIF4A;CKS2;KIF2C;DTL;ASF1B;EZH2;SPC25
LJP006 MDAMB231 24H-palbociclib-3.33	34/151	2.368226178090982E-25	3.310463528294661E-22	0	0	14.537384922989036	824.3058664969743	TOP2A;PCNA;HJURP;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;CCNB2;EXO1;MYBL2;BUB1;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK2;DTL;ASF1B;EZH2;SPC25
LJP006 A549 24H-torin-1-0.37	33/140	2.5139124211393603E-25	3.310463528294661E-22	0	0	15.396836808051761	872.1197485890216	PCNA;HJURP;KIF14;NCAPG;MCM10;HMMR;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;MYBL2;BUB1;E2F8;GINS2;KIF23;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIF4A;CDK2;CKS2;DTL;ASF1B;EZH2;SPC25
