Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-1.11	35/143	7.217530462734679E-28	1.2417039408088742E-23	0	0	16.836296296296297	1052.1989804160185	SPARC;TROAP;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;E2F2;OIP5;MYBL2;TK1;RRM2;GDF15;IGFBP2;PLK1;SOX11;MMP9;CCNA2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;ID3;KIF20A;TGFBI;DTL;ASF1B;SPC25
LJP006 A375 24H-palbociclib-10	33/154	2.4733936644085515E-24	2.0631785686080206E-20	0	0	14.084157222088256	765.5648029190693	TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;OIP5;MYBL2;TK1;E2F8;CDKN2C;RRM2;PLK1;MMP9;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;KIF20A;DTL;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-10	34/168	3.5977305892955485E-24	2.0631785686080206E-20	0	0	13.129247380120674	708.7396050386326	SPARC;TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;OIP5;MYBL2;TK1;E2F8;CDKN2C;RRM2;PLK1;MMP9;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;KIF20A;DTL;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-3.33	32/163	2.2113873852725577E-22	9.51117714405727E-19	0	0	12.57498283452482	627.0295373595103	TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;OIP5;MYBL2;TK1;E2F8;CDKN2C;RRM2;PLK1;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;KIF20A;DTL;ASF1B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	29/129	3.7977628216618333E-22	1.3067342316774037E-18	0	0	14.83490813648294	731.6941614392907	SPARC;TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;PTTG1;E2F2;OIP5;MYBL2;TK1;RRM2;PLK1;CCNA2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;KIF20A;DTL;ASF1B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	33/184	9.58921920499404E-22	2.749548786711958E-18	0	0	11.268589597203436	545.3572829712904	TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;RCC1;OIP5;MYBL2;TK1;E2F8;CDKN2C;RRM2;PLK1;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;KIF20A;DTL;ASF1B;SPC25
LJP006 MCF7 24H-palbociclib-10	28/127	3.54471816961381E-21	8.711904484290856E-18	0	0	14.430905917816913	679.5344509322993	KIF14;MKI67;NID1;FOXM1;TYMS;NCAPH;KIF15;LMNB1;CDC20;CDC45;PTTG1;E2F2;MYBL2;TK1;RRM2;PLK1;MMP9;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;DTL;ASF1B;SPC25
LJP006 BT20 24H-palbociclib-0.12	27/120	1.0350808704260668E-20	2.2259414118512567E-17	0	0	14.779162806367388	680.0960202764609	TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;OIP5;MYBL2;RRM2;PLK1;CCNA2;ASPM;KIF18B;ESPL1;KIFC1;TMSB15A;KIF20A;DTL;ASF1B;SPC25
LJP006 MCF10A 24H-palbociclib-3.33	27/121	1.307715324643967E-20	2.4997704939083122E-17	0	0	14.62118771179379	669.4079818884072	SPARC;KIF14;CDCA8;MKI67;FOXM1;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;E2F2;OIP5;MYBL2;TK1;CDKN2C;RRM2;PLK1;CCNA2;ASPM;KIF18B;ESPL1;KIF20A;DTL;ASF1B;SPC25
LJP006 HCC515 24H-PHA-793887-3.33	32/186	1.5122270485884894E-20	2.5531189029114233E-17	0	0	10.684257541400399	487.60941100022615	SPARC;TROAP;KIF14;CDCA8;MKI67;FOXM1;TYMS;NCAPH;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;OIP5;MYBL2;TK1;E2F8;RRM2;PLK1;CCNA2;ASPM;KIF18B;RAD51;ESPL1;KIFC1;TMSB15A;CENPM;KIF20A;DTL;ASF1B;SPC25
