Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-palbociclib-10	34/154	4.2787514687298974E-27	6.232001514205095E-23	0	0	16.60265265265265	1008.048920681379	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;BRIP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-3.33	34/163	3.2206847460754386E-26	2.3454636663294383E-22	0	0	15.437204646506972	906.1271479176436	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	31/129	5.281297600661272E-26	2.5640699851210478E-22	0	0	18.391186831875608	1070.422993722105	TOP2A;SPARC;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;EXO1;E2F2;MYBL2;TK1;BUB1;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-10	34/168	9.333811311195157E-26	3.3986740436889365E-22	0	0	14.85737976782753	856.2838217963605	TOP2A;SPARC;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;CDKN2C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-PHA-793887-3.33	35/184	1.6131689289547645E-25	4.699161090045229E-22	0	0	13.785477480391364	786.9636511084145	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;RCC1;MYBL2;TK1;BUB1;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 HME1 24H-palbociclib-3.33	34/183	1.830697967420559E-24	4.444019315913407E-21	0	0	13.351391660116493	729.7516193260295	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-PHA-793887-1.11	33/173	3.704141235038331E-24	7.707259584047614E-21	0	0	13.756822070145423	742.2161916579804	TOP2A;SPARC;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;EIF4EBP1;MYBL2;TK1;BUB1;NDC80;TPX2;KIF18B;ESPL1;MTHFD2;TMSB15A;KIF4A;BIRC5;CENPM;DTL;CD44;ASF1B;APOBEC3B
LJP006 MCF7 24H-palbociclib-10	29/127	1.0357587059269265E-23	1.8857281939782106E-20	0	0	17.102855935273517	905.1570705691711	TOP2A;KIF14;NCAPG;MCM10;MKI67;NID1;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;E2F2;MYBL2;TK1;BUB1;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;DTL;ASF1B
LJP006 LNCAP 24H-palbociclib-1.11	30/143	2.4724599443987013E-23	4.001264343351898E-20	0	0	15.377747433103123	800.4770102088721	TOP2A;SPARC;TROAP;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;E2F2;MYBL2;TK1;BUB1;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;ID3;BIRC5;DTL;ASF1B
LJP005 A549 24H-dovitinib-10	35/215	3.8314295821490736E-23	4.703662568157319E-20	0	0	11.393155957161982	588.0716346524766	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;BRIP1;EXO1;MYBL2;TK1;BUB1;E2F8;POLQ;NDC80;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;ID3;CENPM;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
LJP006 HME1 24H-palbociclib-10	35/215	3.8314295821490736E-23	4.703662568157319E-20	0	0	11.393155957161982	588.0716346524766	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;RCC1;MYBL2;TK1;BUB1;E2F8;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;CENPM;BIRC5;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-PHA-793887-3.33	33/186	4.167708732875768E-23	4.703662568157319E-20	0	0	12.57954678877539	648.2503463180655	TOP2A;SPARC;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;NDC80;TPX2;KIF18B;ESPL1;MTHFD2;KIFC1;TMSB15A;KIF4A;BIRC5;CENPM;DTL;ASF1B;APOBEC3B
LJP006 MCF10A 24H-palbociclib-3.33	28/121	4.1982570124301505E-23	4.703662568157319E-20	0	0	17.35401401972912	894.1618880529534	TOP2A;SPARC;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;E2F2;MYBL2;TK1;BUB1;CDKN2C;NDC80;TPX2;KIF18B;ESPL1;KIF4A;BIRC5;DTL;ASF1B
LJP006 HME1 24H-palbociclib-1.11	28/124	8.670877403194749E-23	9.020809241252251E-20	0	0	16.80911996066863	853.8946734999931	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MKI67;FOXM1;CENPA;KIF15;LMNB1;RAD51AP1;RCC1;MYBL2;TK1;BUB1;HOXC6;CDKN2C;CDC25C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;KIF4A;CDK2;BIRC5;DTL;ASF1B
LJP006 MDAMB231 24H-palbociclib-0.37	27/113	1.018373307732659E-22	9.888404818084119E-20	0	0	18.04955540355677	914.0053982870166	TOP2A;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;BUB1;E2F8;CDKN2C;NDC80;TPX2;TMSB15A;KIF4A;CDK2;BIRC5;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-3.33	30/150	1.0889563035014553E-22	9.912905350311686E-20	0	0	14.475519287833828	732.0509286925494	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;SKA1;KIF15;LMNB1;RAD51AP1;EXO1;MYBL2;TK1;BUB1;E2F8;CDKN2C;NDC80;TPX2;KIF18B;ESPL1;KIF4A;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
LJP006 BT20 24H-palbociclib-0.37	32/178	1.271254164656153E-22	1.089165700483345E-19	0	0	12.749621754242487	642.795998327166	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;BUB1;E2F8;CDKN2C;NDC80;TPX2;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK2;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
LJP006 HCC515 24H-palbociclib-1.11	29/139	1.6090613353388295E-22	1.301998797178336E-19	0	0	15.227729962345347	764.1460834584452	TOP2A;TROAP;KIF14;NCAPG;CDCA8;MCM10;MKI67;FOXM1;CENPA;NCAPH;KIF15;LMNB1;RAD51AP1;CDC45;EXO1;MYBL2;TK1;BUB1;E2F8;NDC80;TPX2;KIF18B;ESPL1;KIF4A;BIRC5;KIF2C;DTL;ASF1B;APOBEC3B
