Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	62/163	6.019590063640147E-45	1.5401121177823316E-40	0	0	16.39335693345871	1669.1930786471135	TOP2A;HJURP;TNC;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;OSR2;KIF23;EMP3;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;CDKN2C;RRM2;UBE2C;CAV1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 HCC515 24H-palbociclib-0.37	55/129	3.4305276741601442E-43	3.925722071701143E-39	0	0	19.68412395798288	1924.6830299984106	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;E2F2;BUB1;RRM2;CAV1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK1;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-10	63/180	4.603152712567297E-43	3.925722071701143E-39	0	0	14.387842926304465	1402.5904875826375	TOP2A;HJURP;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;F2R;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;DTL;ASF1B;TMEM45A;NNMT;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;CCNB2;CDC45;STC2;BUB1;HOXC6;E2F8;CA12;CDKN2C;RRM2;UBE2C;CAV1;NDC80;TPX2;KIF18A;WEE1;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2
LJP006 BT20 24H-palbociclib-10	61/168	8.062787603041802E-43	5.1571605205956124E-39	0	0	15.19851666471148	1473.099503971915	TOP2A;SPARC;HJURP;KIF14;MCM10;MKI67;FOXM1;LMNB1;CDC20;CSRP2;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;MMP9;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;CENPM;PLP2;EZH2;APOBEC3B
LJP006 MCF10A 24H-palbociclib-3.33	53/121	2.074656822929828E-42	1.0616018962931931E-38	0	0	20.59152129817444	1976.3490544955355	TOP2A;SPARC;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;POSTN;ANXA1;KIF23;CCNA2;ASPM;NEIL3;ESPL1;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;E2F2;BUB1;CDKN2C;RRM2;UBE2C;LUM;NDC80;TPX2;COL3A1;KIF18B;KIF4A;MGP;CDK1;EZH2
LJP006 BT20 24H-palbociclib-0.37	62/178	3.0268631538466633E-42	1.2907048965194481E-38	0	0	14.262329031015218	1363.4935892392734	TOP2A;HJURP;TNC;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;ANXA1;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;TAGLN2;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;HLA-DQA1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;COL1A1;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CDK1;PLP2;EZH2;APOBEC3B
LJP006 A375 24H-palbociclib-10	58/154	8.273929998478578E-42	3.0241214144439205E-38	0	0	16.049016203703705	1518.1641393181617	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;KIF23;CDC25C;MMP9;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;DEPDC1;BIRC5;KIF20A;S100A9;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;EZH2;APOBEC3B
LJP006 LNCAP 24H-palbociclib-1.11	56/143	1.6891522979910978E-41	5.402120193012779E-38	0	0	17.059254306364824	1601.5528528323737	TOP2A;SPARC;HJURP;MCM10;MKI67;FOXM1;LOXL2;LMNB1;CDC20;CSRP2;NUSAP1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IGFBP2;KIF23;MMP9;CCNA2;ASPM;MELK;ESPL1;KIFC1;DPYD;BIRC5;CHI3L1;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TTK;HMMR;TYMS;CENPA;NCAPH;AURKB;CCNB2;CDC45;E2F2;BUB1;RRM2;UBE2C;GDF15;NDC80;TPX2;KIF18B;KIF4A;CDK2;CDK1;TGFBI;EZH2
LJP006 A549 24H-palbociclib-10	54/138	5.003585929470651E-40	1.4224082889500734E-36	0	0	16.993093922651934	1537.760277558072	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;LOXL1;HOXC10;LMNB1;CDC20;EXO1;NUSAP1;PBK;OIP5;MYBL2;GTSE1;CEP55;DLGAP5;IL1R2;KIF23;MMP9;CCNA2;ASPM;NEIL3;MELK;ESPL1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;ASF1B;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB2;BUB1;HOXC6;E2F8;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK2;CDK1;EZH2
LJP006 A549 24H-NVP-TAE684-3.33	58/165	7.88227741641493E-40	1.7733766852358774E-36	0	0	14.39083592938733	1295.7334087734114	TOP2A;SERPINE1;HJURP;KIF14;MCM10;MKI67;FOXM1;LOXL1;LMNB1;CDC20;CSRP2;EXO1;PBK;OIP5;MYBL2;TK1;GTSE1;CEP55;DLGAP5;IL1R2;KIF23;CCNA2;SFRP4;ASPM;MELK;ESPL1;BIRC5;KIF20A;S100A9;DTL;ASF1B;CSTA;NCAPG;TTK;HMMR;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;EIF4EBP1;BUB1;E2F8;RRM2;UBE2C;LYZ;COL1A1;TPX2;COL3A1;KIF18B;RAD51;COL5A1;KIF4A;CDK2;CDK1;EZH2;APOBEC3B
