Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP008 HA1E 24H-belinostat-10	13/168	9.73097297423846E-7	0.004906333413583243	0	0	5.986672945608665	82.8722070689697	CA12;ANXA1;TGFB1I1;IGFBP2;EMP3;LOXL2;PRDX4;MDK;SERPINH1;HAS2;GBP1;S100A11;APOBEC3B
LJP008 PC3 24H-belinostat-1.11	10/94	9.900000231184957E-7	0.004906333413583243	0	0	8.43604951005673	116.63311600755216	CA12;CXCL10;STEAP3;CXCL9;COL3A1;ANXA1;S100A4;HOXB6;IDO1;APOBEC3B
LJP006 HS578T 24H-BI-2536-10	11/118	1.078331491246233E-6	0.004906333413583243	0	0	7.302790193688202	100.34103560485349	HOXA10;CXCL9;ANXA1;COL4A2;IGFBP3;TGFB1I1;IGFBP2;IGFBP7;EMP3;GBP1;S100A11
LJP008 HEPG2 24H-ABT-737-10	8/57	1.4651399964594919E-6	0.004906333413583243	0	0	11.5069855899349	154.57977857222798	CA12;TFAP2A;CSTA;IGFBP2;PLA2G2A;CHI3L1;S100A4;HOXB6
LJP009 HA1E 24H-JWE-035-3.33	8/59	1.917977304625015E-6	0.004906333413583243	0	0	11.05460678895214	145.52549040189177	CA12;CXCL10;IGFBP3;PLA2G2A;EMP3;GBP1;TMEM45A;LTF
LJP006 HME1 24H-BI-2536-1.11	10/102	2.108798336808696E-6	0.004906333413583243	0	0	7.69934076283158	100.62570473707589	CA12;ANXA1;COL4A2;MDK;SLC43A3;TGFB1I1;IGFBP2;SERPINH1;PLP2;GBP1
LJP008 HA1E 24H-pracinostat-10	14/211	2.345283658500594E-6	0.004906333413583243	0	0	5.08030717167773	65.85655123582833	CA12;ANXA1;TGFB1I1;EMP3;LOXL2;HOXA10;COL4A2;PLAU;MDK;GBP1;HOXB6;CD44;IDO1;APOBEC3B
LJP005 SKBR3 24H-withaferin-a-0.37	7/46	3.8611144534999874E-6	0.005955740400020623	0	0	12.611538461538462	157.1972109751787	CA12;CXCL10;CXCL9;CHI3L1;GBP1;LTF;IDO1
LJP008 HA1E 24H-I-BET151-0.37	10/109	3.864755504872195E-6	0.005955740400020623	0	0	7.152390329285637	89.14461891443642	CXCL10;CXCL9;PRDX4;ANXA1;IGFBP3;TGFB1I1;CHI3L1;EMP3;GBP1;IDO1
LJP005 HS578T 24H-TG-101348-10	11/135	4.067017481576497E-6	0.005955740400020623	0	0	6.296137213651239	78.1514367614339	HOXA10;CXCL10;CXCL9;CSTA;ANXA1;COL4A2;IGFBP3;TGFB1I1;IGFBP2;IGFBP7;GBP1
LJP008 HA1E 24H-pracinostat-1.11	10/112	4.9401230872906745E-6	0.006576651135480421	0	0	6.94096411127628	84.805534583264	CXCL10;PRDX4;MDK;TGFB1I1;SERPINH1;EMP3;GBP1;CD44;APOBEC3B;LTF
LJP006 A549 24H-XMD-1150-10	6/32	5.486574892284869E-6	0.006695450226884969	0	0	16.167807281686287	195.8439862880422	CA12;IGFBP3;IGFBP2;IGFBP7;EMP3;CD44
