Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 MCF10A 24H-mitoxantrone-0.37	46/192	7.900240852056912E-44	1.4033197825508693E-39	0	0	26.585262163438827	2638.5035486134284	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;SKA1;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;EIF4EBP1;PBK;MYBL2;IGF2BP3;GTSE1;BUB1;DLGAP5;RRM2;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;CDK4;KIFC1;TMSB15A;CDK1;CKS2;KIF20A;DTL;EZH2;SPC25
LJP006 A549 24H-palbociclib-10	41/138	2.3521306891060582E-43	2.0890448715295457E-39	0	0	35.000434990647705	3435.4970060517194	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;HOXC10;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;HOXC6;E2F8;RRM2;IL1R2;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;TMSB15A;CDK1;CKS2;KIF20A;DTL;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	40/129	3.707942745402474E-43	2.1954728995528052E-39	0	0	37.07487489377774	3622.240554474801	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;CDK1;CKS2;KIF2C;KIF20A;DTL;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	42/154	1.2198049089004368E-42	5.416848649199615E-39	0	0	31.159957627118644	3007.2438639598686	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;RRM2;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;CDK1;CENPM;KIF20A;DTL;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	43/168	2.484478311305855E-42	8.82635764874518E-39	0	0	28.68667234042553	2748.1405015904825	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;IGF2BP3;GTSE1;BUB1;DLGAP5;E2F8;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;CDK1;CENPM;KIF20A;DTL;EZH2;SPC25
LJP006 HME1 24H-palbociclib-3.33	44/183	5.3347846914310675E-42	1.5793630078981674E-38	0	0	26.491176289737442	2517.5710672060736	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;RRM2;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;CDK1;CKS2;CENPM;KIF20A;DTL;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-3.33	41/150	1.124945240059404E-41	2.503795913361694E-38	0	0	31.128130685557235	2935.0171067505535	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;SKA1;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;RRM2;IGFBP2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;CDK1;CKS2;KIF2C;KIF20A;DTL;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-1.11	40/139	1.1276455163482268E-41	2.503795913361694E-38	0	0	33.312961548255664	3140.941127706862	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;CDK1;KIF2C;KIF20A;DTL;EZH2;SPC25
LJP006 BT20 24H-palbociclib-3.33	42/163	1.7382018953090733E-41	3.430631140708341E-38	0	0	28.829037680347387	2705.6956410776784	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;CDC45;PTTG1;EXO1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;RRM2;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;CDK1;CENPM;KIF20A;DTL;EZH2;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	41/154	3.757069548103382E-41	6.673682638296037E-38	0	0	30.02012620887943	2794.343880851608	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;MKI67;NCAPH;SKA1;AURKB;KIF15;LMNB1;CDC20;CDC45;PTTG1;EXO1;EIF4EBP1;PBK;MYBL2;GTSE1;BUB1;DLGAP5;RRM2;IGFBP2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;CDK1;CKS2;CENPM;KIF20A;DTL;EZH2;SPC25
