Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 LNCAP 24H-palbociclib-10	35/180	2.731400449443069E-28	5.2563070249082425E-24	0	0	17.029876758371717	1080.8448635952034	TOP2A;TROAP;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;HOXC6;CA12;CDKN2C;IGFBP2;F2R;KIF23;NDC80;ASPM;NEIL3;KIF18A;MELK;ESPL1;CDK2;CDK1;HOXB7;ASF1B
LJP006 HME1 24H-palbociclib-1.11	30/124	2.1481753119174826E-27	2.0669742851270018E-23	0	0	22.175192394748755	1361.6716521759686	TOP2A;TROAP;KIF14;NCAPG;TTK;HMMR;FOXM1;KIF15;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;HOXC6;CDKN2C;KIF23;CDC25C;NDC80;ASPM;NEIL3;KIF18A;MELK;ESPL1;CDK2;CDK1;CKS2;ASF1B
LJP006 BT20 24H-palbociclib-10	33/168	7.133689103382388E-27	4.576023770183023E-23	0	0	17.13126244524094	1031.3871245222686	TOP2A;SPARC;TROAP;KIF14;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CSRP2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;IGF2BP3;GTSE1;DLGAP5;CDKN2C;KIF23;NDC80;ASPM;NEIL3;KIF18A;MELK;ESPL1;CDK2;CDK1;ASF1B
LJP006 HCC515 24H-palbociclib-0.12	27/96	1.0682563534408644E-26	5.1393813164039986E-23	0	0	26.936842105263157	1610.8550692927279	TOP2A;TROAP;KIF14;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;CCNB2;PTTG1;EXO1;PBK;NUSAP1;OIP5;GTSE1;DLGAP5;KIF23;NDC80;ASPM;NEIL3;KIF18A;ESPL1;CDK1;NES;ASF1B
LJP006 HME1 24H-palbociclib-3.33	33/183	1.311090471167677E-25	4.414520305555754E-22	0	0	15.406308243727599	882.685451996139	TOP2A;TROAP;KIF14;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;CDKN2C;KIF23;CDC25C;NDC80;ASPM;NEIL3;KIF18A;MELK;ESPL1;CDK2;CDK1;CKS2;ASF1B
LJP005 A549 24H-dovitinib-10	35/215	1.5668204883198892E-25	4.414520305555754E-22	0	0	13.693943040513437	782.1374845329655	TOP2A;ERCC6L;TROAP;KIF14;NCAPG;BUB1B;LPL;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;PTTG1;EXO1;PBK;NUSAP1;OIP5;GTSE1;DLGAP5;POLQ;KIF23;NDC80;ASPM;NEIL3;KIF18A;ESPL1;CDK2;CKS2;CDK1;ID3;HOXB7;NES;ASF1B
LJP006 HCC515 24H-palbociclib-0.37	29/129	1.6061754838340688E-25	4.414520305555754E-22	0	0	20.07250883392226	1145.9550142184557	TOP2A;SPARC;TROAP;KIF14;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;PTTG1;EXO1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;KIF23;NDC80;ASPM;NEIL3;KIF18A;ESPL1;CDK1;CKS2;ASF1B
LJP006 HS578T 24H-palbociclib-1.11	31/156	1.8351778447540027E-25	4.414520305555754E-22	0	0	17.265565836298933	983.4032231930831	TOP2A;CXCL9;TROAP;KIF14;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;CDKN2C;KIF23;NDC80;ASPM;NEIL3;MELK;ESPL1;CDK2;CDK1;ASF1B
LJP006 A375 24H-AZD-5438-1.11	31/163	7.5272887157436195E-25	1.4485514404577023E-21	0	0	16.344117329882454	907.8518516012997	TOP2A;SPARC;TROAP;KIF14;BUB1B;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;PTTG1;NUSAP1;PBK;OIP5;IGF2BP3;GTSE1;DLGAP5;KIF23;CDC25C;NDC80;ASPM;NEIL3;KIF18A;ESPL1;CDK1;CKS2;ID3;NES
LJP006 BT20 24H-palbociclib-3.33	31/163	7.5272887157436195E-25	1.4485514404577023E-21	0	0	16.344117329882454	907.8518516012997	TOP2A;TROAP;TNC;KIF14;NCAPG;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;GTSE1;DLGAP5;OSR2;CDKN2C;KIF23;CDC25C;NDC80;ASPM;NEIL3;ESPL1;CDK2;CDK1;ASF1B
LJP006 LNCAP 24H-JW-7-24-1-3.33	32/179	9.751663673995194E-25	1.7060092340214865E-21	0	0	15.192225461613218	839.9354468252909	TOP2A;BUB1B;NCAPG;LPL;TTK;HMMR;FOXM1;NCAPH;KIF15;RAD51AP1;CCNB2;CDC45;PTTG1;EXO1;NUSAP1;PBK;OIP5;IGF2BP3;GTSE1;DLGAP5;HOXC6;KIF23;CDC25C;NDC80;ASPM;NEIL3;MELK;ESPL1;CDK2;CDK1;CKS2;ASF1B
