Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HCC515 24H-palbociclib-0.37	22/129	1.8623900810836833E-9	3.101647888313486E-5	0	0	5.508554996405464	110.72969596265953	SPARC;KIF14;BUB1B;TTK;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;CKS2;E2F2;KIF2C;KIF20A;GTSE1;CEP55
LJP006 LNCAP 24H-palbociclib-0.37	19/100	3.6865132089065023E-9	3.101647888313486E-5	0	0	6.2666873001134835	121.69019847320124	CA12;IGFBP2;BUB1B;TTK;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;PTTG1;KIFC1;KIF4A;NUSAP1;ID3;E2F2;KIF20A;GTSE1;CEP55
LJP006 LNCAP 24H-palbociclib-1.11	21/143	6.571356034170411E-8	2.6171099686521235E-4	0	0	4.601623317153585	76.10146481536799	SPARC;IGFBP2;TTK;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;ID3;E2F2;KIF20A;TGFBI;GTSE1;CEP55
LJP006 HCC515 24H-palbociclib-0.12	17/96	7.25835163345112E-8	2.6171099686521235E-4	0	0	5.7336146272855135	94.25218452664501	KIF14;BUB1B;TTK;MKI67;NCAPH;KIF15;CDC20;ASPM;KIF18B;PTTG1;TMSB15A;KIF4A;NUSAP1;KIF20A;GTSE1;NES;CEP55
LJP006 BT20 24H-palbociclib-0.12	19/120	8.142831829836987E-8	2.6171099686521235E-4	0	0	5.020519043547809	81.95265715318162	KIF14;BUB1B;TTK;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;KIF20A;PLP2;GTSE1;CEP55
LJP006 MCF10A 24H-palbociclib-3.33	19/121	9.331823742742462E-8	2.6171099686521235E-4	0	0	4.971038833360642	80.46744973416351	SPARC;ANXA1;KIF14;BUB1B;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;COL3A1;KIF18B;PTTG1;KIF4A;NUSAP1;E2F2;KIF20A;GTSE1;CEP55
LJP006 BT20 24H-PHA-793887-1.11	18/111	1.2249927079743564E-7	2.9447074710120704E-4	0	0	5.160393018977971	82.12848448002725	KIF14;TTK;MKI67;NCAPH;KIF15;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;CKS2;RCC1;KIF20A;GTSE1;CEP55
LJP006 BT20 24H-palbociclib-3.33	22/163	1.4911095136156056E-7	3.1363624732012245E-4	0	0	4.1728314238952535	65.59096440029602	OSR2;TNC;KIF14;TTK;EMP3;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;CENPM;KIF20A;PLP2;GTSE1;CEP55
LJP006 BT20 24H-palbociclib-0.37	23/178	1.751010188338111E-7	3.273805382129488E-4	0	0	3.971121351766513	61.78231991474768	ANXA1;TNC;KIF14;BUB1B;TTK;MKI67;NCAPH;KIF15;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIFC1;TMSB15A;KIF4A;NUSAP1;TAGLN2;KIF2C;KIF20A;PLP2;GTSE1;CEP55
LJP006 A549 24H-palbociclib-3.33	14/73	3.707449306043464E-7	6.159233342180771E-4	0	0	6.3027404646365195	93.32941475447467	IL1R2;KIF14;MKI67;LMNB1;CDC20;ASPM;KIF18B;PTTG1;KIF4A;NUSAP1;CKS2;KIF20A;GTSE1;CEP55
