Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 A549 24H-dasatinib-0.12	8/45	1.555153916278268E-4	0.9999897655907619	0	0	5.974019930978324	52.384781956272924	COL3A1;SPARC;COL4A2;COL4A1;CHI3L1;TGFBI;MMP9;LOXL2
LJP006 BT20 3H-geldanamycin-0.04	4/11	4.143765446607145E-4	0.9999897655907619	0	0	15.722844915426942	122.46107987176657	SPARC;TNC;MMP9;LOXL2
LJP006 PC3 24H-saracatinib-0.37	6/31	6.505118594393153E-4	0.9999897655907619	0	0	6.616309012875536	48.5488282668186	CD163;SPARC;IL1R2;IGFBP3;PI3;MMP9
LJP006 A549 24H-XMD-1150-10	6/32	7.770276229590038E-4	0.9999897655907619	0	0	6.361505447342357	45.54859947649486	CA12;IGFBP3;FN1;IGFBP7;EMP3;CD44
LJP008 PC3 24H-I-BET-0.04	6/33	9.217234149196563E-4	0.9999897655907619	0	0	6.1255762199968204	42.813277704249046	LOX;IGFBP3;CHI3L2;S100A4;PI3;LYZ
LJP006 HME1 24H-XMD-1150-10	14/151	9.277838821366215E-4	0.9999897655907619	0	0	2.833215376002197	19.783526262090852	CA12;ENPEP;SPARC;ANXA1;TNC;FN1;EMP3;MMP14;COL3A1;LOX;COL4A2;COL4A1;SERPINH1;IGFBP7
LJP005 A549 24H-WH-4-025-0.37	7/47	0.0012091744672450564	0.9999897655907619	0	0	4.827542979942693	32.430552281527184	COL3A1;ANXA1;ANXA2;COL4A1;FN1;ANXA2P2;LOXL2
LJP009 MCF7 24H-AZD-1480-10	5/25	0.0015852632828866802	0.9999897655907619	0	0	6.883928571428571	44.38072038019479	PRDX4;CSRP2;VNN1;LYZ;MMP9
LJP005 HCC515 24H-crizotinib-10	6/37	0.001716974179743458	0.9999897655907619	0	0	5.334071715353731	33.96305734088973	COL3A1;COL4A2;COL4A1;IGFBP3;ID3;IGFBP7
LJP005 SKBR3 3H-crizotinib-0.37	5/26	0.00190644303863904	0.9999897655907619	0	0	6.55578231292517	41.05569199803429	FCGBP;COL3A1;LOX;SPP1;TGFBI
LJP007 A549 24H-vorinostat-10	8/65	0.0019639549533278303	0.9999897655907619	0	0	3.8738453019205115	24.1448836498912	CA12;ANXA1;COL4A2;COL4A1;IL1R2;IGFBP3;EMP3;TGFBI
LJP007 HEPG2 24H-dasatinib-10	4/16	0.0019854491534953855	0.9999897655907619	0	0	9.169281978126486	57.05044830201019	CA12;TNC;IGFBP7;CD44
LJP006 HME1 24H-afatinib-1.11	8/66	0.002167250302816092	0.9999897655907619	0	0	3.8068569732350466	23.352387718544357	PLAU;HP;TNC;SPP1;PI3;LYZ;MMP9;CD44
