Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 SKBR3 24H-AKT-inhibitor-1-2-10	6/39	1.2647521760457902E-4	0.7864911084637312	0	0	8.868737247789618	79.60103346500885	GINS2;PTTG1;PLK1;SPP1;BIRC5;HOXC10
LJP006 HT29 24H-GSK-1059615-10	5/27	1.899736976965534E-4	0.7864911084637312	0	0	11.064563545906829	94.80809502312202	GINS2;IL1R2;PLK1;CKS2;BIRC5
LJP006 MCF7 24H-PHA-793887-1.11	8/88	4.2674208535115196E-4	0.998993870288843	0	0	4.890476190476191	37.946822251681674	GINS2;PTTG1;TMSB15A;PLK1;SPP1;BIRC5;TTK;SPC25
LJP008 A375 24H-dasatinib-1.11	7/73	7.046179921204036E-4	0.998993870288843	0	0	5.1776136363636365	37.57836776140237	GINS2;IL1R2;PLK1;CKS2;BIRC5;TTK;SPC25
LJP006 LNCAP 24H-PHA-793887-0.37	7/83	0.0015100106759112968	0.998993870288843	0	0	4.494046052631579	29.191698821082788	GINS2;PTTG1;TMSB15A;PLK1;CKS2;SPP1;BIRC5
LJP005 SKBR3 24H-AZD-6482-10	5/43	0.0017351908553641343	0.998993870288843	0	0	6.400562974600681	40.686060984331256	PTTG1;PLK1;SPP1;CKS2;BIRC5
LJP006 SKBR3 24H-lapatinib-0.12	5/44	0.0019254490845848138	0.998993870288843	0	0	6.236127057022579	38.99198339005001	PTTG1;IL1R2;PLK1;CKS2;BIRC5
LJP006 A549 24H-palbociclib-10	9/138	0.002091347375038987	0.998993870288843	0	0	3.411943438120837	21.051509305613923	GINS2;PTTG1;TMSB15A;IL1R2;CKS2;BIRC5;TTK;HOXC10;SPC25
LJP006 SKBR3 24H-WZ-4-145-0.04	5/45	0.0021305173558179838	0.998993870288843	0	0	6.079912935323383	37.39991829846714	GINS2;PTTG1;PLK1;CKS2;BIRC5
LJP006 LNCAP 24H-palbociclib-1.11	9/143	0.002662797414405232	0.998993870288843	0	0	3.2837883447086176	19.467538741134494	GINS2;PTTG1;TMSB15A;PLK1;SPP1;BIRC5;SOX11;TTK;SPC25
LJP006 HEPG2 24H-PHA-793887-1.11	7/94	0.003078999469306369	0.998993870288843	0	0	3.9236206896551726	22.69088927649159	GINS2;TMSB15A;PLK1;SPP1;BIRC5;TTK;SPC25
LJP006 SKBR3 24H-GDC-0941-0.12	5/49	0.003112175833923654	0.998993870288843	0	0	5.526062867480778	31.898828608785553	PTTG1;PLK1;CKS2;SPP1;BIRC5
LJP006 HCC515 24H-palbociclib-0.12	7/96	0.0034639717847055216	0.998993870288843	0	0	3.8350561797752807	21.72689500538289	GINS2;PTTG1;TMSB15A;PLK1;BIRC5;TTK;SPC25
LJP006 A549 24H-palbociclib-3.33	6/73	0.0036980034117255214	0.998993870288843	0	0	4.360591059664272	24.41914520595068	GINS2;PTTG1;IL1R2;PLK1;CKS2;BIRC5
LJP006 HME1 24H-palbociclib-1.11	8/124	0.003890785895396939	0.998993870288843	0	0	3.3665197476449746	18.681303235885572	GINS2;PTTG1;PLK1;CKS2;SPP1;BIRC5;TTK;SPC25
LJP006 LNCAP 24H-ZSTK-474-1.11	5/52	0.0040365495171953945	0.998993870288843	0	0	5.172541547581242	28.512937152653564	GINS2;PTTG1;PLK1;CKS2;BIRC5
LJP006 HEPG2 24H-mitoxantrone-0.37	8/125	0.004085018274426165	0.998993870288843	0	0	3.337574705995759	18.358092959974176	GINS2;PTTG1;PLK1;CKS2;SPP1;BIRC5;SOX11;SPC25
