Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP005 A549 24H-TG-101348-10	13/194	2.5775743010462097E-9	3.592107545937998E-5	0	0	10.311610275436545	203.92670550812133	GINS2;CXCL9;FOXM1;NCAPH;KIF18B;RAD51;CDC45;ID3;GBP1;HOXB7;NES;APOBEC3B;LTF
LJP006 HS578T 24H-XMD-1150-10	11/142	1.0032385402387078E-8	6.029387175137662E-5	0	0	11.912186281509143	219.39206469337708	CXCL10;KIF18B;CDC45;CDKN2C;RAD51;FOXM1;GBP1;S100A11;EGFR;IDO1;APOBEC3B
LJP006 LNCAP 24H-PI-103-1.11	12/182	1.2979450003884175E-8	6.029387175137662E-5	0	0	10.066496163682864	182.80654857456693	GINS2;CXCL10;CXCL9;KIF18B;RAD51;CDC45;LPL;ID3;FOXM1;GBP1;NCAPH;APOBEC3B
LJP006 HS578T 24H-BI-2536-10	10/118	2.0312816757088705E-8	7.076985358169705E-5	0	0	13.056878306878307	231.26360853154773	GINS2;CXCL9;CDC45;RAD51;EMP3;FOXM1;NES;GBP1;S100A11;EGFR
LJP005 HCC515 24H-AZD-8330-3.33	10/141	1.1113834908598576E-7	2.3650980911078007E-4	0	0	10.751908396946565	172.16482594043418	GINS2;CXCL9;KIF18B;CDC45;RAD51;MTHFD2;FOXM1;GBP1;NCAPH;APOBEC3B
LJP006 MDAMB231 24H-XMD11-85H-10	9/107	1.1319223827889005E-7	2.3650980911078007E-4	0	0	12.86495874945723	205.76444328866782	GINS2;KIF18B;CDC45;CDKN2C;RAD51;FOXM1;GBP1;CD44;LTF
LJP006 LNCAP 24H-sirolimus-10	10/142	1.1879798104014498E-7	2.3650980911078007E-4	0	0	10.66991341991342	170.14074741000584	TFAP2A;GINS2;CXCL9;CDC45;RAD51;MTHFD2;F2R;FOXM1;GBP1;LTF
LJP006 HS578T 24H-selumetinib-0.04	8/81	1.680479381218871E-7	2.9273950820832734E-4	0	0	15.26297511093961	238.08740139262977	GINS2;RAD51;KIF18B;SPP1;FOXM1;EGFR;LTF;APOBEC3B
LJP006 LNCAP 24H-torin-1-0.04	10/150	1.987744077629552E-7	3.0779112739828265E-4	0	0	10.056122448979592	155.17698370378466	GINS2;KIF18B;CDC45;CDKN2C;RAD51;MTHFD2;EMP3;FOXM1;APOBEC3B;LTF
LJP008 MCF7 24H-LY2603618-10	8/84	2.2349661205225206E-7	3.114648785560185E-4	0	0	14.65826538176427	224.47476434897524	GINS2;CDKN2C;KIF18B;LPL;ID3;IQGAP2;NCAPH;LTF
LJP006 LNCAP 24H-mitoxantrone-0.37	11/195	2.613769539119479E-7	3.311408390651733E-4	0	0	8.458163903659681	128.20294637631136	GINS2;CXCL10;CXCL9;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;FOXM1;NCAPH;APOBEC3B
LJP005 PC3 24H-SAR-245408-10	7/62	4.03831087657417E-7	4.6898250313281357E-4	0	0	17.617927527018438	259.3758708522666	CXCL10;CXCL9;CDKN2C;SPP1;HOXB7;GBP1;CD44
LJP006 LNCAP 24H-mitoxantrone-1.11	11/207	4.7491633130820554E-7	5.091103071623963E-4	0	0	7.935472030538834	115.54148210146761	GINS2;KIF18B;CDKN2C;RAD51;CDC45;MTHFD2;LPL;FOXM1;NCAPH;AQP1;LTF
LJP006 HME1 24H-WYE-125132-1.11	9/132	6.833650434529106E-7	6.427695923672377E-4	0	0	10.237156201349247	145.32909205230882	GINS2;CXCL9;KIF18B;CDKN2C;LPL;FOXM1;GBP1;NCAPH;APOBEC3B
LJP005 A549 24H-dovitinib-10	11/215	6.918444234721989E-7	6.427695923672377E-4	0	0	7.621173649315842	108.0980009587879	GINS2;KIF18B;RAD51;LPL;ID3;FOXM1;HOXB7;NES;NCAPH;APOBEC3B;LTF
