Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-0.37	19/178	5.921209108986262E-11	1.0304898855161052E-6	0	0	7.88275539690634	185.63806469446212	ANXA1;RRM2;SLC43A3;TNC;CDCA8;FOXM1;CDC20;RAD51;ESPL1;CDK2;DEPDC1;TAGLN2;KIF2C;PLP2;GTSE1;CEP55;EZH2;APOBEC3B;E2F8
LJP006 BT20 24H-palbociclib-3.33	18/163	1.0862125914578952E-10	1.0304898855161052E-6	0	0	8.167189132706374	187.38107778342712	RRM2;TNC;CDCA8;EMP3;FOXM1;CDC20;WEE1;RAD51;ESPL1;CDK2;DEPDC1;CENPM;PLP2;GTSE1;CEP55;EZH2;APOBEC3B;E2F8
LJP005 A549 24H-dovitinib-10	20/215	2.2286661070111386E-10	1.4095570238143115E-6	0	0	6.7761842677096915	150.5969527394586	ARHGAP11A;ERCC6L;RRM2;CDCA8;FOXM1;SKA1;CDC20;RAD51;ESPL1;CDK2;DEPDC1;ID3;CENPM;KIF2C;GTSE1;NES;CEP55;APOBEC3B;LTF;E2F8
LJP005 A549 24H-NVP-BEZ235-0.37	19/207	7.974015829765299E-10	3.0408636086946874E-6	0	0	6.656896923519264	139.45974514850914	RRM2;IL1R2;CDCA8;FOXM1;PDIA4;CDC20;CSRP2;RAD51;ESPL1;CDK2;DEPDC1;EIF4EBP1;GTSE1;NES;CEP55;APOBEC3B;TMEM45A;LTF;E2F8
LJP005 A549 24H-GDC-0980-1.11	18/184	8.013238138227805E-10	3.0408636086946874E-6	0	0	7.126323475721066	149.2591062948167	RRM2;TNC;CDCA8;FOXM1;SKA1;CDC20;CSRP2;RAD51;ESPL1;CDK2;EIF4EBP1;DEPDC1;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
LJP006 HME1 24H-palbociclib-10	19/215	1.511669507323908E-9	4.1997428333840766E-6	0	0	6.382566878102592	129.6302598448521	RRM2;CDCA8;FOXM1;SKA1;CDC20;WEE1;CSRP2;RAD51;ESPL1;CDK2;DEPDC1;RCC1;CENPM;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
LJP006 MCF10A 24H-canertinib-3.33	18/193	1.7363401576709846E-9	4.1997428333840766E-6	0	0	6.756709956709956	136.29288230149584	RRM2;FN1;CDCA8;FOXM1;SKA1;CDC20;RAD51;COL4A2;ESPL1;PLAU;DEPDC1;EIF4EBP1;VIM;GTSE1;CEP55;EZH2;APOBEC3B;LTF
LJP005 A549 24H-TG-101348-10	18/194	1.8869629015073683E-9	4.1997428333840766E-6	0	0	6.7179752066115705	134.95268273950285	RRM2;TNC;CDCA8;FOXM1;SKA1;CDC20;RAD51;COL4A2;ESPL1;COL4A1;CDK2;ID3;GTSE1;NES;GBP1;CEP55;APOBEC3B;LTF
LJP006 HT29 24H-palbociclib-0.37	18/195	2.049576891453477E-9	4.1997428333840766E-6	0	0	6.679678137305256	133.63118576276193	RRM2;CDCA8;FOXM1;WDR76;SKA1;CDC20;CSRP2;RAD51;ESPL1;MDK;DEPDC1;CENPM;PLP2;GTSE1;CEP55;EZH2;APOBEC3B;E2F8
LJP006 HME1 24H-XMD-1150-10	16/151	2.213419855267248E-9	4.1997428333840766E-6	0	0	7.749287749287749	154.43344055527535	CA12;ANXA1;TNC;FN1;EMP3;FOXM1;MMP14;LOX;COL4A2;COL4A1;SERPINH1;TAGLN2;PLP2;GBP1;CEP55;HOXC6
LJP006 A549 24H-JW-7-24-1-10	17/178	3.4477757422390405E-9	5.94709972120396E-6	0	0	6.917920713660427	134.79939675148287	RRM2;FOXM1;CDC20;CXCL10;CSRP2;RAD51;ESPL1;CDK2;EIF4EBP1;ID3;PI3;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
LJP006 LNCAP 24H-palbociclib-10	17/180	4.08929771087371E-9	6.465861230509815E-6	0	0	6.8323382879729895	131.96588017394157	CA12;RRM2;F2R;CDCA8;FOXM1;CDC20;WEE1;RAD51;ESPL1;CDK2;DEPDC1;GTSE1;CEP55;HOXC6;EZH2;TMEM45A;E2F8
LJP006 LNCAP 24H-palbociclib-0.37	13/100	5.970330547181699E-9	8.378214696335646E-6	0	0	9.696810535129787	183.62329918222736	CA12;RRM2;CDCA8;FOXM1;CDC20;ESPL1;CDK2;DEPDC1;ID3;E2F2;GTSE1;CEP55;EZH2
LJP006 HCC515 24H-PD-173074-10	16/162	6.181880770986563E-9	8.378214696335646E-6	0	0	7.161405598570577	135.36233400687064	CA12;RRM2;TNC;FOXM1;CDC20;RAD51;ORC1;CDK2;CHI3L1;GTSE1;GBP1;CEP55;HOXC6;EZH2;APOBEC3B;E2F8
LJP006 HME1 24H-BI-2536-1.11	13/102	7.635039285040782E-9	9.081692892318173E-6	0	0	9.47793734652876	177.14755623617546	CA12;CD163;ANXA1;SLC43A3;TGFB1I1;TNC;LOX;COL4A2;COL4A1;MDK;SERPINH1;PLP2;GBP1
LJP005 PC3 24H-NU-7441-10	12/84	7.75667560327948E-9	9.081692892318173E-6	0	0	10.788228822882289	201.46706621622255	CA12;RRM2;RAD51;LOX;ORC1;SLC43A3;RCC1;PI3;FOXM1;GTSE1;GBP1;LTF
LJP006 LNCAP 24H-palbociclib-1.11	15/143	8.136859869790711E-9	9.081692892318173E-6	0	0	7.639453125	142.29903527021673	RRM2;GDF15;CDCA8;FOXM1;CDC20;CSRP2;ESPL1;CDK2;ID3;CHI3L1;E2F2;TGFBI;GTSE1;CEP55;EZH2
LJP006 HCC515 24H-PD-0325901-3.33	16/171	1.3475008463447808E-8	1.3709419154348437E-5	0	0	6.74247491638796	122.1900235772769	ANXA1;RRM2;TNC;CDCA8;FOXM1;CDC20;WEE1;RAD51;ORC1;ESPL1;EIF4EBP1;CHI3L1;GTSE1;CEP55;EZH2;APOBEC3B
LJP005 MCF10A 24H-mitoxantrone-1.11	15/149	1.4292859261768222E-8	1.3709419154348437E-5	0	0	7.295149253731343	131.77597068682778	ANXA1;RRM2;CDCA8;FOXM1;CDC20;RAD51;ESPL1;EIF4EBP1;DEPDC1;CHI3L1;GTSE1;CEP55;HOXC6;APOBEC3B;LTF
LJP005 A549 24H-NVP-BEZ235-0.04	16/172	1.4648163900606462E-8	1.3709419154348437E-5	0	0	6.698910899579796	120.8413244014352	RRM2;CDCA8;FOXM1;CDC20;CSRP2;RAD51;ESPL1;CDK2;EIF4EBP1;DEPDC1;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
LJP006 LNCAP 24H-torin-1-0.04	15/150	1.5657958382465773E-8	1.3709419154348437E-5	0	0	7.2407407407407405	130.1326672557742	RRM2;IL1R2;CDCA8;EMP3;FOXM1;CDC20;RAD51;CDK2;EIF4EBP1;E2F2;GTSE1;CEP55;EZH2;APOBEC3B;LTF
LJP006 LNCAP 24H-GDC-0941-10	16/173	1.5914024939250106E-8	1.3709419154348437E-5	0	0	6.655901838399761	119.51380634254836	RRM2;CDCA8;FOXM1;CDC20;RAD51;ESPL1;CDK2;DEPDC1;CENPM;GTSE1;CEP55;HOXC6;EZH2;APOBEC3B;LTF;E2F8
LJP006 HCC515 24H-saracatinib-10	14/129	1.6618353565406033E-8	1.3709419154348437E-5	0	0	7.915065722952478	141.78065776653682	ANXA1;RRM2;TNC;RAD51;COL4A2;ORC1;COL4A1;CDK2;ID3;VIM;NES;GBP1;CEP55;EZH2
LJP005 A375 24H-dovitinib-1.11	16/175	1.875055819645345E-8	1.4823878800812824E-5	0	0	6.571506699480448	116.9205252671475	CA12;RRM2;CDCA8;FOXM1;CDC20;CSRP2;RAD51;ESPL1;DEPDC1;CENPM;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
LJP007 HCC515 24H-vorinostat-10	18/229	2.5835726709337672E-8	1.960828314331892E-5	0	0	5.593565991670257	97.72803043661929	FCGBP;ANXA1;RRM2;SLC43A3;CDCA8;FOXM1;CDC20;RAD51;COL4A2;ESPL1;COL4A1;MDK;GTSE1;NES;HOXA5;CEP55;APOBEC3B;LTF
LJP005 A549 24H-torin-2-0.12	16/180	2.7977429486477353E-8	2.041706719524697E-5	0	0	6.369524431030263	110.77792648139973	RRM2;CDCA8;FOXM1;SKA1;CDC20;CSRP2;RAD51;ESPL1;CDK2;EIF4EBP1;DEPDC1;GTSE1;CEP55;EZH2;LTF;E2F8
LJP006 LNCAP 24H-PI-103-1.11	16/182	3.270907371686057E-8	2.298599869273009E-5	0	0	6.2921384534794695	108.44886530130682	RRM2;CDCA8;FOXM1;CDC20;CXCL10;RAD51;ESPL1;CDK2;DEPDC1;ID3;CENPM;GTSE1;GBP1;CEP55;EZH2;APOBEC3B
LJP006 LNCAP 24H-JW-7-24-1-1.11	11/78	3.781900776748588E-8	2.5627780477867038E-5	0	0	10.594952867242734	181.07255471272455	CDC20;CA12;RRM2;DEPDC1;CDCA8;FOXM1;GTSE1;CEP55;TMEM45A;EZH2;APOBEC3B
LJP006 A549 24H-palbociclib-10	14/138	3.952873211144801E-8	2.5862695278710847E-5	0	0	7.337209302325581	125.07181627445611	RRM2;IL1R2;CDCA8;FOXM1;CDC20;RAD51;ESPL1;CDK2;DEPDC1;GTSE1;CEP55;HOXC6;EZH2;E2F8
LJP006 LNCAP 24H-GDC-0941-3.33	16/185	4.1186129308424046E-8	2.6048853916601263E-5	0	0	6.179493776097841	105.08330698147145	RRM2;CDCA8;FOXM1;CDC20;RAD51;ESPL1;CDK2;EIF4EBP1;DEPDC1;CENPM;GTSE1;CEP55;EZH2;APOBEC3B;LTF;E2F8
