Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A375 24H-palbociclib-10	54/154	4.1812520014108936E-54	8.599162866101643E-50	0	0	32.63907120743034	4011.635090539305	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;BRIP1;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CENPM;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-10	55/168	3.4325859433394077E-53	3.529728125535913E-49	0	0	29.490738196009453	3562.590172796508	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;IGF2BP3;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-0.37	50/129	1.0403249604471996E-52	7.131774378852368E-49	0	0	37.827584872062864	4527.768674888745	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;E2F2;BUB1;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-palbociclib-3.33	54/163	1.5173687940899152E-52	7.801551654813299E-49	0	0	29.930297952111797	3571.2067413121586	TOP2A;HJURP;KIF14;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HCC515 24H-palbociclib-1.11	51/139	2.7033557632884715E-52	1.1119442925558141E-48	0	0	34.72828360290017	4123.633997337042	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;MELK;ESPL1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	56/184	3.992700377768567E-52	1.3685645994864725E-48	0	0	26.57028816199377	3144.5924627062686	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;KIF4A;CDK2;CENPM;APOBEC3B;SPC25
LJP005 A549 24H-dovitinib-10	59/215	5.921122123308178E-52	1.52217246984945E-48	0	0	23.152576197387518	2730.982936215719	TOP2A;ARHGAP11A;ERCC6L;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CCNA2;ASPM;NEIL3;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;BRIP1;BUB1;E2F8;GINS2;POLQ;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CDK2;CENPM;NES;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-10	59/215	5.921122123308178E-52	1.52217246984945E-48	0	0	23.152576197387518	2730.982936215719	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;RCC1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;WEE1;KIF18B;RAD51;KIF4A;CDK2;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HME1 24H-palbociclib-3.33	55/183	7.487049614376359E-51	1.710874026325158E-47	0	0	26.01477581521739	3002.5906931167474	TOP2A;HJURP;KIF14;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;KIF4A;CDK2;CENPM;EZH2;APOBEC3B;SPC25
LJP006 HT29 24H-palbociclib-0.37	56/195	1.5618948228110346E-50	3.2121928925931736E-47	0	0	24.453797709495955	2804.4435622390415	TOP2A;KIF14;HJURP;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;EXO1;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;KIF23;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF20A;DTL;ASF1B;TROAP;NCAPG;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;E2F8;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18A;KIF18B;RAD51;KIF4A;CENPM;EZH2;APOBEC3B;SPC25
