Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 BT20 24H-palbociclib-3.33	35/163	5.804662999344783E-19	1.2158447118427582E-14	0	0	8.391386281948881	352.3581297962825	HJURP;TNC;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;GTSE1;BUB1;CEP55;DLGAP5;E2F8;OSR2;GINS2;CDKN2C;RRM2;EMP3;CDC25C;WEE1;RAD51;KIFC1;CDK2;CDK1;BIRC5;CENPM;PLP2;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-1.11	31/143	4.55148361431951E-17	3.737090520730313E-13	0	0	8.447236394557823	317.8567783464778	SPARC;HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;LOXL2;KIF15;CDC45;PTTG1;NUSAP1;PBK;SPP1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;IGFBP2;MELK;KIFC1;CDK2;CDK1;ID3;BIRC5;CHI3L1;ASF1B;EZH2;SPC25
LJP006 HME1 24H-palbociclib-1.11	29/124	5.352464223331872E-17	3.737090520730313E-13	0	0	9.295069953364424	348.2527115213386	HJURP;HMMR;FOXM1;TYMS;CENPA;KIF15;PTTG1;NUSAP1;PBK;SPP1;RCC1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;CDC25C;KIF18A;MELK;KIFC1;CDK2;CDK1;CKS2;BIRC5;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-10	33/168	1.0116353100652969E-16	5.297428301156927E-13	0	0	7.475017692852088	275.3033568969092	SPARC;HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;GTSE1;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;KIF18A;MELK;RAD51;KIFC1;CDK2;CDK1;BIRC5;CENPM;PLP2;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-0.37	26/100	1.3627431527521496E-16	5.708803615509305E-13	0	0	10.659502021706746	389.4114546662292	HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;PTTG1;NUSAP1;PBK;GTSE1;BUB1;CEP55;DLGAP5;CA12;GINS2;RRM2;IGFBP2;KIFC1;CDK2;CDK1;ID3;BIRC5;ASF1B;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.37	33/178	6.118150690607556E-16	2.135846406091098E-12	0	0	6.955875247089831	243.6650167044347	HJURP;TNC;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;GTSE1;BUB1;CEP55;DLGAP5;E2F8;GINS2;ANXA1;CDKN2C;RRM2;KIF18A;RAD51;KIFC1;CDK2;CDK1;BIRC5;TAGLN2;PLP2;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 LNCAP 24H-palbociclib-10	33/180	8.631443774963389E-16	2.5827745901483303E-12	0	0	6.860522552970233	237.96374018520942	HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;GTSE1;BUB1;CEP55;DLGAP5;E2F8;CA12;GINS2;CDKN2C;RRM2;IGFBP2;KIF18A;WEE1;MELK;RAD51;KIFC1;CDK2;CDK1;BIRC5;ASF1B;EZH2;TMEM45A;SPC25
LJP006 HME1 24H-palbociclib-3.33	33/183	1.4330312423663308E-15	3.7520340503256455E-12	0	0	6.722261146496815	229.76005915618182	HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;SPP1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;CDC25C;KIF18A;MELK;KIFC1;CDK2;CDK1;CKS2;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B;SPC25
LJP006 BT20 24H-PHA-793887-3.33	33/184	1.6927764564007994E-15	3.9396550728634605E-12	0	0	6.677394862276965	227.11426735110598	HJURP;HMMR;FOXM1;TYMS;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;PBK;RCC1;GTSE1;BUB1;CEP55;DLGAP5;E2F8;GINS2;CDKN2C;RRM2;CDC25C;WEE1;MELK;RAD51;KIFC1;CDK2;CDK1;CKS2;BIRC5;CENPM;ASF1B;APOBEC3B;SPC25
LJP006 MCF10A 24H-mitoxantrone-0.37	30/154	3.2274965972626052E-15	6.7603143726262526E-12	0	0	7.367338070650785	245.82648221041663	HJURP;HMMR;FOXM1;CENPA;AURKB;KIF15;CDC45;PTTG1;NUSAP1;EIF4EBP1;PBK;SPP1;GTSE1;BUB1;CEP55;DLGAP5;GINS2;RRM2;IGFBP2;KIF18A;MELK;RAD51;CDK1;CKS2;BIRC5;CENPM;ASF1B;EZH2;APOBEC3B;SPC25
