Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 HME1 24H-palbociclib-1.11	46/124	4.286845906571512E-53	7.735184753817637E-49	0	0	47.84721339266794	5769.486784951307	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;CENPA;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;PBK;RCC1;MYBL2;BUB1;CEP55;DLGAP5;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP006 HCC515 24H-palbociclib-0.37	45/129	1.6956623111770382E-50	1.529826537143924E-46	0	0	43.27160493827161	4958.977040125579	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;RRM2;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF2C;KIF20A;DTL;EZH2;SPC25
LJP006 A375 24H-palbociclib-10	47/154	1.4881284496709303E-49	8.95059658195409E-46	0	0	35.732539651762515	4017.379071120132	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;BRIP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP006 BT20 24H-palbociclib-0.12	43/120	7.42341838446621E-49	2.7862053342997687E-45	0	0	44.755102040816325	4959.851256853838	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP005 MCF10A 24H-mitoxantrone-0.37	50/192	7.720586716636468E-49	2.7862053342997687E-45	0	0	28.953130547993844	3207.5082685312213	TOP2A;HJURP;KIF14;MCM10;KIF15;LMNB1;CDC20;PTTG1;PBK;MYBL2;CEP55;DLGAP5;CDC25C;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;TMSB15A;DEPDC1;CKS2;BIRC5;KIF20A;DTL;TROAP;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;IGF2BP3;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;CDK4;KIF4A;CDK1;EZH2;SPC25
LJP005 MCF10A 24H-mitoxantrone-10	44/133	3.5158689345186545E-48	1.0573389842409101E-44	0	0	39.75925584822251	4344.366567913791	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;KIF15;LMNB1;AURKA;CDC20;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;CDK4;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF20A;DTL;SPC25
LJP006 A549 24H-palbociclib-10	44/138	2.337719691886178E-47	6.025973445770599E-44	0	0	37.6348099058249	4040.936980573797	TOP2A;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;HOXC6;GINS2;RRM2;UBE2C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;TMSB15A;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-1.11	41/111	3.038930822811987E-47	6.55737301781873E-44	0	0	46.57732793522267	4988.89729798703	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;AURKA;CDC20;PTTG1;PBK;RCC1;MYBL2;BUB1;CEP55;DLGAP5;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;SPC25
LJP006 A375 24H-palbociclib-1.11	42/120	3.2706914852786838E-47	6.55737301781873E-44	0	0	42.97623514696686	4600.025704982624	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;RAD51AP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP006 HME1 24H-palbociclib-3.33	48/183	4.818219226412169E-47	8.693994772138118E-44	0	0	29.002962962962965	3093.1397513331194	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;EZH2;SPC25
LJP006 BT20 24H-PHA-793887-3.33	48/184	6.441685311595925E-47	1.0566706342039715E-43	0	0	28.788235294117648	3061.879545178772	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;AURKA;CDC20;RAD51AP1;PTTG1;PBK;RCC1;MYBL2;BUB1;CEP55;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;PLK1;CDC25C;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;CKS2;BIRC5;KIF20A;DTL;SPC25
LJP006 HS578T 24H-palbociclib-0.37	46/162	7.417510843559195E-47	1.115346380509851E-43	0	0	32.11085779424337	3410.7400417764325	TOP2A;TROAP;HJURP;KIF14;NCAPG;CDCA8;MCM10;TTK;HMMR;CENPA;NCAPH;AURKB;KIF15;LMNB1;CDC20;RAD51AP1;PTTG1;PBK;MYBL2;BUB1;CEP55;DLGAP5;HOXC6;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;CCNA2;TPX2;ASPM;NEIL3;MELK;KIF18B;ESPL1;KIFC1;TMSB15A;KIF4A;CDK1;DEPDC1;BIRC5;KIF20A;DTL;EZH2;SPC25
