Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LJP006 A549 24H-celastrol-10	5/53	5.743863778412553E-4	0.9185181545674465	0	0	8.173970783532537	60.995872264925076	HOXA10;CSTA;SPP1;EMP3;HOXC6
LJP006 HA1E 24H-A443654-3.33	5/64	0.001361730866344113	0.9185181545674465	0	0	6.646296171247214	43.858899744584896	HOXA10;EMP3;HOXA5;S100A11;HOXC6
LJP008 HEPG2 24H-I-BET151-10	7/129	0.0013783597259325534	0.9185181545674465	0	0	4.521495819342945	29.782464886273445	CSTA;CLEC5A;SPP1;S100A4;LYZ;HOXA5;AQP1
LJP006 MDAMB231 3H-dasatinib-3.33	4/41	0.0018304165259546744	0.9185181545674465	0	0	8.454311454311455	53.28931511281269	HOXA10;SPP1;HOXA5;HOXC6
LJP005 HS578T 3H-buparlisib-10	5/69	0.00190610706024505	0.9185181545674465	0	0	6.125498007968128	38.362109240078325	HOXA10;CSTA;SPP1;LYZ;HOXA5
LJP005 BT20 3H-AKT-inhibitor-1-2-10	3/23	0.003037155034227943	0.9185181545674465	0	0	11.69407114624506	67.78858975389855	CSTA;LYZ;HOXA5
LJP006 SKBR3 3H-nintedanib-0.12	3/23	0.003037155034227943	0.9185181545674465	0	0	11.69407114624506	67.78858975389855	SPP1;ID3;HOXA5
LJP006 MDAMB231 24H-nintedanib-10	3/25	0.0038707939307297407	0.9185181545674465	0	0	10.629895795903701	59.04158390389726	STEAP3;SPP1;HOXA5
LJP007 A375 24H-INK-128-3.33	6/118	0.004145620722379624	0.9185181545674465	0	0	4.206857142857143	23.077567795428916	CSTA;ID3;LYZ;HOXC10;AQP1;HOXC6
LJP005 MCF7 24H-TG-101348-0.37	3/28	0.005360081288457984	0.9185181545674465	0	0	9.352885375494072	48.904143875239434	HOXA10;VNN1;SPP1
LJP009 HEPG2 24H-SYK-inhibitor-1.11	4/55	0.005362602807076171	0.9185181545674465	0	0	6.1291627762216	32.045137435663875	VNN1;S100A4;TAGLN2;LYZ
LJP009 HEPG2 24H-dasatinib-10	4/57	0.006088976202413992	0.9185181545674465	0	0	5.89727463312369	30.083621556871332	ST14;SPP1;S100A4;TAGLN2
LJP007 MCF7 24H-everolimus-1.11	3/30	0.0065193377301992214	0.9185181545674465	0	0	8.659200702678964	43.581605456183055	ID3;TAGLN2;TREM1
LJP005 SKBR3 24H-TWS-119-10	4/59	0.006877973954851459	0.9185181545674465	0	0	5.682251082251082	28.294378062175234	SPP1;LYZ;S100A11;HOXC6
