Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	62/551	5.483480989608604E-20	2.0277912699572616E-16	0	0	4.597207531203724	203.88597813583408	TOP2A;LRR1;HJURP;MCM10;LMNB1;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;MELK;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;CENPU;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CDK4;CDK1;CENPM;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	19/44	3.718894890693791E-18	5.006747000435445E-15	0	0	26.083469026548673	1046.8106043924734	TOP2A;RRM2;UBE2C;TROAP;LRR1;HJURP;PIMREG;AURKB;CDC20;CCNB2;PTTG1;PBK;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;DLGAP5
CID44819306 CA-90-RU33 BAID12 10UM	43/300	4.942119223029111E-18	5.006747000435445E-15	0	0	5.925307651919993	236.11602888542853	TOP2A;TROAP;HJURP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PCLAF;PBK;MYBL2;BUB1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;NDC80;CCNA2;TPX2;MELK;KIF18B;KIFC1;FANCD2;CKS2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	47/360	6.145137105126705E-18	5.006747000435445E-15	0	0	5.341716196357709	211.6968634637671	TOP2A;PCNA;LRR1;TROAP;HJURP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC20;CCNB2;CDC45;PTTG1;ORC1;PCLAF;PBK;MYBL2;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;TPX2;MELK;KIF18B;TMSB15A;KIFC1;FANCD2;CDK1;CENPM;BIRC5;KIF2C;KIF20A;MTFR2;EZH2;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	23/74	6.769533532227481E-18	5.006747000435445E-15	0	0	15.567264338890636	615.4377771845647	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;PLK1;HJURP;CDCA8;ESCO2;PIMREG;TYMS;AURKB;AURKA;CDC20;TPX2;PTTG1;KIFC1;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;KIF20A
CID71678945 NA-16-OJ70 BAID30 0.1UM	49/396	1.114263382341436E-17	6.867576646497717E-15	0	0	5.033160063562175	196.4731932416749	TOP2A;LRR1;HJURP;YBX1;CDC20;PTTG1;NUF2;PBK;PCLAF;MYBL2;DLGAP5;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;TMEM37;MELK;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CDK1;CENPM;EZH2;SPC25
CID151345176 AC-45-YY00 BAID36 10UM	23/92	1.4124505995659007E-15	7.461774738849573E-13	0	0	11.49554367201426	393.072299901299	TOP2A;RRM2;CDKN2C;UBE2C;PLK1;HJURP;CDCA8;KIF23;PIMREG;CDC25C;CENPA;AURKB;AURKA;CDC20;CCNA2;TPX2;PTTG1;KIFC1;BIRC5;CENPM;KIF2C;KIF20A;DLGAP5
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	56/579	3.3622067051596904E-15	1.554180049460067E-12	0	0	3.831363346659714	127.68470024129616	TOP2A;LRR1;HJURP;MCM10;YBX1;AQP1;LMNB1;CDC20;EME1;PTTG1;PBK;PCLAF;MYBL2;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;TMEM37;NEIL3;MELK;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;CDK4;CENPM;SPC25
CID53378674 BB-86-UL91 BAID23 1UM	24/107	4.82316705217621E-15	1.9817857509941804E-12	0	0	9.982616179001722	329.08039251117157	GINS2;RRM2;UBE2C;TROAP;PLK1;CDCA8;PIMREG;TYMS;AURKB;AURKA;CDC20;CCNB2;TPX2;MELK;CDC45;PTTG1;KIFC1;PCLAF;BIRC5;CENPM;MYBL2;KIF2C;KIF20A;DLGAP5
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	31/198	2.061606830786942E-14	7.623822060250112E-12	0	0	6.461424348409871	203.61696330124818	TOP2A;TROAP;HJURP;CDCA8;NCAPH;AURKB;AURKA;CDC20;CCNB2;CDC45;PTTG1;PCLAF;PBK;EIF4EBP1;E2F2;MYBL2;DLGAP5;CDKN2C;RRM2;UBE2C;PLK1;ESCO2;TMEM37;MELK;KIFC1;FANCD2;CDK4;CENPM;BIRC5;KIF2C;KIF20A
