Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	67/551	1.190321828965194E-31	4.479181042396025E-28	0	0	7.382017867860935	525.64333068368	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;MCM10;FOXM1;MKI67;KIF15;LMNB1;PTTG1;NUF2;PBK;PCLAF;OIP5;GTSE1;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;ASPM;ESPL1;MTHFD2;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;BUB1;E2F8;CENPU;CDKN2C;RRM2;DDIAS;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CENPM;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	50/396	1.8781795231120693E-24	3.5337947727353586E-21	0	0	7.410019267822736	404.82224057296645	ARHGAP11A;TOP2A;LRR1;HJURP;FOXM1;MKI67;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;GTSE1;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;ESPL1;MTHFD2;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;BUB1;CDKN2C;RRM2;TPX2;RAD51;KIF18B;KIF4A;CENPM;SPC24;EZH2;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	47/360	1.1733640459964904E-23	1.4717896350282645E-20	0	0	7.65179099683892	404.0113681945726	TOP2A;CDCA2;PCNA;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;SKA1;AURKB;LMNB1;AURKA;CDC45;PTTG1;ORC1;PCLAF;PBK;NUSAP1;GTSE1;TCF19;CDKN2C;RRM2;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;TPX2;KIF18B;ESPL1;MTHFD2;KIFC1;KIF4A;CENPM;BIRC5;KIF2C;KIF20A;PRR11;DTL;SPC24;ASF1B;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	43/300	2.4184855811768075E-23	2.2751903104920815E-20	0	0	8.461242284107808	440.6303234493851	TOP2A;CDCA2;TROAP;HJURP;CDCA8;MKI67;SKA3;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC45;PTTG1;PCLAF;PBK;BUB1;TCF19;CDKN2C;RRM2;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;NDC80;TPX2;KIF18B;RAD51;ESPL1;MTHFD2;KIFC1;KIF4A;CKS2;CENPM;BIRC5;KIF2C;KIF20A;SPC24;ASF1B;APOBEC3B;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	57/579	2.603871808514674E-22	1.9596739230881437E-19	0	0	5.653532608695652	280.97985011744527	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;MCM10;FOXM1;MKI67;AQP1;LMNB1;CSRP2;PTTG1;EME1;PBK;PCLAF;OIP5;GTSE1;TCF19;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;ASPM;NEIL3;ESPL1;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;BUB1;CDKN2C;RRM2;TPX2;RAD51;KIF18B;CENPH;KIF4A;CENPM;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	55/550	7.197237007896983E-22	4.513867143452724E-19	0	0	5.72972972972973	278.9414342321334	ARHGAP11A;TOP2A;STEAP3;LRR1;HJURP;MCM10;FOXM1;MKI67;PTTG1;NUF2;PBK;PCLAF;OIP5;GTSE1;TCF19;EIF5AL1;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;ASPM;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;GNG5;CENPU;CDKN2C;RRM2;TPX2;RAD51;KIF18B;CENPH;KIF4A;CENPM;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	22/74	1.225749569271183E-19	5.788926455647691E-17	0	0	20.495609849207863	892.4928948498876	TOP2A;RRM2;CKAP2L;TROAP;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;AURKB;AURKA;TPX2;PTTG1;KIFC1;KIF4A;PCLAF;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	59/703	1.2307045348174734E-19	5.788926455647691E-17	0	0	4.738693446017038	206.32996269342274	ARHGAP11A;TOP2A;LRR1;HJURP;MCM10;FOXM1;MKI67;KIF15;LMNB1;PTTG1;EME1;NUF2;PBK;PCLAF;OIP5;GTSE1;TCF19;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;WDR76;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;BUB1;CENPU;CDKN2C;RRM2;NDC80;TPX2;WEE1;RAD51;KIF18B;CENPH;CENPI;KIF4A;CDK2;CENPM;APOBEC3B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	63/834	1.2956759090734829E-18	5.417364939826128E-16	0	0	4.244512758776361	174.8208657605433	ARHGAP11A;TOP2A;STEAP3;CDCA7L;LRR1;HJURP;MCM10;FOXM1;MKI67;KIF15;LMNB1;PTTG1;EME1;PBK;PCLAF;RCC1;OIP5;GTSE1;TCF19;EIF5AL1;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;NEIL3;ESPL1;MTHFD2;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;BUB1;CDKN2C;RRM2;NDC80;TPX2;RAD51;KIF18B;CENPH;CENPI;KIF4A;CENPM;ID3;EZH2;APOBEC3B;SPC25
BE-04-AN21 BAID12 10UM	64/874	3.1931370807123012E-18	1.2015774834720389E-15	0	0	4.107109879963065	165.45708936784538	TOP2A;STEAP3;LRR1;HJURP;MCM10;FOXM1;MKI67;HOXC11;AQP1;KIF15;LMNB1;MAGED4B;PTTG1;EME1;PBK;PCLAF;RCC1;OIP5;GTSE1;TCF19;EIF5AL1;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;DEPDC1B;ESPL1;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;NCAPG;CDCA8;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CDC45;ORC1;CENPU;CDKN2C;RRM2;TPX2;WEE1;RAD51;KIF18B;CENPH;KIF4A;CDK2;CENPM;SPC24;EZH2;APOBEC3B;SPC25
