Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	77/551	2.8847279394991307E-21	1.2167782448807333E-17	0	0	4.067053022215444	192.3506884905026	TOP2A;ERCC6L;LRR1;HJURP;NRM;MCM10;FOXM1;KIF15;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;CDC25C;PIMREG;SGO1;CCNA2;ASPM;MELK;MTHFD2;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;PCNA;SLC43A3;TROAP;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF18B;CENPI;KIF4A;CDK2;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	63/396	1.7479841958414196E-20	3.686498669029554E-17	0	0	4.684483432183827	213.11232261036858	TOP2A;LRR1;HJURP;YBX1;FOXM1;CDC20;TUBA1C;CSRP2;PTTG1;NUF2;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;CDC25C;PIMREG;CCNA2;TMEM37;MELK;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	27/74	4.915047422408853E-19	6.910556675906847E-16	0	0	13.787954830614806	581.2562660528155	TOP2A;TROAP;HJURP;CDCA8;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID44819306 CA-90-RU33 BAID12 10UM	52/300	9.25084071501154E-19	9.755011533979668E-16	0	0	5.140899214440916	213.4727673255367	TOP2A;HJURP;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;PIMREG;CDC25C;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	71/550	9.316125742266079E-18	7.859083676175664E-15	0	0	3.6804403818269025	144.32767763277747	TOP2A;STEAP3;LRR1;RPLP0;HJURP;MCM10;YBX1;FOXM1;CDC20;TUBA1C;PTTG1;NUF2;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;FOXD1;ANXA2;CKAP2L;PIMREG;CCNA2;ASPM;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	55/360	3.2618843705461134E-17	2.293104712493918E-14	0	0	4.425184932528939	167.98728408933988	TOP2A;LRR1;HJURP;NRM;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;PIMREG;CDC25C;CCNA2;MELK;MTHFD2;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;ASF1B;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	71/579	1.490094178161915E-16	8.97888177640994E-14	0	0	3.464953832962115	126.27165685192593	TOP2A;ERCC6L;LRR1;HJURP;NRM;MCM10;YBX1;FOXM1;CDC20;TUBA1C;CSRP2;PTTG1;MDK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;GPX8;CDC25C;PIMREG;CCNA2;TMEM37;ASPM;NEIL3;MELK;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;UHRF1;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;E2F2;BUB1;CA12;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF18B;KIF4A;MFAP2;CENPM;PLP2;NES;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	51/328	2.268086334857561E-16	1.195848520053649E-13	0	0	4.501422093115575	162.1521399057666	TOP2A;LRR1;HJURP;NRM;MCM10;FOXM1;CDC20;TUBA1C;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;PIMREG;TMEM37;MELK;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;TROAP;CDCA8;TYMS;CENPA;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;MFAP2;CENPM;TGFBI;NES
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	40/217	1.165280636716952E-15	5.461281917413448E-13	0	0	5.476478727084054	188.31318133254558	TOP2A;TROAP;HJURP;CDCA8;FOXM1;CENPA;NCAPH;AURKB;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;SERPINH1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;DEPDC1B;MELK;KIF18B;KIF4A;MFAP2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PLP2;NES;ASF1B;SPC25
BE-04-AN21 BAID11 1UM	42/240	1.525484674503982E-15	6.434494357057796E-13	0	0	5.147872587770286	175.62721092918358	TOP2A;LRR1;TROAP;HJURP;CDCA8;FOXM1;CENPA;NCAPH;AURKB;AURKA;CDC20;BCL2L12;TUBA1C;CCNB2;PTTG1;PCLAF;MYBL2;TK1;GTSE1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;PLK1;PIMREG;TPX2;MELK;KIF18B;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B;APOBEC3B
