Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	70/551	2.8344898845643667E-40	1.1383311376410497E-36	0	0	10.072577437198376	917.2244306630654	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;PCLAF;PBK;MYBL2;OIP5;TK1;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;TROAP;CDCA7;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;E2F2;BUB1;E2F8;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK2;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	59/396	8.266635659741149E-38	1.6599404404760228E-34	0	0	11.742128255852291	1002.6134327689617	ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;OIP5;TK1;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;KIF4A;NES;SPC24;EZH2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	67/579	6.19252336294486E-36	7.975783161770242E-33	0	0	8.945640345982143	725.2205642655	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;MDK;PCLAF;PBK;MYBL2;OIP5;TK1;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;E2F2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;KIF4A;NES;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	55/360	7.944007133237293E-36	7.975783161770242E-33	0	0	11.94857399505951	965.6914633612706	LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;SPC24;EZH2;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	76/834	1.1497832734135423E-33	9.235059252057572E-31	0	0	6.990721358400919	530.2163968264384	ARHGAP11A;LRR1;CDCA7L;RPLP0;TNC;HJURP;NRM;BUB1B;MCM10;YBX1;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;RCC1;MYBL2;OIP5;TK1;DLGAP5;TCF19;EIF5AL1;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;SGO1;CCNA2;TMEM37;ZNF90;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;CDCA2;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;EIF4EBP1;E2F2;BUB1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;RAD51;CENPH;CENPI;KIF4A;VIM;NES;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	63/550	1.706769688924313E-33	1.142397845120007E-30	0	0	8.730210833791249	658.7005670590243	ARHGAP11A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;MKI67;FOXM1;CDC20;PTTG1;PCLAF;PBK;MYBL2;OIP5;TK1;DLGAP5;TCF19;EIF5AL1;FOXD1;CKAP2L;KIF23;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;GNG5;SERPINH1;EIF4EBP1;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;RAD51;CENPH;KIF4A;VIM;NES;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	69/703	1.774253238951361E-32	1.017914429661238E-29	0	0	7.4456516805483055	544.3467051915259	ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;PBK;MYBL2;OIP5;TK1;DLGAP5;TCF19;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;SGO1;CCNA2;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;E2F2;BUB1;GINS2;POLQ;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;WEE1;KIF18B;RAD51;CENPH;CENPI;KIF4A;CDK2;NES;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	48/300	3.0389804056330283E-32	1.5255681636277802E-29	0	0	12.359292881032012	896.9287267691225	CDCA2;TROAP;HJURP;CDCA8;BUB1B;MKI67;TYMS;FOXM1;CENPA;SKA1;AURKB;AURKA;CDC20;BCL2L12;CCNB2;PTTG1;PCLAF;PBK;MYBL2;TK1;BUB1;DLGAP5;TCF19;GINS2;CDKN2C;RRM2;UBE2C;CKAP2L;PLK1;KIF23;PIMREG;CDC25C;WDR76;NDC80;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;KIFC1;FANCD2;KIF4A;BIRC5;KIF2C;SPC24;ASF1B;SPC25
TF-29-QU48 BAID52 10UM	65/674	4.121188103359983E-30	1.838965713677077E-27	0	0	7.207839849072425	487.6926165652635	LRR1;CDCA7L;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PTTG1;EME1;MDK;PCLAF;PBK;MYBL2;TK1;DLGAP5;TCF19;EIF5AL1;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;CCNA2;TMEM37;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;ORC1;SERPINH1;E2F2;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;TPX2;MEX3A;KIF18B;RAD51;CENPH;KIF4A;CDK2;NES;SPC24;SPC25
CID71678945 NA-16-OJ70 BAID32 10UM	47/328	2.292107591440131E-29	9.205104087223567E-27	0	0	10.800521945432978	712.245776285095	CDCA2;LRR1;TROAP;HJURP;NRM;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;BCL2L12;CCNB2;EME1;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;WDR76;NDC80;TPX2;TMEM37;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;BIRC5;KIF2C;PRR11;NES;ASF1B
