Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	72/551	3.2121086090901073E-31	1.2485466163533246E-27	0	0	6.632611443988588	465.6969419809355	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;ASPM;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK2;CDK1;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	59/396	1.0278377548933899E-28	1.6509327641998301E-25	0	0	7.555003074290908	486.8816085768508	ARHGAP11A;TOP2A;HJURP;BUB1B;FOXM1;MKI67;CDC20;CSRP2;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EDN2;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;SPC24;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	52/300	1.2741955988164368E-28	1.6509327641998301E-25	0	0	8.949181031399757	574.8065019600773	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;EDN2;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;SPC24;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	54/360	1.764973053434234E-26	1.7151125646747168E-23	0	0	7.542643783571335	447.27181446598826	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;SPC24;EZH2
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	64/579	1.089804640424161E-23	8.472141274657427E-21	0	0	5.373412654532587	284.11091200114646	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;CSRP2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EDN2;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CA12;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	24/74	1.3011127190960849E-20	8.429041898544137E-18	0	0	19.48759916492693	892.3075840493615	TOP2A;RRM2;CKAP2L;UBE2C;TROAP;HJURP;CDCA8;ESCO2;MKI67;FOXM1;PIMREG;TYMS;AURKB;AURKA;CDC20;TPX2;KIFC1;KIF4A;PCLAF;BIRC5;MYBL2;KIF2C;TK1;KIF20A
CID9907182 GB-94-XG34 BAID16 10UM	58/550	1.6182568513918337E-20	8.985949116228655E-18	0	0	5.034667032063579	229.4315504026898	ARHGAP11A;TOP2A;HJURP;BUB1B;MCM10;FOXM1;MKI67;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EDN2;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;MELK;ESPL1;MTHFD2;KIFC1;CKS2;BIRC5;KIF2C;MTFR2;KIF20A;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;CENPU;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;VIM;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	65/703	7.307414958161979E-20	3.5504902427969514E-17	0	0	4.386692861539342	193.29002408607536	ARHGAP11A;TOP2A;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EDN2;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;BIRC5;KIF2C;KIF20A;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CA12;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;RAD51;KIF18B;KIF4A;CDK2;CDK1;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	25/92	2.6351372634416636E-19	1.1380865047775274E-16	0	0	15.167364016736402	648.8625854194638	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TK1;DLGAP5;RRM2;CDKN2C;UBE2C;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;KIF2C;KIF20A
CID101476432 RC-52-AC88 BAID28 10UM	70/834	5.022703773889018E-19	1.952324956910661E-16	0	0	3.9639130382211043	167.02006402214246	ARHGAP11A;TOP2A;CDCA7L;TNC;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EDN2;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;NEIL3;MELK;ESPL1;MTHFD2;TMSB15A;KIFC1;ADAM12;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CA12;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK1;ID3;VIM;EZH2;APOBEC3B
