Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	43/551	2.521974831200731E-5	0.04683905404782274	0	0	2.0872192674464505	22.099233831489755	ARHGAP11A;TOP2A;ERCC6L;CDCA2;PCNA;CDCA7;HJURP;NRM;BUB1B;HMMR;SKA3;TYMS;CENPA;AURKB;KIF15;LMNB1;PTTG1;NUF2;PBK;PCLAF;OIP5;DLGAP5;CEP55;E2F8;TCF19;CENPU;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;NDC80;ASPM;TPX2;MELK;KIF18B;KIFC1;FANCD2;CKS2;CDK1;DEPDC1;MTFR2;KIF20A
CID44819306 CA-90-RU33 BAID12 10UM	28/300	3.1101629513826516E-5	0.04683905404782274	0	0	2.5205273571265505	26.158663911686144	TOP2A;CDCA2;HJURP;BUB1B;SKA3;TYMS;CENPA;AURKB;PTTG1;PCLAF;PBK;DLGAP5;CEP55;TCF19;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;NDC80;TPX2;MELK;KIF18B;KIFC1;FANCD2;CKS2;CDK1;KIF20A
CID53378674 BB-86-UL91 BAID24 10UM	30/360	1.3289543976342262E-4	0.13342702152247632	0	0	2.22485555948591	19.858944822626757	TOP2A;CDCA2;PCNA;HJURP;NRM;BUB1B;TYMS;CENPA;AURKB;LMNB1;PTTG1;PCLAF;PBK;NUSAP1;DLGAP5;TCF19;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;TPX2;MELK;KIF18B;KIFC1;FANCD2;CDK1;KIF20A;MTFR2;EZH2
CID151345176 AC-45-YY00 BAID36 10UM	12/92	3.004176660407438E-4	0.15800605035010715	0	0	3.6347908745247146	29.479378304138564	TOP2A;TPX2;CDKN2C;PTTG1;KIFC1;HJURP;BUB1B;KIF23;KIF20A;CENPA;DLGAP5;AURKB
CID71678945 NA-16-OJ70 BAID30 0.1UM	31/396	3.1345168506353744E-4	0.15800605035010715	0	0	2.0774025974025974	16.760204380398847	ARHGAP11A;TOP2A;CDCA2;HJURP;BUB1B;HMMR;TYMS;CENPA;AURKB;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;DLGAP5;CEP55;TCF19;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;TPX2;MELK;KIF18B;KIFC1;FANCD2;CDK1;KIF20A;EZH2
CID5330286 PALBOCICLIB AE-04-SN76 BAID6 0.1UM	8/44	3.14753088346827E-4	0.15800605035010715	0	0	5.370043435617206	43.30253778488927	TOP2A;PTTG1;HJURP;PBK;PCLAF;KIF20A;AURKB;DLGAP5
CID44818584 AA-42-XZ05 BAID32 10UM	10/74	7.087605903020159E-4	0.29401048789788964	0	0	3.7798277496839443	27.411283477812482	TOP2A;TPX2;PTTG1;CKAP2L;KIFC1;HJURP;PCLAF;KIF20A;TYMS;AURKB
CID378811 MR16728 ND-68-CU31 BAID27 1UM	14/131	7.809043503264002E-4	0.29401048789788964	0	0	2.901291282485692	20.758907071485858	TOP2A;TCF19;CDKN2C;CKAP2L;HJURP;BUB1B;NCAPG;KIF23;TPX2;MELK;KIFC1;PCLAF;KIF20A;CEP55
EA-73-UC67 BAID36 10UM	16/177	0.002062202429417063	0.6901504130449104	0	0	2.410159433477074	14.904379485162949	TOP2A;CDCA2;CDKN2C;CKAP2L;HJURP;BUB1B;CENPA;AURKB;TPX2;MELK;KIFC1;PCLAF;PBK;DEPDC1;KIF20A;DLGAP5
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	18/217	0.00290502216287095	0.8749926754567301	0	0	2.1948824582683533	12.820998201391548	TOP2A;EIF5AL1;TCF19;GINS2;CDCA2;CDKN2C;HJURP;BUB1B;CENPA;WDR76;AURKB;TPX2;MELK;KIF18B;PTTG1;PCLAF;KIF20A;DLGAP5
BE-04-AN21 BAID11 1UM	19/240	0.0037846020729965244	0.9999960360446865	0	0	2.0864357547071553	11.635665233282452	TOP2A;TCF19;GINS2;CDCA2;CDKN2C;HJURP;CENPA;AURKB;LMNB1;TPX2;MELK;KIF18B;PTTG1;KIFC1;FANCD2;PCLAF;CDK1;KIF20A;DLGAP5
CID71678945 NA-16-OJ70 BAID32 10UM	23/328	0.006868312225954242	0.9999960360446865	0	0	1.8313540393611194	9.121675732276872	TOP2A;GINS2;CDCA2;CDKN2C;HJURP;NRM;BUB1B;TYMS;CENPA;WDR76;NDC80;AURKB;TPX2;MELK;KIF18B;EME1;KIFC1;FANCD2;PCLAF;CKS2;OIP5;KIF20A;DLGAP5
CID9907182 GB-94-XG34 BAID16 10UM	34/550	0.008420836305908414	0.9999960360446865	0	0	1.6050200620559312	7.6672548790952115	ARHGAP11A;TOP2A;CDCA2;CDCA7;HJURP;BUB1B;HMMR;CENPA;AURKB;PTTG1;NUF2;PBK;PCLAF;OIP5;DLGAP5;CEP55;TCF19;EIF5AL1;CENPU;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;ASPM;TPX2;MELK;KIF18B;KIFC1;FANCD2;CKS2;CDK1;MTFR2;KIF20A
CID53378674 BB-86-UL91 BAID23 1UM	10/107	0.010705754141636093	0.9999960360446865	0	0	2.489606005708551	11.295277498596429	TPX2;GINS2;MELK;PTTG1;KIFC1;PCLAF;KIF20A;TYMS;DLGAP5;AURKB
CID5497124 GA-79-DW49 BAID44 10UM	7/63	0.012718485672761798	0.9999960360446865	0	0	3.0136964735516374	13.153877318510355	TOP2A;MAGED4B;MELK;CKAP2L;NRM;CENPA;AURKB
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	15/198	0.013735621709823495	0.9999960360446865	0	0	1.9830642806490635	8.502909045979813	TOP2A;CDCA2;CDKN2C;HJURP;AURKB;KIF15;MELK;PTTG1;KIFC1;FANCD2;PCLAF;PBK;KIF20A;DLGAP5;CEP55
CID16016585 CDN1163 BD-58-PT20 BAID27 1UM	14/185	0.01705212160113821	0.9999960360446865	0	0	1.9794764335659139	8.059399994236083	TOP2A;CDKN2C;HJURP;BUB1B;KIF23;TYMS;TPX2;MELK;FANCD2;NUF2;PCLAF;CDK1;PBK;KIF20A
CID327044 MITONAFIDE AC-35-CK01 BAID7 1UM	9/99	0.01776321530617886	0.9999960360446865	0	0	2.4127525252525253	9.724901891568779	TPX2;GINS2;MELK;CDKN2C;KIFC1;HJURP;PCLAF;KIF20A;WDR76
XA-12-UL84 BAID35 1UM	7/73	0.026672327655030414	0.9999960360446865	0	0	2.555740019845813	9.26233067500885	TOP2A;GINS2;MELK;HJURP;PCLAF;CDK1;WDR76
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	33/579	0.027136861938777998	0.9999960360446865	0	0	1.4679415636446886	5.294663020236915	ARHGAP11A;TOP2A;ERCC6L;CDCA2;CDCA7;HJURP;NRM;BUB1B;CENPA;AURKB;LMNB1;EME1;PTTG1;PBK;PCLAF;OIP5;DLGAP5;CEP55;TCF19;GINS2;CDKN2C;CKAP2L;KIF23;WDR76;ASPM;TPX2;NEIL3;MELK;KIF18B;KIFC1;FANCD2;CKS2;KIF20A
GC-69-JF03 BAID34 0.1UM	5/51	0.052577185868919914	0.9999960360446865	0	0	2.615386716189644	7.703550910158856	POLQ;PCNA;PTTG1;PCLAF;NCAPG
CID134149230 FB-98-HM88 BAID4 10UM	21/366	0.0636801635779123	0.9999960360446865	0	0	1.4713266443701227	4.0518602102650965	TOP2A;EIF5AL1;TCF19;GINS2;CDCA2;ANXA1;CDKN2C;HJURP;BUB1B;HOXC11;WDR76;AURKB;KIF15;TPX2;MELK;KIF18B;FANCD2;PCLAF;CDK1;KIF20A;DLGAP5
QE-00-EB96 BAID19 1UM	10/145	0.066534537058712	0.9999960360446865	0	0	1.7852694666853959	4.838141153600479	TOP2A;GINS2;NEIL3;MELK;CDCA2;FANCD2;CKAP2L;HJURP;PCLAF;AURKB
CID44632017 AA-30-BE85 BAID19 1UM	10/147	0.0715256847430292	0.9999960360446865	0	0	1.7590225806749287	4.6397715155894295	TOP2A;GINS2;MELK;CDCA2;CDKN2C;PCLAF;KIF20A;TYMS;HOXC11;AURKB
