Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	71/551	2.835935448004229E-35	1.1216124696856724E-31	0	0	8.001746931067045	636.5238163225318	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;ASPM;MELK;ESPL1;KIFC1;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	57/396	6.854449527157602E-31	1.3554673939954157E-27	0	0	8.8134600081985	612.140979001756	ARHGAP11A;TOP2A;HJURP;BUB1B;FOXM1;MKI67;CDC20;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;CDC25C;PIMREG;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;APOBEC3B
CID44819306 CA-90-RU33 BAID12 10UM	50/300	3.193933723675075E-30	3.2742727079484044E-27	0	0	10.33475935828877	701.8986117398094	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;CCNB2;CDC45;BUB1;CDKN2C;RRM2;UBE2C;NDC80;TPX2;KIF18B;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	54/360	3.31152739109826E-30	3.2742727079484044E-27	0	0	9.190779014308426	623.8713961567875	TOP2A;HJURP;NRM;BUB1B;MKI67;FOXM1;LMNB1;CDC20;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;CDKN2C;RRM2;UBE2C;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	62/579	2.860302354234858E-26	2.262499162199773E-23	0	0	6.313827115637389	371.3558555812923	ARHGAP11A;TOP2A;ERCC6L;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;MDK;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;GBP5;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;CCNA2;ASPM;NEIL3;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;SERPINH1;BUB1;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CENPM;APOBEC3B
CID44818584 AA-42-XZ05 BAID32 10UM	26/74	3.6923547625041255E-25	2.433877180950636E-22	0	0	26.577051926298157	1495.1814327012796	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID9907182 GB-94-XG34 BAID16 10UM	59/550	4.715024334004036E-25	2.58650801668754E-22	0	0	6.283039924113495	351.9374019201764	ARHGAP11A;TOP2A;HJURP;BUB1B;MCM10;FOXM1;MKI67;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;CTSC;TCF19;CKAP2L;KIF23;ESCO2;PIMREG;CCNA2;ASPM;MELK;ESPL1;KIFC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;SERPINH1;CENPU;CDKN2C;RRM2;UBE2C;TPX2;RAD51;KIF18B;KIF4A;CDK1;CENPM;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	28/92	5.231874622882508E-25	2.58650801668754E-22	0	0	21.556818181818183	1205.2386364605222	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TK1;CTSC;DLGAP5;RRM2;CDKN2C;UBE2C;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	64/703	3.296720704219061E-23	1.448725598354043E-20	0	0	5.268509824378369	272.7324660333439	ARHGAP11A;TOP2A;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;LMNB1;CDC20;NUF2;PBK;PCLAF;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;CKAP2L;F2R;KIF23;ESCO2;CDC25C;PIMREG;SGO1;CCNA2;MELK;ESPL1;KIFC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;TROAP;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;CENPU;CDKN2C;RRM2;UBE2C;NDC80;TPX2;WEE1;RAD51;KIF18B;KIF4A;CDK2;CDK1;CENPM;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	44/328	1.0134255568815583E-22	4.0080980774665627E-20	0	0	7.865530022238695	398.33825137088525	TOP2A;CDCA2;TROAP;HJURP;NRM;CDCA8;BUB1B;MCM10;MKI67;TYMS;FOXM1;CENPA;AURKB;AURKA;CDC20;CCNB2;CDC45;ORC1;PCLAF;SERPINH1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CDKN2C;RRM2;UBE2C;ESCO2;PIMREG;NDC80;TPX2;MELK;KIF18B;ESPL1;KIFC1;KIF4A;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B
