Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	6/51	0.00962439662997805	0.9999960278256803	0	0	3.597194950911641	16.703409602185886	SRPX;STEAP3;NNMT;SERPINH1;VIM;PDIA4
CID44193969 QE-98-XD90 BAID47 1UM	11/150	0.019744860412344	0.9999960278256803	0	0	2.1395967971385605	8.397622279494799	STEAP3;C6ORF15;MMP14;SPARC;FOXD1;COL4A2;CMTM3;COL4A1;MMP2;GPX8;TGFBI
CID10316032 SD-208 AA-86-YV75 BAID3 1UM	5/46	0.0240786207911175	0.9999960278256803	0	0	3.286192525790804	12.245769490738901	ANXA2;COL4A2;COL4A1;MMP2;TGFBI
CID132471728 LA-44-KW22 BAID44 10UM	5/48	0.028383555261567786	0.9999960278256803	0	0	3.133020650120513	11.159648309861787	NNMT;CMTM3;ANXA2;IGFBP7;APOBEC3B
CID46901383 BPKDI CC-09-YG11 BAID27 1UM	5/51	0.03570340381403391	0.9999960278256803	0	0	2.928236511996103	9.75837526186032	COL4A2;CMTM3;MMP2;SERPINH1;APOBEC3B
CID44195094 GB-06-BA49 BAID27 1UM	15/254	0.041767373449395184	0.9999960278256803	0	0	1.697591764929631	5.390939945224512	STEAP3;SPARC;FOXD1;ANXA2;MMP2;NACA2;CCDC80;COL4A2;MTHFD2;COL4A1;CYTL1;IGFBP7;TGFBI;VIM;S100A11
CB-59-ZX97 BAID28 10UM	7/94	0.05258680397413046	0.9999960278256803	0	0	2.1690236342502907	6.3884037622896725	SRPX;SPARC;ANXA2;F2R;PDPN;FN1;CLIC1
CID9852519 AVATROMBOPAG IA-23-DB04 BAID7 1UM	4/40	0.0545409926836943	0.9999960278256803	0	0	2.9906759906759905	8.699286398624384	FOXD1;CMTM3;COL4A2;COL4A1
LB-67-JK40 BAID36 10UM	10/157	0.0573996625435747	0.9999960278256803	0	0	1.8358711608761982	5.246399959504027	SPARC;CCDC80;COL4A2;SERPINH1;FN1;GPX8;COL8A1;TGFBI;EMP3;APOBEC3B
CID135496218 CA-00-AR16 BAID7 1UM	5/59	0.06047010330874514	0.9999960278256803	0	0	2.4933862433862433	6.99545989413572	SRPX;MTHFD2;GDF15;VIM;TMEM45A
