Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	63/551	4.574816795195053E-34	1.65516871650157E-30	0	0	8.968126336421953	688.4590826388195	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;NUF2;PCLAF;MYBL2;OIP5;GTSE1;DLGAP5;GAS2L3;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;PCNA;SLC43A3;CDCA7;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;CCNB2;CDC45;ORC1;E2F2;BUB1;E2F8;GINS2;CDKN2C;DDIAS;CBX2;NDC80;TPX2;RAD51;CENPH;CDK4;KIF4A;CDK2;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	56/579	1.635136217965782E-26	2.9579614183000995E-23	0	0	7.240965076448054	429.935822718778	TOP2A;ARHGAP11A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;YBX1;AQP1;LMNB1;CDC20;PTTG1;EME1;MDK;PCLAF;MYBL2;OIP5;GTSE1;DLGAP5;CKAP2L;ACTL6A;KIF23;ESCO2;PIMREG;CDC25C;WDR76;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;ASF1B;UHRF1;CDCA7;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;CBX2;TPX2;RAD51;CENPH;CDK4;KIF4A;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	47/396	3.810514949617934E-26	4.595481029239228E-23	0	0	8.906700160929466	521.3042446373413	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;HMMR;YBX1;TYMS;CENPA;NCAPH;SKA1;AURKB;CDC20;BCL2L12;CCNB2;CDC45;PTTG1;ORC1;NUF2;PCLAF;NUSAP1;MYBL2;OIP5;GTSE1;BUB1;DLGAP5;GINS2;CDKN2C;CKAP2L;CBX2;KIF23;PIMREG;CDC25C;WDR76;TPX2;MELK;RAD51;ESPL1;FANCD2;KIFC1;KIF4A;BIRC5;KIF2C;SPC24;ASF1B;EZH2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	44/360	4.866877461700246E-25	4.402090664107872E-22	0	0	9.130873203175284	511.16613947834526	TOP2A;PCNA;LRR1;HJURP;BUB1B;TYMS;CENPA;NCAPH;SKA1;AURKB;LMNB1;CDC20;BCL2L12;CCNB2;CDC45;PTTG1;ORC1;PCLAF;NUSAP1;MYBL2;GTSE1;DLGAP5;GINS2;CDKN2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;TPX2;MELK;ESPL1;FANCD2;KIFC1;KIF4A;BIRC5;KIF2C;PRR11;DTL;SPC24;ASF1B;EZH2;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	51/550	2.5003312839121727E-23	1.809239717038848E-20	0	0	6.800141950567802	353.90001807319413	TOP2A;ARHGAP11A;STEAP3;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;CDC20;PTTG1;NUF2;PCLAF;MYBL2;OIP5;GTSE1;DLGAP5;FOXD1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;ASPM;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;ASF1B;CDCA7;HMMR;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;GINS2;PPP1R14B;CDKN2C;CBX2;TPX2;RAD51;CENPH;CDK4;KIF4A;SPC25
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	57/703	3.97488958475139E-23	2.3968584196050883E-20	0	0	5.949624530663329	306.87842149725805	TOP2A;ARHGAP11A;LRR1;HJURP;BUB1B;MCM10;KIF15;LMNB1;CDC20;PTTG1;EME1;NUF2;PCLAF;MYBL2;OIP5;GTSE1;DLGAP5;CKAP2L;F2R;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;PCNA;TYMS;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;CDKN2C;CBX2;NDC80;TPX2;WEE1;RAD51;CENPH;KIF4A;CDK2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	38/300	2.7788716957316784E-22	1.436279685022459E-19	0	0	9.347493089193781	463.9612029771232	TOP2A;HJURP;BUB1B;SKA3;TYMS;CENPA;SKA1;AURKB;CDC20;BCL2L12;CCNB2;CDC45;PTTG1;PCLAF;MYBL2;BUB1;DLGAP5;GINS2;CDKN2C;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;NDC80;TPX2;MELK;RAD51;ESPL1;KIFC1;FANCD2;KIF4A;BIRC5;KIF2C;SPC24;ASF1B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	60/834	1.092565824236728E-21	4.941128940110602E-19	0	0	5.247700814092412	253.28425784160436	TOP2A;ARHGAP11A;STEAP3;LRR1;CDCA7L;RPLP0;HJURP;BUB1B;MCM10;YBX1;KIF15;LMNB1;CDC20;PTTG1;EME1;PCLAF;RCC1;MYBL2;OIP5;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;SGO1;ZNF90;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;HMMR;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;BUB1;GINS2;PPP1R14B;CDKN2C;CBX2;NDC80;TPX2;RAD51;CENPH;CDK4;KIF4A;EZH2;SPC25
TF-29-QU48 BAID52 10UM	52/674	3.6859360580089575E-20	1.4817462953196008E-17	0	0	5.545940374424415	248.16517749603142	TOP2A;STEAP3;LRR1;CDCA7L;HJURP;BUB1B;AQP1;LMNB1;CDC20;PTTG1;EME1;MDK;NUF2;PCLAF;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;PIMREG;CDC25C;WDR76;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;DTL;ASF1B;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;E2F2;GINS2;CDKN2C;DDIAS;CBX2;TPX2;MEX3A;RAD51;CENPH;KIF4A;CDK2;SPC24;SPC25
BE-04-AN21 BAID12 10UM	59/874	5.639323302062217E-20	2.0403071706861103E-17	0	0	4.8725416301489926	215.96048697884677	TOP2A;STEAP3;LRR1;HJURP;BUB1B;MCM10;HOXC11;AQP1;KIF15;LMNB1;CDC20;PTTG1;EME1;MDK;PCLAF;RCC1;MYBL2;OIP5;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;DEPDC1B;MELK;ESPL1;FANCD2;KIFC1;BIRC5;KIF2C;PRR11;ASF1B;SKA3;CENPA;NCAPH;SKA1;AURKB;BCL2L12;CCNB2;CDC45;ORC1;GINS2;CDKN2C;CBX2;TPX2;WEE1;MEX3A;RAD51;CENPH;CDK4;KIF4A;CDK2;NOX4;SPC24;EZH2;SPC25
