Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	16/525	6.372447695499219E-4	0.8625318600527242	0	0	2.7015155767611563	19.878715305436845	STEAP3;SPARC;ANXA1;ANXA2;GDF15;NRM;GPX8;EMP3;SYDE1;SERPINH1;TAGLN2;PLP2;TGFBI;IGF2BP2;CLIC1;S100A11
CB-59-ZX97 BAID28 10UM	6/94	9.473467361125158E-4	0.8625318600527242	0	0	5.731934731934732	39.904843390294594	SPARC;ANXA2;PDPN;NRM;FN1;CLIC1
CID44195094 GB-06-BA49 BAID27 1UM	10/254	0.0010333512630508164	0.8625318600527242	0	0	3.4775481111903064	23.907962796970423	STEAP3;SPARC;FOXD1;ANXA2;ANXA5;NACA2;TAGLN2;VIM;TGFBI;S100A11
DE-20-VX20 BAID36 10UM	11/303	0.001136031425818537	0.8625318600527242	0	0	3.202548304121553	21.713963793612304	TUBA1C;SPARC;ANXA1;FOXD1;ANXA2;ANXA5;TAGLN2;VIM;PLP2;TGFBI;CLIC1
CA-48-CT20 BAID36 10UM	8/182	0.0016347616802283916	0.992954244570725	0	0	3.8814902893380894	24.90464407800642	TUBA1C;FOXD1;ANXA2;ESPL1;EIF4EBP1;TAGLN2;VIM;CLIC1
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	18/698	0.0019872082819523762	0.9996951543803791	0	0	2.2750397456279807	14.153077992805473	STEAP3;SPARC;ANXA1;GDF15;TGFB1I1;NRM;GPX8;EMP3;SYDE1;LOX;PLAU;PDPN;SERPINH1;EIF4EBP1;PLP2;TGFBI;CLIC1;CD99
CID52912189 AF-30-GH67 BAID27 1UM	14/493	0.00263723902278283	0.9996951543803791	0	0	2.493524488702496	14.806605101161626	GDF15;TGFB1I1;TNC;NRM;EMP3;SYDE1;PLAU;PDPN;SERPINH1;EIF4EBP1;PLP2;TGFBI;CLIC1;CD99
CID5381 TAZAROTENE IA-14-WP20 BAID11 1UM	4/51	0.003248725680466831	0.9996951543803791	0	0	7.108907320591417	40.73043087687631	STEAP3;NNMT;SERPINH1;VIM
LD-30-MF71 BAID47 1UM	4/56	0.004557631577825325	0.9996951543803791	0	0	6.423728813559322	34.63001485898331	ANXA1;NNMT;ANXA2;VIM
XB-53-OZ95 BAID51 1UM	7/174	0.00512759708222499	0.9996951543803791	0	0	3.5247359358536148	18.586348982884054	SPARC;FOXD1;ANXA2;FN1;TAGLN2;TGFBI;S100A11
RD-89-FH52 BAID52 10UM	4/59	0.005492267220047169	0.9996951543803791	0	0	6.072419106317412	31.603383836782143	TNFRSF12A;TAGLN2;EMP3;CLIC1
CID132010322 DA-27-BW40 BAID27 1UM	13/490	0.00648502970241479	0.9996951543803791	0	0	2.3151211222859467	11.664179555068976	STEAP3;SPARC;GDF15;TGFB1I1;TNC;NRM;EMP3;ESPL1;PLAU;SERPINH1;EIF4EBP1;PLP2;TGFBI
CID118958122 FD-86-NE74 BAID16 10UM	12/442	0.0073638585093801215	0.9996951543803791	0	0	2.3659730722154224	11.61969888232618	TUBA1C;STEAP3;SPARC;ANXA2;ANXA5;SERPINH1;EIF4EBP1;TAGLN2;VIM;EMP3;TGFBI;S100A11
CID10168449 JNJ-10329670 JA-79-II25 BAID28 10UM	12/443	0.007490695338284239	0.9996951543803791	0	0	2.360361460495787	11.551830036012818	SYDE1;FOXD1;NNMT;TNFRSF12A;TGFB1I1;SERPINH1;GPX8;TAGLN2;CHST14;EMP3;PLP2;CLIC1
CID988563 GD-71-OU80 BAID12 10UM	5/106	0.009070520557428694	0.9996951543803791	0	0	4.141352433115652	19.475644201832765	TUBA1C;FOXD1;ANXA2;ANXA5;TGFBI
CID294677 13H-BENZO[G]INDENO[1,2-B]QUINOXALIN-13-ONE IE-28-SY71 BAID49 0.01UM	5/108	0.009787940411156269	0.9996951543803791	0	0	4.0605246849824415	18.786440648513334	TUBA1C;FOXD1;ANXA5;FN1;VIM
CID9819930 AB-71-NB55 BAID4 10UM	6/151	0.009879392134379165	0.9996951543803791	0	0	3.4686118479221926	16.015636379545438	ABCC3;SPARC;FOXD1;ANXA2;TGFBI;VIM
CID4877 IC-91-IX22 BAID27 1UM	5/110	0.01054343501981102	0.9996951543803791	0	0	3.982776089159068	18.130599962418113	TGIF1;FOXD1;SERPINH1;TAGLN2;TGFBI
LB-67-JK40 BAID36 10UM	6/157	0.011816105282379962	0.9996951543803791	0	0	3.3297673628799456	14.778479261289153	SPARC;SERPINH1;FN1;GPX8;TGFBI;EMP3
CID46872626 A-971432 XC-61-SE50 BAID43 1UM	4/77	0.013825018977716092	0.9996951543803791	0	0	4.570931042488971	19.56941443927757	SPARC;ANXA5;SERPINH1;TGFBI
CID1079383 FA-94-QJ71 BAID11 1UM	4/79	0.015069232976876873	0.9996951543803791	0	0	4.448587570621469	18.662270451499655	TGIF1;FOXD1;TGFBI;VIM
CID132010322 DA-27-BW40 BAID26 0.1UM	6/166	0.015201197400223788	0.9996951543803791	0	0	3.141025641025641	13.149530308795015	TGFB1I1;PDPN;EIF4EBP1;SERPINH1;TGFBI;EMP3
BE-66-UB12 BAID50 0.1UM	5/124	0.016971220177444204	0.9996951543803791	0	0	3.5117110674056855	14.314564129093124	ANXA1;ESPL1;GDF15;ANXA5;CD99
CID3455 VANOXERINE CE-15-DU45 BAID24 10UM	7/221	0.017585867756656784	0.9996951543803791	0	0	2.744013477197064	11.087624585378801	TUBA1C;STEAP3;SPARC;ANXA2;ESPL1;TAGLN2;TGFBI
CID1550579 D-AP4 AD-55-EA62 BAID45 0.01UM	3/46	0.01773029549783489	0.9996951543803791	0	0	5.804239034442155	23.405480680139043	TUBA1C;NACA2;VIM
CID54680452 BA-39-LQ60 BAID48 10UM	4/83	0.017764238190451375	0.9996951543803791	0	0	4.222484445397983	17.01901040337124	TNFRSF12A;TAGLN2;PLP2;CLIC1
CID4858 OC-40-XI13 BAID27 1UM	7/226	0.019616508392447496	0.9996951543803791	0	0	2.680678856291767	10.538777434876453	SPARC;GDF15;SERPINH1;GPX8;EMP3;PLP2;TGFBI
CID969454 EC-47-EO60 BAID8 10UM	6/176	0.019692466768694378	0.9996951543803791	0	0	2.9547511312217196	11.604841544687929	SYDE1;ANXA1;TNFRSF12A;EIF4EBP1;TAGLN2;LOXL2
CID138510 2-NITROBENZENESULFONAMIDE ND-54-FY31 BAID52 10UM	5/129	0.019783267788243346	0.9996951543803791	0	0	3.3692518874399453	13.217301435551091	STEAP3;SPARC;FOXD1;ANXA1;E2F8
CID4877 IC-91-IX22 BAID28 10UM	5/129	0.019783267788243346	0.9996951543803791	0	0	3.3692518874399453	13.217301435551091	ABCC3;FOXD1;ANXA5;TAGLN2;TGFBI
CID3074 DILAZEP BC-02-WF67 BAID24 10UM	3/48	0.019853326493363955	0.9996951543803791	0	0	5.545710267229254	21.735766450477417	SPARC;SERPINH1;PLP2
CID146680897 JB-74-LF71 BAID32 10UM	7/227	0.020041507275438377	0.9996951543803791	0	0	2.668357393679282	10.433143437061394	STEAP3;SPARC;ANXA2;SERPINH1;NRM;TAGLN2;TGFBI
CID126565 LESTAURTINIB RA-42-CM42 BAID45 0.01UM	3/50	0.022110403168695048	0.9996951543803791	0	0	5.3091839482897925	20.237053883333374	STEAP3;ANXA2;TGFBI
CID118695109 BROMODOMAININHIBITOR-9 BC-34-IH52 BAID44 10UM	5/133	0.022240903246512903	0.9996951543803791	0	0	3.2632978723404253	12.419531477396065	PLAU;TGFB1I1;EIF4EBP1;SERPINH1;EMP3
CID86294693 NVS-BET-1 CB-55-AK76 BAID22 0.1UM	10/399	0.02275815861505816	0.9996951543803791	0	0	2.16508326813457	8.190145354469129	STEAP3;SPARC;GDF15;TGFB1I1;SERPINH1;FN1;EMP3;PLP2;TGFBI;CLIC1
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	6/182	0.022781460051807922	0.9996951543803791	0	0	2.8531468531468533	10.790054249016114	SPARC;FOXD1;PDPN;SERPINH1;TGFBI;VGLL2
CID118693659 AZD-5153 HE-16-PO98 BAID14 0.1UM	7/235	0.023675322039391645	0.9996951543803791	0	0	2.5736766809728184	9.634100637269672	GDF15;TGFB1I1;SERPINH1;GPX8;EMP3;PLP2;TGFBI
CID10090485 GALUNISERTIB JD-12-CE09 BAID44 10UM	6/184	0.023879617306256463	0.9996951543803791	0	0	2.8208009219245174	10.534929873082389	SPARC;FOXD1;ANXA2;TAGLN2;TGFBI;S100A11
CID9821402 AF-76-AY17 BAID2 0.1UM	4/91	0.024007698887487803	0.9996951543803791	0	0	3.8326514708747323	14.293416475501829	SPARC;SERPINH1;CHST14;LOXL2
CID72943187 BROMOSPORINE RA-86-LI22 BAID16 10UM	11/464	0.02492259951092946	0.9996951543803791	0	0	2.047263753530563	7.558457398337838	SPARC;ESPL1;GDF15;TGFB1I1;SERPINH1;FN1;SAA1;EMP3;PLP2;TGFBI;CLIC1
CID71727020 DE-11-PO61 BAID16 10UM	6/186	0.025012737883728035	0.9996951543803791	0	0	2.7891737891737893	10.287505119899398	FOXD1;ANXA2;EIF4EBP1;SERPINH1;TAGLN2;TGFBI
CID5328940 BOSUTINIB FA-10-SN61 BAID16 10UM	8/293	0.025558387895627338	0.9996951543803791	0	0	2.3563218390804597	8.64013670323889	SPARC;ANXA1;FOXD1;ANXA2;EIF4EBP1;TAGLN2;TGFBI;IGF2BP2
CID142417841 S0-EE-WNJ9 BAID36 10UM	4/93	0.025751063889181088	0.9996951543803791	0	0	3.7461435916968195	13.708185837186928	ABCC3;EIF4EBP1;SERPINH1;EMP3
CID5289501 AROTINOIDACID CB-13-ZM26 BAID39 1UM	4/96	0.028505558943768078	0.9996951543803791	0	0	3.6234340456890197	12.890932453248952	SPARC;FOXD1;ANXA5;SERPINH1
CID4497 NIMODIPINE DF-57-FI46 BAID23 1UM	3/56	0.029685928694196142	0.9996951543803791	0	0	4.70671124910437	16.553890010155925	ANXA2;SERPINH1;VIM
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	14/664	0.02997330349804283	0.9996951543803791	0	0	1.8212389380530973	6.387901192973336	STEAP3;SPARC;ANXA1;GDF15;TGFB1I1;NRM;GPX8;EMP3;SYDE1;ESPL1;SERPINH1;PLP2;TGFBI;CLIC1
CID10218765 GW766994 JB-37-OU59 BAID8 10UM	4/98	0.030435560361536114	0.9996951543803791	0	0	3.545979084024522	12.383068183364802	MRC2;TNFRSF12A;EIF4EBP1;TAGLN2
CID10137940 BF-57-II91 BAID39 1UM	3/57	0.031065358385378723	0.9996951543803791	0	0	4.619315518049695	16.036701960188346	SPARC;GPX8;SERPINH1
NB-75-RF23 BAID49 0.01UM	3/57	0.031065358385378723	0.9996951543803791	0	0	4.619315518049695	16.036701960188346	FOXD1;ESPL1;VIM
JD-02-GA59 BAID32 10UM	4/101	0.033472038104679344	0.9996951543803791	0	0	3.4357854272234842	11.671517267308136	TUBA1C;ANXA2;SERPINH1;TAGLN2
CID46943432 MOLIBRESIB EF-73-IP33 BAID15 1UM	4/101	0.033472038104679344	0.9996951543803791	0	0	3.4357854272234842	11.671517267308136	GDF15;TGFB1I1;SERPINH1;TGFBI
CID135496218 CA-00-AR16 BAID7 1UM	3/59	0.03392362469955267	0.9996951543803791	0	0	4.4538878842676315	15.070369294942235	GDF15;VIM;VGLL2
CID44193969 QE-98-XD90 BAID47 1UM	5/150	0.03485747091846522	0.9996951543803791	0	0	2.8782098312545856	9.660676159098324	STEAP3;SPARC;FOXD1;GPX8;TGFBI
CID55245 MIFEPRISTONE BD-23-MT28 BAID25 0.01UM	4/103	0.03559109997935631	0.9996951543803791	0	0	3.3660332134908404	11.227941248083285	STEAP3;SERPINH1;TAGLN2;PLP2
