Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PF-84-RH50 BAID36 10UM	11/237	1.920296083090743E-6	0.00506574106719338	0	0	6.822155499367889	89.8002455111724	TPX2;TMEM37;TUBA1C;CCDC80;SPARC;TMSB15A;ID3;S100A4;PRR11;NES;AQP1
CID71291068 CPI-203 AE-32-DP61 BAID27 1UM	17/698	2.1704076884884284E-5	0.022719811059547273	0	0	3.5708681263287088	38.34401922104036	STEAP3;SPARC;ANXA1;CMTM3;ABCA13;AQP1;SPOCD1;TPX2;CCDC80;PDPN;ID3;S100A4;TGFBI;PRR11;NES;CLIC1;CD99
CID10217017 AD-11-RL84 BAID7 1UM	11/312	2.5837541007824796E-5	0.022719811059547273	0	0	5.102705268153773	53.90335602627636	TMEM37;STEAP3;CCDC80;SPARC;CMTM3;TMSB15A;ID3;S100A4;TGFBI;CD99;AQP1
BD-11-DV28 BAID9 10UM	10/278	5.133194957004623E-5	0.03385342074144549	0	0	5.18180374722134	51.18169746823649	TMEM37;STEAP3;CCDC80;SPARC;CMTM3;S100A4;TGFBI;NES;S100A11;AQP1
BD-11-DV28 BAID46 10UM	13/523	1.728616925607302E-4	0.08110789158512756	0	0	3.572136970730321	30.945489548489093	STEAP3;SPARC;CMTM3;AQP1;TPX2;TMEM37;CCDC80;TMSB15A;PDPN;S100A4;TGFBI;PRR11;NES
BD-11-DV28 BAID42 10UM	11/395	2.1087178985657149E-4	0.08110789158512756	0	0	3.9827938988095237	33.71140404253392	TPX2;TMEM37;CCDC80;SPARC;CMTM3;TMSB15A;S100A4;TGFBI;NES;S100A11;AQP1
BD-11-DV28 BAID10 10UM	12/464	2.1522185030170316E-4	0.08110789158512756	0	0	3.704781307697205	31.28258504281886	TMEM37;STEAP3;CCDC80;SPARC;CMTM3;TMSB15A;PDPN;S100A4;TGFBI;NES;S100A11;AQP1
TD-17-NF32 BAID36 10UM	11/408	2.7825686944633524E-4	0.0911360715440668	0	0	3.849802087081684	31.51819833198397	TPX2;TMEM37;CCDC80;SPARC;TMSB15A;ID3;S100A4;TGFBI;PRR11;NES;AQP1
CID121271792 BB-10-PR06 BAID12 10UM	9/288	3.487575725353618E-4	0.0911360715440668	0	0	4.445706497046797	35.392862976827836	TMEM37;CCDC80;SPARC;ANXA1;ID3;S100A4;NES;CLIC1;AQP1
BD-11-DV28 BAID51 10UM	14/644	3.82579420066136E-4	0.0911360715440668	0	0	3.1174371451743714	24.52978577772812	STEAP3;SPARC;CMTM3;DYNLT1;AQP1;TMEM37;CCDC80;TMSB15A;S100A4;TGFBI;PRR11;NES;SERINC2;S100A11
EA-17-BY69 BAID36 10UM	10/357	3.917711126538464E-4	0.0911360715440668	0	0	3.9859382345126413	31.269018941085182	TPX2;TMEM37;STEAP3;CCDC80;SPARC;NNMT;ID3;ADAMTS12;PRR11;AQP1
BD-11-DV28 BAID29 10UM	10/365	4.6591390886706487E-4	0.0911360715440668	0	0	3.894516032364399	29.876817463890212	TMEM37;STEAP3;CCDC80;SPARC;TMSB15A;S100A4;TGFBI;NES;S100A11;AQP1
CID9961435 TEGLARINAD OB-78-PA58 BAID7 1UM	7/182	4.7242813427896604E-4	0.0911360715440668	0	0	5.465	41.84892018431582	TMEM37;SPARC;CMTM3;TMSB15A;PDPN;TGFBI;NES
DE-20-VX20 BAID36 10UM	9/303	5.038663406936538E-4	0.0911360715440668	0	0	4.215651049152055	32.01027953176284	TUBA1C;SPARC;ANXA1;CMTM3;TGFBI;ADAMTS12;NES;CLIC1;AQP1
CID86294693 NVS-BET-1 CB-55-AK76 BAID23 1UM	14/664	5.182111725401827E-4	0.0911360715440668	0	0	3.0183717012914095	22.83436745623111	STEAP3;SPARC;ANXA1;CMTM3;AQP1;TPX2;TMEM37;CCDC80;ID3;S100A4;TGFBI;PRR11;NES;CLIC1
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	12/525	6.508851433580574E-4	0.10557323134983244	0	0	3.2539862846564853	23.87507450539083	STEAP3;CCDC80;SPARC;ANXA1;CMTM3;ID3;S100A4;TGFBI;ADAMTS12;CLIC1;S100A11;AQP1
BD-11-DV28 BAID11 10UM	11/454	6.80343037508397E-4	0.10557323134983244	0	0	3.441889712995808	25.101403678310316	TMEM37;STEAP3;CCDC80;SPARC;TMSB15A;S100A4;TGFBI;PRR11;NES;S100A11;AQP1
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	8/261	8.431040869362125E-4	0.12229659039005526	0	0	4.333121424030515	30.671653937583326	STEAP3;CCDC80;SPARC;CMTM3;ID3;TGFBI;NES;AQP1
