Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID12000240 EMRICASAN CF-03-QN99 BAID27 1UM	18/223	2.685401200647107E-5	0.10145445736044771	0	0	3.3305358171691952	35.054206959738906	CA12;CDKN2C;MMP2;NRM;AURKB;MRC2;TMEM37;MAGED4B;CDC45;COL4A2;MDK;PCLAF;SERPINH1;CENPM;TK1;NES;APOBEC3B;PPIC
CA-48-CT20 BAID36 10UM	14/182	3.3893296015124645E-4	0.6402443617257045	0	0	3.1422526041666665	25.105681485356467	CA12;FOXD1;YBX1;TUBA1C;SRPX2;ESPL1;MTHFD2;PCLAF;EIF4EBP1;ID3;CENPM;TAGLN2;VIM;CLIC1
CID146680897 JB-74-LF71 BAID32 10UM	15/227	0.0010374247574517197	0.9019515561477768	0	0	2.667078979433593	18.32553655719759	MMP2;NRM;AURKB;TMEM37;CCDC80;MDK;PCLAF;SERPINH1;CENPM;TAGLN2;MYBL2;TK1;TGFBI;NES;APOBEC3B
JD-02-GA59 BAID32 10UM	9/101	0.0013774409770475273	0.9019515561477768	0	0	3.6674375578168363	24.159347107956332	TUBA1C;CDC45;PCLAF;SERPINH1;CENPM;TAGLN2;MYBL2;TK1;NES
TF-29-QU48 BAID51 1UM	6/50	0.0019155331477540597	0.9019515561477768	0	0	5.09527972027972	31.88503399942705	ESPL1;SERPINH1;CENPM;MYBL2;TK1;AURKB
CID123773279 TP-472 HB-87-YY34 BAID28 10UM	12/171	0.0019409814263538837	0.9019515561477768	0	0	2.8360619631451436	17.709963471323746	TUBA1C;TMEM37;MAGED4B;CDKN2C;MTHFD2;MDK;NRM;PCLAF;SERPINH1;CENPM;TK1;NES
CID46173038 JF-55-EN33 BAID12 10UM	15/248	0.002472821501286572	0.9019515561477768	0	0	2.4240528123766407	14.550123625060007	MMP2;BCL2L12;TMEM37;C6ORF15;CCDC80;COL4A1;PCLAF;SERPINH1;CENPM;TAGLN2;MYBL2;TK1;TGFBI;NES;APOBEC3B
CID2733526 TAMOXIFEN AE-37-MC27 BAID23 1UM	18/326	0.0026280637237247025	0.9019515561477768	0	0	2.2049033643521834	13.100450825639824	CDKN2C;RPLP0;NRM;YBX1;AURKB;BCL2L12;TMEM37;CCDC80;ESPL1;MTHFD2;PCLAF;SERPINH1;EIF4EBP1;CENPM;OIP5;MYBL2;TK1;NES
CID59292964 EE-08-SZ54 BAID32 10UM	11/157	0.0029842096420654805	0.9019515561477768	0	0	2.827610054528528	16.440913425170734	TUBA1C;TMEM37;MAGED4B;CMTM3;RPLP0;PCLAF;SERPINH1;CENPM;MYBL2;TK1;NES
BD-11-DV28 BAID32 10UM	11/161	0.0036185438774322446	0.9019515561477768	0	0	2.7516375404530744	15.468835573414117	TMEM37;MAGED4B;CDKN2C;MDK;MMP2;PCLAF;SERPINH1;CENPM;MYBL2;TK1;VIM
CID54764565 URMC-099 GF-90-DG49 BAID32 10UM	15/261	0.003995969555271568	0.9019515561477768	0	0	2.294401221898716	12.670759706449735	CA12;PPP1R14B;CMTM3;MMP2;CCDC80;ESPL1;ID3;CENPM;TAGLN2;MYBL2;TK1;TGFBI;NES;SPC24;APOBEC3B
CID2577 CARMOFUR BF-19-KU00 BAID8 10UM	11/164	0.004161648405689135	0.9019515561477768	0	0	2.69726505488927	14.785986343403573	BCL2L12;TMEM37;MTHFD2;TGFB1I1;PCLAF;EIF4EBP1;SERPINH1;CENPM;MYBL2;TK1;PDIA4
CID132010322 DA-27-BW40 BAID26 0.1UM	11/166	0.00455843432729153	0.9019515561477768	0	0	2.6621860319448793	14.351248738103308	CCDC80;CMTM3;TGFB1I1;MMP2;PDPN;EIF4EBP1;SERPINH1;ID3;MYBL2;TGFBI;EMP3
CID18191179 MK6-83 EC-37-MB09 BAID12 10UM	9/122	0.0049686325060964475	0.9019515561477768	0	0	2.9826432276065113	15.82176095996027	TMEM37;MAGED4B;MMP2;PCLAF;SERPINH1;NOX4;CENPM;TK1;APOBEC3B
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	13/217	0.005055154665942261	0.9019515561477768	0	0	2.393743072277644	12.656549845884737	CDKN2C;AURKB;BCL2L12;TUBA1C;DEPDC1B;CDC45;PCLAF;SERPINH1;CENPM;TAGLN2;MYBL2;TK1;NES
CID16071550 BE-33-IM71 BAID12 10UM	12/193	0.005187895213397831	0.9019515561477768	0	0	2.48850957714384	13.09311200305331	NMB;C6ORF15;GNG5;CMTM3;MDK;SERPINH1;ID3;CENPM;TAGLN2;TK1;TGFBI;SERINC2
CID44612496 CB-13-ZM96 BAID32 10UM	13/218	0.005250987163196374	0.9019515561477768	0	0	2.3819426615318786	12.503624959056912	CDKN2C;RPLP0;TMEM37;MAGED4B;MDK;PCLAF;SERPINH1;CENPM;TAGLN2;MYBL2;TK1;VIM;NES
CID59069608 VC-79-JG59 BAID40 10UM	14/244	0.005397406525345139	0.9019515561477768	0	0	2.2878396739130435	11.946725204674228	CA12;FOXD1;AURKB;CDC45;MDK;PCLAF;SERPINH1;EIF4EBP1;CENPM;MYBL2;TK1;TGFBI;NES;SPC24
CID16725726 GSK-690693 JF-16-BD66 BAID40 10UM	13/219	0.005452853121988746	0.9019515561477768	0	0	2.370256817880732	12.352869064096241	CA12;CDKN2C;AURKB;TMEM37;CCDC80;ESPL1;MDK;SERPINH1;CENPM;MYBL2;TK1;NES;APOBEC3B
CID44632017 AA-30-BE85 BAID19 1UM	10/147	0.005577214027705924	0.9019515561477768	0	0	2.73538731398178	14.194105049207044	CA12;TUBA1C;TMEM37;CCDC80;CDKN2C;MTHFD2;PCLAF;CENPM;AURKB;APOBEC3B
CID3385 FLUOROURACIL AA-45-AA67 BAID44 10UM	11/171	0.005682592373755398	0.9019515561477768	0	0	2.5783252427184467	13.330838108535103	BCL2L12;TMEM37;CDKN2C;MTHFD2;PCLAF;EIF4EBP1;SERPINH1;CENPM;MYBL2;TK1;AURKB
CID52912189 AF-30-GH67 BAID27 1UM	23/493	0.00603389907349658	0.9019515561477768	0	0	1.848872721120088	9.448408646671592	APOBEC3C;CA12;NMB;CMTM3;SLC43A3;GDF15;TGFB1I1;MMP2;NRM;EMP3;TMEM37;SYDE1;C6ORF15;CCDC80;MDK;PLAU;PDPN;SERPINH1;EIF4EBP1;ID3;TGFBI;CLIC1;APOBEC3B
KB-46-EJ60 BAID35 1UM	10/149	0.006122921400452326	0.9019515561477768	0	0	2.6957503764430317	13.736778172504275	TMEM37;NNMT;CDKN2C;MDK;SERPINH1;ID3;CENPM;TK1;PPIC;APOBEC3B
CID5497124 GA-79-DW49 BAID44 10UM	6/63	0.006154035065378514	0.9019515561477768	0	0	3.9305668016194333	20.009129292315595	TUBA1C;MAGED4B;NRM;CENPM;TK1;AURKB
CID71481097 SELINEXOR OB-17-DQ74 BAID6 0.1UM	12/198	0.006331355801616395	0.9019515561477768	0	0	2.4209865695995982	12.255617180358549	CA12;TUBA1C;TMEM37;CDKN2C;CDC45;MTHFD2;PCLAF;EIF4EBP1;ID3;CENPM;MYBL2;AURKB
CID71678945 NA-16-OJ70 BAID32 10UM	17/328	0.006367439500601395	0.9019515561477768	0	0	2.057947302257121	10.406129591126735	CDKN2C;NRM;AURKB;BCL2L12;TUBA1C;TMEM37;CDC45;ESPL1;PCLAF;SERPINH1;CENPM;TAGLN2;OIP5;MYBL2;TK1;TGFBI;NES
TB-06-VB30 BAID23 1UM	24/527	0.006805507552805679	0.9019515561477768	0	0	1.8031413114935884	8.997716725483485	APOBEC3C;GDF15;TGFB1I1;MMP2;NRM;EMP3;HOXD11;HOXA10;TMEM37;C6ORF15;CDC45;CCDC80;MAGED4B;MDK;PDPN;SERPINH1;PCLAF;CENPM;ID3;MYBL2;TK1;TGFBI;NES;APOBEC3B
PB-63-WH18 BAID36 10UM	13/226	0.007045937462595977	0.9019515561477768	0	0	2.2915282468037597	11.35521925865857	CA12;TUBA1C;CCDC80;COL4A2;MTHFD2;PCLAF;SERPINH1;ID3;CENPM;TAGLN2;TK1;NES;APOBEC3B
CID137636547 GD-39-YG36 BAID52 10UM	8/108	0.00769951466277479	0.9019515561477768	0	0	2.992123552123552	14.561462443404402	TUBA1C;MAGED4B;CCDC80;ESPL1;SERPINH1;CENPM;MYBL2;TK1
CID78357767 QA-81-IM40 BAID32 10UM	16/311	0.008537256077315173	0.9019515561477768	0	0	2.039641076769691	9.715454210843014	CDKN2C;RPLP0;AURKB;PDIA4;BCL2L12;TUBA1C;ZNF90;MAGED4B;MTHFD2;PCLAF;SERPINH1;EIF4EBP1;CENPM;MYBL2;TK1;NES
