Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID59568656 UD-49-HQ53 BAID41 0.01UM	3/45	0.11246880254886653	0.9999959630241192	0	0	2.6749243049821083	5.844922012688153	GNG5;CYTL1;CHST14
CID4282 N(1),N(11)-DIETHYLNORSPERMINE HC-24-QF06 BAID43 1UM	3/48	0.12970345593755514	0.9999959630241192	0	0	2.4962106615285804	5.098521614933933	MTHFD2;ANXA5;VIM
CID132471728 LA-44-KW22 BAID44 10UM	3/48	0.12970345593755514	0.9999959630241192	0	0	2.4962106615285804	5.098521614933933	CMTM3;ANXA2;IGFBP7
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.13564436250018766	0.9999959630241192	0	0	2.44181955265142	4.878068826292758	ABCC3;SPARC;HOXA7
ND-36-VC68 BAID48 10UM	3/49	0.13564436250018766	0.9999959630241192	0	0	2.44181955265142	4.878068826292758	FKBP10;CDKN2C;CHST14
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	10/260	0.14429310245490687	0.9999959630241192	0	0	1.5021875	2.9080977216640544	APOBEC3C;CA12;TMEM37;SPARC;PLAU;TGFB1I1;COL8A1;ID3;EMP3;PLP2
CID104974 SAREDUTANT CC-01-PR23 BAID44 10UM	3/54	0.16664820937708924	0.9999959630241192	0	0	2.2018587781933583	3.9454451713043195	CA12;SPARC;ANXA2
CID9981344 CB-06-FE89 BAID50 0.1UM	4/83	0.17154453038967435	0.9999959630241192	0	0	1.8961927569522505	3.342821712003374	SPARC;ANXA2;ANXA5;ID3
CID135564890 EPACADOSTAT BD-33-HT38 BAID16 10UM	3/55	0.17308236621273718	0.9999959630241192	0	0	2.1594041796353936	3.7875683542363783	SRPX;CMTM3;VIM
CID10209082 RE-97-MC55 BAID11 1UM	3/55	0.17308236621273718	0.9999959630241192	0	0	2.1594041796353936	3.7875683542363783	CMTM3;ANXA5;VIM
CID3672 IBUPROFEN AA-98-MW52 BAID12 10UM	3/56	0.17958557684403612	0.9999959630241192	0	0	2.1185516414003707	3.6377722973755193	FAM156B;CMTM3;ANXA5
LD-30-MF71 BAID47 1UM	3/56	0.17958557684403612	0.9999959630241192	0	0	2.1185516414003707	3.6377722973755193	ANXA1;ANXA2;VIM
AA-70-VU13 BAID51 1UM	3/58	0.1927844174454613	0.9999959630241192	0	0	2.0413032054650553	3.360358068119007	PLAU;MTHFD2;VIM
CA-48-CT20 BAID36 10UM	7/182	0.199162134898506	0.9999959630241192	0	0	1.4992621359223302	2.4192634125599866	CA12;SRPX2;ANXA2;MTHFD2;ID3;VIM;CLIC1
CID135496218 CA-00-AR16 BAID7 1UM	3/59	0.19947276450355514	0.9999959630241192	0	0	2.004748142031379	3.2318095147733814	SRPX;MTHFD2;VIM
RD-89-FH52 BAID52 10UM	3/59	0.19947276450355514	0.9999959630241192	0	0	2.004748142031379	3.2318095147733814	TNFRSF12A;EMP3;CLIC1
CID9949093 BC-30-IU38 BAID28 10UM	3/60	0.2062156065110841	0.9999959630241192	0	0	1.9694757124023932	3.109473294672598	CA12;SPARC;ANXA2
CID176077 MIGALASTAT FE-37-OL13 BAID12 10UM	3/62	0.21985066971913275	0.9999959630241192	0	0	1.9025178798863525	2.8819469019147386	SPARC;CMTM3;MTHFD2
CID23649154 TEGOBUVIR BB-82-TP51 BAID21 0.01UM	4/93	0.22508617436529996	0.9999959630241192	0	0	1.68226974968548	2.5087216949572637	SPARC;CMTM3;ANXA5;CHST14
CID5092 ROLIPRAM AA-68-MW92 BAID43 1UM	3/63	0.22673595739677324	0.9999959630241192	0	0	1.8707129094412331	2.776080193358898	ANXA2;MTHFD2;EMP3
FE-25-GD89 BAID36 10UM	3/63	0.22673595739677324	0.9999959630241192	0	0	1.8707129094412331	2.776080193358898	SPARC;MTHFD2;HOXA4
LB-67-JK40 BAID36 10UM	6/157	0.2277969290046316	0.9999959630241192	0	0	1.4882950870167873	2.2016359776683183	HOXA10;SPARC;GPX8;COL8A1;ID3;EMP3
CB-59-ZX97 BAID28 10UM	4/94	0.23066624940684427	0.9999959630241192	0	0	1.6634920634920636	2.439982579635484	SRPX;SPARC;ANXA2;CLIC1
CID9930560 DD-28-MZ39 BAID20 10UM	3/64	0.23366187789055384	0.9999959630241192	0	0	1.8399507249123472	2.6750678816962976	PRDX4;MTHFD2;VIM
CID10477021 BA-90-AA10 BAID47 1UM	3/64	0.23366187789055384	0.9999959630241192	0	0	1.8399507249123472	2.6750678816962976	ANXA2;CMTM3;VIM
CID4858 OC-40-XI13 BAID27 1UM	8/226	0.23931357800852474	0.9999959630241192	0	0	1.3750758576375255	1.9663317245254126	SPARC;CMTM3;MTHFD2;GPX8;COL8A1;ID3;EMP3;PLP2
BB-84-DG64 BAID49 0.01UM	3/65	0.24062509440959093	0.9999959630241192	0	0	1.8101808689166512	2.578630129193047	CMTM3;ANXA5;VIM
CID3730790 GE-77-FY84 BAID12 10UM	3/66	0.2476223258212078	0.9999959630241192	0	0	1.7813560877144692	2.486506916341725	ANXA2;VIM;S100A11
CID24785538 BMS-754807 GC-46-CA74 BAID7 1UM	3/67	0.25465034841312023	0.9999959630241192	0	0	1.7534320809248556	2.3984563699879478	CA12;MTHFD2;TNC
CID53389 RIMCAZOLE KA-92-WY22 BAID20 10UM	3/67	0.25465034841312023	0.9999959630241192	0	0	1.7534320809248556	2.3984563699879478	CMTM3;MTHFD2;VIM
CID125101 6,7,4'-TRIHYDROXYISOFLAVAN MA-88-CA03 BAID50 0.1UM	2/38	0.26114984314518047	0.9999959630241192	0	0	2.0771367521367523	2.7888903524169675	ANXA5;GPX8
CID25022340 XEVINAPANT EC-08-AP40 BAID7 1UM	3/68	0.261705997256096	0.9999959630241192	0	0	1.726367274344153	2.3142532563665648	MTHFD2;ANXA5;VIM
CID51039095 AZD-4547 BD-81-LB65 BAID38 0.1UM	2/39	0.2708886307369197	0.9999959630241192	0	0	2.020893970893971	2.639383516952877	ABCC3;VIM
CID70983932 GSK2830371 LD-98-VO32 BAID10 0.1UM	3/70	0.2758878168169963	0.9999959630241192	0	0	1.6746613752049004	2.156563534683332	SPARC;CMTM3;VIM
CID2746 TACEDINALINE GE-47-OO30 BAID43 1UM	3/71	0.28300796362681335	0.9999959630241192	0	0	1.6499489969398164	2.082698018667596	CDKN2C;ANXA2;EMP3
CID443389 SB221284 AC-57-ZF49 BAID27 1UM	4/104	0.2880481927165755	0.9999959630241192	0	0	1.4963706563706565	1.8624240347310956	SPARC;CMTM3;MTHFD2;ANXA5
CID59259130 FD-20-DQ38 BAID27 1UM	3/72	0.29014369087122327	0.9999959630241192	0	0	1.6259529194940103	2.0119199861097505	CMTM3;MTHFD2;ANXA5
CID137350911 US11458138,EXAMPLE133 AC-93-LT43 BAID35 1UM	2/41	0.29034751034638984	0.9999959630241192	0	0	1.917061143984221	2.3707849678387705	TNFRSF12A;ID3
CID11238078 FA-16-KA99 BAID45 0.01UM	2/41	0.29034751034638984	0.9999959630241192	0	0	1.917061143984221	2.3707849678387705	CMTM3;VIM
CID5311268 GALNON FB-67-OY39 BAID10 0.1UM	3/73	0.2972921451696296	0.9999959630241192	0	0	1.6026424442609413	1.9440693423146878	CDKN2C;VIM;CD99
CID988563 GD-71-OU80 BAID12 10UM	4/106	0.29978100051974227	0.9999959630241192	0	0	1.4668786433492316	1.7671532037455902	ANXA2;CMTM3;ANXA5;ID3
CID90016622 US9592235,EXAMPLE314 IC-27-TE11 BAID4 10UM	3/74	0.30445053793895355	0.9999959630241192	0	0	1.5799886021330294	1.8789961394985528	SPARC;MTHFD2;CYTL1
CID3925 QX-314 GB-81-GK41 BAID39 1UM	5/141	0.3078678555419225	0.9999959630241192	0	0	1.375440892024121	1.6203857723329025	SPARC;CMTM3;MTHFD2;ANXA5;CHST14
CID14101198 UBO-QIC BC-06-OP01 BAID22 0.1UM	2/43	0.3097404042509346	0.9999959630241192	0	0	1.8233583489681051	2.1370137977323562	MMP14;TNFRSF12A
CID3235911 CE-24-LQ98 BAID43 1UM	2/43	0.3097404042509346	0.9999959630241192	0	0	1.8233583489681051	2.1370137977323562	CMTM3;VIM
CID135342 5-PHOSPHONO-D-NORVALINE EA-39-WW34 BAID20 10UM	2/44	0.3193979212715558	0.9999959630241192	0	0	1.7798534798534797	2.0313780155692	MTHFD2;COL8A1
CID146673503 AD-72-OW33 BAID36 10UM	2/44	0.3193979212715558	0.9999959630241192	0	0	1.7798534798534797	2.0313780155692	SPARC;MTHFD2
CID1103147 CF-83-HM41 BAID18 0.1UM	2/44	0.3193979212715558	0.9999959630241192	0	0	1.7798534798534797	2.0313780155692	SRPX;CMTM3
CID151253 1,1'-BIPHENYL-4-YL-BORONICACID CC-90-FE70 BAID43 1UM	4/110	0.3233983280814212	0.9999959630241192	0	0	1.4112333357616376	1.5930996837129103	SPARC;MTHFD2;ANXA5;VIM
CID147525 TAZAROTENICACID IF-03-OL58 BAID12 10UM	4/110	0.3233983280814212	0.9999959630241192	0	0	1.4112333357616376	1.5930996837129103	SPARC;CMTM3;ANXA5;IGFBP7
CID23497 MELEVODOPA DE-99-OT37 BAID45 0.01UM	4/110	0.3233983280814212	0.9999959630241192	0	0	1.4112333357616376	1.5930996837129103	FKBP10;GNG5;CMTM3;TNC
CID5717 ZAFIRLUKAST AB-96-JV50 BAID10 0.1UM	2/45	0.3290225303771464	0.9999959630241192	0	0	1.7383720930232558	1.9324249168745915	MTHFD2;VIM
CID10680 FLAVONE WD-26-EB85 BAID49 0.01UM	2/45	0.3290225303771464	0.9999959630241192	0	0	1.7383720930232558	1.9324249168745915	TNFRSF12A;CDCA7L
CID16750360 LA-93-IR67 BAID10 0.1UM	2/45	0.3290225303771464	0.9999959630241192	0	0	1.7383720930232558	1.9324249168745915	ANXA5;VIM
CID3034011 IDOXIFENE EC-55-XG31 BAID28 10UM	4/111	0.32932518950269596	0.9999959630241192	0	0	1.3979720708692671	1.552740997463871	TMEM37;SPARC;MTHFD2;TNC
CID178052 POZANICLINE UC-58-DM11 BAID19 1UM	6/180	0.3302405343211423	0.9999959630241192	0	0	1.2900294039026998	1.429267435199608	HOXA10;CA12;SPARC;CSRP2;ANXA2;MTHFD2
CID71398 MASOPROCOL ID-70-SM63 BAID42 0.1UM	3/78	0.3331300079759487	0.9999959630241192	0	0	1.4954142581888246	1.643792925924379	SRPX;GNG5;HOXA7
CID71654913 JC-67-FV32 BAID44 10UM	5/146	0.33355729721497124	0.9999959630241192	0	0	1.326323442665679	1.4562243864641509	TMEM37;SPARC;ANXA1;ANXA2;MTHFD2
CID135400439 HA-32-YH61 BAID21 0.01UM	2/46	0.338609376407443	0.9999959630241192	0	0	1.6987762237762238	1.8396185633466875	HOXA10;ANXA5
CID2736690 HF-01-QN73 BAID1 0.01UM	2/46	0.338609376407443	0.9999959630241192	0	0	1.6987762237762238	1.8396185633466875	SPARC;ANXA5
BE-48-IT75 BAID36 10UM	2/46	0.338609376407443	0.9999959630241192	0	0	1.6987762237762238	1.8396185633466875	SPARC;CHST14
