Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	43/551	2.0141620634518644E-24	6.969000739543451E-21	0	0	9.216335246229814	502.8601996199971	ARHGAP11A;ERCC6L;PCNA;SLC43A3;TROAP;CDCA7;HJURP;NRM;BUB1B;MCM10;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;CDC45;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;GAS2L3;DDIAS;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;CENPI;FANCD2;CDK2;PLP2;MTFR2;PRR11;DTL;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	38/579	5.211063950579688E-19	9.015140634502859E-16	0	0	7.425016757733948	312.58082590980257	ARHGAP11A;ERCC6L;UHRF1;TROAP;CDCA7;HJURP;NRM;BUB1B;MCM10;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;CA12;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;FANCD2;PLP2;PRR11;NES;APOBEC3B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	41/703	1.2739989542370027E-18	1.469345460553343E-15	0	0	6.6147783084946585	272.55777909315964	ARHGAP11A;PCNA;TROAP;HJURP;NRM;BUB1B;MCM10;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;CA12;POLQ;PLK1;F2R;KIF23;WDR76;CCNA2;TPX2;WEE1;MELK;KIF18B;RAD51;ESPL1;CENPI;FANCD2;CDK2;PRR11;NES;DTL;APOBEC3B
CID101476432 RC-52-AC88 BAID28 10UM	44/834	2.6167812975455883E-18	2.263515822376934E-15	0	0	6.0094936708860756	243.29186708384637	ARHGAP11A;TROAP;CDCA7L;TNC;HJURP;NRM;BUB1B;MCM10;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;CA12;ANXA2;PLK1;KIF23;WDR76;CCNA2;TPX2;ZNF90;MELK;KIF18B;RAD51;ESPL1;CENPI;FANCD2;VIM;TGFBI;MTFR2;PRR11;NES;DTL;EZH2;APOBEC3B
CID53378674 BB-86-UL91 BAID24 10UM	30/360	5.528307092432468E-18	3.825588507963268E-15	0	0	9.30622009569378	369.7980111079612	PCNA;TROAP;HJURP;NRM;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;CDC45;ORC1;MYBL2;GTSE1;DLGAP5;PLK1;KIF23;WDR76;CCNA2;TPX2;MELK;KIF18B;ESPL1;FANCD2;MTFR2;PRR11;DTL;SPC24;EZH2
BE-04-AN21 BAID12 10UM	42/874	4.784165544870701E-16	2.7588687975421044E-13	0	0	5.373649524632671	189.56112860406526	TROAP;HJURP;NRM;NCAPG;BUB1B;MCM10;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;BCL2L12;MAGED4B;CDC45;EME1;ORC1;MYBL2;GTSE1;DLGAP5;POLQ;PLK1;KIF23;WDR76;CCNA2;TPX2;DEPDC1B;WEE1;MELK;KIF18B;RAD51;ESPL1;FANCD2;CDK2;NOX4;PLP2;MTFR2;PRR11;NES;SPC24;EZH2;APOBEC3B
CID71678945 NA-16-OJ70 BAID30 0.1UM	29/396	6.458409793920947E-16	3.192299698138068E-13	0	0	8.031399346619684	280.9060497667201	ARHGAP11A;TROAP;HJURP;BUB1B;MKI67;AURKB;AURKA;CDC20;BCL2L12;CDC45;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;PLK1;KIF23;WDR76;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;FANCD2;NES;SPC24;EZH2;APOBEC3B
CID9907182 GB-94-XG34 BAID16 10UM	33/550	1.88600712439274E-15	8.156980812998601E-13	0	0	6.575150756627603	222.9259786983415	ARHGAP11A;TROAP;CDCA7;HJURP;BUB1B;MCM10;MKI67;AURKB;AURKA;CDC20;BCL2L12;CDC45;MYBL2;GTSE1;DLGAP5;FOXD1;ANXA2;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;RAD51;ESPL1;FANCD2;VIM;MTFR2;PRR11;NES;APOBEC3B
TF-29-QU48 BAID52 10UM	36/674	3.2029970826723664E-15	1.2036005233978462E-12	0	0	5.870178547090092	195.91538593768945	TROAP;CDCA7L;HJURP;NRM;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;DLGAP5;CA12;DDIAS;PLK1;KIF23;WDR76;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;FANCD2;CDK2;MTFR2;PRR11;NES;DTL;SPC24;APOBEC3B
CID71678945 NA-16-OJ70 BAID32 10UM	26/328	3.4786142294735438E-15	1.2036005233978462E-12	0	0	8.643886120024579	287.77348751384835	TROAP;HJURP;NRM;BUB1B;MCM10;MKI67;AURKB;AURKA;CDC20;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;DLGAP5;PLK1;WDR76;TPX2;MELK;KIF18B;ESPL1;FANCD2;TGFBI;PRR11;NES
CID44819306 CA-90-RU33 BAID12 10UM	24/300	3.4855085017255844E-14	1.0963508559973203E-11	0	0	8.653061224489797	268.1374040670536	TROAP;PLK1;HJURP;BUB1B;KIF23;MKI67;WDR76;AURKB;AURKA;CDC20;BCL2L12;CCNA2;TPX2;MELK;KIF18B;RAD51;CDC45;ESPL1;FANCD2;MYBL2;BUB1;DLGAP5;SPC24;APOBEC3B
CID71678945 NA-16-OJ70 BAID31 1UM	33/636	1.1682260184489535E-13	3.205018285171413E-11	0	0	5.612232952882645	167.12174540889612	ERCC6L;TROAP;HJURP;NRM;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;CDC45;ORC1;MYBL2;GTSE1;BUB1;DLGAP5;E2F8;PLK1;KIF23;WDR76;CCNA2;TPX2;DEPDC1B;MELK;KIF18B;RAD51;ESPL1;FANCD2;PLP2;MTFR2;NES;APOBEC3B
CID6474906 FD-20-OG99 BAID3 1UM	39/890	1.2041976215961957E-13	3.205018285171413E-11	0	0	4.792743019262356	142.57352598335325	ARHGAP11A;TROAP;CDCA7L;CDCA7;HJURP;BUB1B;MCM10;TTK;MKI67;AURKB;KIF15;AURKA;CDC20;RAD51AP1;BCL2L12;BRIP1;CDC45;ORC1;MYBL2;GTSE1;DLGAP5;E2F8;CA12;FOXD1;ANXA2;PLK1;KIF23;WDR76;CCNA2;TPX2;ASPM;MELK;KIF18B;ESPL1;FANCD2;PLP2;TGFBI;PRR11;APOBEC3B
CID6419417 ZYGOSPORINA BE-42-IC00 BAID40 10UM	33/645	1.7280837927070184E-13	4.270835659118774E-11	0	0	5.527104959630911	162.42278418538712	ERCC6L;UHRF1;TROAP;CDCA7L;CDCA7;HJURP;BUB1B;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;CDC45;ORC1;MYBL2;CYTL1;BUB1;DLGAP5;ANXA2;DDIAS;F2R;KIF23;WDR76;CCNA2;TPX2;DEPDC1B;CCDC80;MELK;KIF18B;ESPL1;AJUBA;DTL
CID60148924 BB-11-JI42 BAID32 10UM	29/546	2.3352885209080706E-12	5.313331776428566E-10	0	0	5.657154141391637	151.51491258014005	PCNA;TROAP;HJURP;MCM10;MKI67;AURKB;AURKA;CDC20;RAD51AP1;BCL2L12;CDC45;EME1;ORC1;MYBL2;GTSE1;DLGAP5;PLK1;WDR76;CCNA2;TPX2;DEPDC1B;MELK;KIF18B;FANCD2;TGFBI;MTFR2;PRR11;NES;SPC24
BE-04-AN21 BAID11 1UM	20/240	2.4662878572128348E-12	5.313331776428566E-10	0	0	8.89090909090909	237.63894758048426	TROAP;PLK1;HJURP;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;TPX2;MELK;KIF18B;ESPL1;FANCD2;MYBL2;GTSE1;PRR11;NES;DLGAP5;APOBEC3B
CID134149230 FB-98-HM88 BAID4 10UM	24/366	2.6105965375516073E-12	5.313331776428566E-10	0	0	6.95954171142141	185.62101562392434	ANXA1;CDCA7L;PLK1;HJURP;BUB1B;MKI67;WDR76;AURKB;KIF15;CDC20;BCL2L12;CCNA2;TPX2;MELK;KIF18B;RAD51;CDC45;ESPL1;FANCD2;MYBL2;GTSE1;NES;DTL;DLGAP5
CID72710839 BLU-9931 HF-79-EC41 BAID4 10UM	28/520	4.167167065864826E-12	8.010221137717945E-10	0	0	5.717140921409214	149.81072964232453	TROAP;HJURP;BUB1B;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;BCL2L12;CDC45;MYBL2;GTSE1;DLGAP5;CA12;ANXA2;CMTM3;PLK1;KIF23;CCNA2;TPX2;MELK;KIF18B;VIM;TGFBI;PRR11;NES;APOBEC3B
CB-25-VR83 BAID36 10UM	24/378	5.176173116966961E-12	9.426083676160887E-10	0	0	6.719474230370114	174.61867520892062	ARHGAP11A;ANXA2;HJURP;NCAPG;BUB1B;KIF23;MCM10;AURKB;AURKA;CDC20;CCNA2;TPX2;MELK;CDC45;ESPL1;FANCD2;EXO1;MYBL2;VIM;GTSE1;NES;DTL;BUB1;DLGAP5
CID9820526 VC-19-YG34 BAID27 1UM	27/506	1.2796230934942359E-11	2.213747951745028E-9	0	0	5.637035274265255	141.3873884518772	TROAP;HJURP;NRM;BUB1B;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC20;BCL2L12;EME1;ORC1;MYBL2;GTSE1;DLGAP5;CA12;CMTM3;TPX2;MELK;KIF18B;RAD51;ESPL1;CENPI;PLP2;NES;APOBEC3B
CID151345176 AC-45-YY00 BAID36 10UM	13/92	2.51221148942555E-11	4.139167501624954E-9	0	0	15.661529994496423	382.2552316929688	PLK1;HJURP;BUB1B;KIF23;MKI67;AURKB;AURKA;CDC20;CCNA2;TPX2;ESPL1;PRR11;DLGAP5
CID50908894 AC-97-KP88 BAID40 10UM	33/779	2.8852085064445058E-11	4.537646105589996E-9	0	0	4.502602113231352	109.27292510513594	ARHGAP11A;UHRF1;HJURP;BUB1B;MCM10;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;CDC45;ORC1;MYBL2;DLGAP5;CA12;ANXA2;DDIAS;PLK1;KIF23;WDR76;TPX2;DEPDC1B;MELK;KIF18B;RAD51;ESPL1;FANCD2;CDK2;MTFR2;NES;DTL;SPC24
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	18/217	3.465796008919711E-11	5.213762691679218E-9	0	0	8.76804816160008	211.18276865468545	TROAP;PLK1;HJURP;BUB1B;MKI67;WDR76;AURKB;CDC20;BCL2L12;TPX2;DEPDC1B;MELK;KIF18B;CDC45;MYBL2;PLP2;NES;DLGAP5
CID91623361 LLY-507 AE-52-NW93 BAID20 10UM	27/593	4.4993761991449945E-10	6.4866006871007E-8	0	0	4.7490616818323295	102.20888838344295	ARHGAP11A;PCNA;TROAP;TNC;HJURP;BUB1B;MCM10;MKI67;AURKB;AURKA;CDC20;CDC45;MYBL2;CYTL1;CA12;ANXA2;CCNA2;TPX2;CCDC80;MELK;ESPL1;FANCD2;TGFBI;AJUBA;NES;EZH2;APOBEC3B
CID51039095 AZD-4547 BD-81-LB65 BAID40 10UM	22/395	5.111305347051193E-10	7.074046600318852E-8	0	0	5.781054512957998	123.68217017693804	CA12;ARHGAP11A;POLQ;ANXA2;HJURP;BUB1B;SIX1;KIF23;MKI67;WDR76;AURKB;KIF15;DEPDC1B;CCDC80;MELK;CDC45;ESPL1;ORC1;FANCD2;MYBL2;TGFBI;NES
CID56237 LONAPALENE AC-49-NG46 BAID44 10UM	25/538	1.3804703132201347E-9	1.8370874168237176E-7	0	0	4.815064727345429	98.23137274411368	ERCC6L;TROAP;HJURP;NRM;NCAPG;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;MAGED4B;MYBL2;DLGAP5;ANXA2;PLK1;KIF23;TPX2;MELK;KIF18B;ESPL1;TGFBI;NES;APOBEC3B
CID9939609 DARAPLADIB JF-62-LU77 BAID20 10UM	32/859	1.4850970798856042E-9	1.9031244060756262E-7	0	0	3.9008978877768916	79.29661627366104	PCNA;UHRF1;TROAP;BUB1B;MCM10;MKI67;AURKB;AURKA;LMNB1;CDC20;CDC45;ORC1;MYBL2;DLGAP5;ANXA2;DDIAS;F2R;KIF23;CCNA2;TPX2;ASPM;DEPDC1B;CCDC80;MELK;KIF18B;ESPL1;FANCD2;TGFBI;AJUBA;NES;SPC24;APOBEC3B
CID53378674 BB-86-UL91 BAID23 1UM	12/107	2.299908540948413E-9	2.8188090135486855E-7	0	0	11.954453441295547	237.77881864437055	CDC20;TPX2;MELK;CDC45;TROAP;PLK1;MYBL2;MKI67;GTSE1;DLGAP5;AURKB;AURKA
BB-84-DG64 BAID52 10UM	21/390	2.3625855893905166E-9	2.8188090135486855E-7	0	0	5.551211341259141	110.26653770869437	TROAP;PLK1;HJURP;NRM;BUB1B;MKI67;AURKB;AURKA;CDC20;BCL2L12;TPX2;MELK;CDC45;ESPL1;FANCD2;MYBL2;GTSE1;PRR11;NES;EZH2;APOBEC3B
CID44259 STAUROSPORINE AA-58-FJ71 BAID14 0.1UM	32/886	3.1524985816412532E-9	3.635881697492912E-7	0	0	3.7721859584433703	73.84080606811398	TROAP;HJURP;BUB1B;MCM10;MKI67;AURKB;AURKA;LMNB1;CDC20;CDC45;ORC1;MYBL2;DLGAP5;CA12;ANXA1;ANXA2;F2R;KIF23;WDR76;TPX2;CCDC80;MELK;KIF18B;RAD51;SMO;ESPL1;FANCD2;AJUBA;NES;DTL;SPC24;APOBEC3B
HD-19-IW09 BAID52 10UM	27/661	4.690954927764281E-9	5.20042233006769E-7	0	0	4.224693940929374	81.01961585084072	TROAP;NRM;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;MYBL2;BUB1;DLGAP5;E2F8;NMB;ANXA2;CMTM3;PLK1;TPX2;CCDC80;MELK;KIF18B;ESPL1;FANCD2;CDK2;TGFBI;NES;APOBEC3B
CID11758267 FB-39-CW59 BAID31 1UM	28/708	4.809639149195551E-9	5.20042233006769E-7	0	0	4.096200980392157	78.45307821481158	ARHGAP11A;PCNA;CDCA7;HJURP;BUB1B;MKI67;AURKB;KIF15;AURKA;LMNB1;CDC45;ORC1;MYBL2;BUB1;DLGAP5;E2F8;PLK1;ANXA5;CCNA2;TPX2;DEPDC1B;MELK;KIF18B;LOX;ESPL1;FANCD2;VGLL2;EZH2
CID44818584 AA-42-XZ05 BAID32 10UM	10/74	8.215839080109228E-9	8.614182793084221E-7	0	0	14.669642857142858	273.1077036156614	CDC20;TPX2;TROAP;PLK1;HJURP;MYBL2;MKI67;PRR11;AURKB;AURKA
ID-69-QF93 BAID52 10UM	19/346	1.0306517845614345E-8	1.0249042798501721E-6	0	0	5.623366348684711	103.4164588977089	ANXA2;CMTM3;TGFB1I1;BUB1B;MKI67;AURKA;CDC20;TPX2;CCDC80;MAGED4B;MELK;COL4A2;MYBL2;VIM;PLP2;TGFBI;PRR11;NES;APOBEC3B
EA-73-UC67 BAID36 10UM	14/177	1.0367528842415035E-8	1.0249042798501721E-6	0	0	8.17910536660909	150.36947535446234	PLK1;HJURP;BUB1B;MKI67;AURKB;AURKA;CDC20;TPX2;MELK;TGFBI;NES;BUB1;DLGAP5;APOBEC3B
CID119182 CLOFARABINE CB-32-EI69 BAID20 10UM	26/641	1.0693355960816523E-8	1.0277503229006992E-6	0	0	4.176431145754757	76.65272720956784	TROAP;CDCA7;HJURP;BUB1B;MKI67;KIF15;AURKA;CDC20;IGF2BP2;BUB1;DLGAP5;ANXA2;KIF23;WDR76;CCNA2;TPX2;ZNF90;ASPM;DEPDC1B;MELK;KIF18B;ESPL1;FANCD2;VIM;EZH2;APOBEC3B
CID5327655 AB-80-CK34 BAID11 1UM	15/209	1.1449192564097184E-8	1.0706542235615204E-6	0	0	7.387226552677898	135.07799813418876	TROAP;PLK1;HJURP;MKI67;AURKB;CDC20;TPX2;CCDC80;MAGED4B;KIF18B;ESPL1;MYBL2;MTFR2;PRR11;NES
CID134823928 NVS-ZP7-4 GA-81-DL34 BAID36 10UM	25/600	1.2353427349115365E-8	1.120277197307531E-6	0	0	4.282051282051282	77.97329469579027	HJURP;BUB1B;MKI67;AURKB;AURKA;CDC20;ORC1;GTSE1;BUB1;DLGAP5;CA12;ANXA2;CMTM3;PLK1;KIF23;TPX2;CCDC80;MELK;COL4A2;ESPL1;COL4A1;TGFBI;PRR11;NES;SPC24
CID100516 10-DEAZAAMINOPTERIN AD-18-XC14 BAID6 0.1UM	21/429	1.262740193496928E-8	1.120277197307531E-6	0	0	5.0104936446940584	91.12783521614931	CA12;ARHGAP11A;TROAP;PLK1;HJURP;BUB1B;KNL1;MKI67;AURKB;AURKA;LMNB1;CDC20;TPX2;ASPM;WEE1;MELK;KIF18B;ESPL1;GTSE1;BUB1;DLGAP5
FF-96-HL81 BAID36 10UM	21/431	1.3689068886962704E-8	1.1841044587222738E-6	0	0	4.985537443314132	90.27147235486058	CA12;FOXD1;ANXA2;DDIAS;HJURP;BUB1B;KIF23;AURKB;AURKA;TPX2;CCDC80;MELK;CDC45;ESPL1;MYBL2;TGFBI;MTFR2;PRR11;NES;DTL;DLGAP5
CID457193 DACTINOMYCIN BB-44-SX65 BAID43 1UM	20/392	1.4338149720693374E-8	1.209999952039002E-6	0	0	5.2172043010752684	94.22449416653657	TROAP;PLK1;HJURP;BUB1B;MKI67;WDR76;AURKB;AURKA;CDC20;BCL2L12;TPX2;MELK;KIF18B;CDC45;ORC1;MYBL2;PLP2;GTSE1;PRR11;NES
CID24856436 ADAVOSERTIB JA-85-SW39 BAID27 1UM	30/847	1.6068732351777118E-8	1.3237574746940197E-6	0	0	3.664819944598338	65.7702899963057	ERCC6L;HJURP;NRM;BUB1B;MCM10;TTK;MKI67;AURKB;KIF15;AURKA;MAGED4B;CDC45;ORC1;MYBL2;CA12;CMTM3;ANXA5;KIF23;WDR76;TPX2;CCDC80;MELK;RAD51;CENPI;FANCD2;PRR11;NES;EZH2;APOBEC3B;PPIC
CID49787174 SE-15-AV21 BAID25 10UM	29/805	1.9760520142033843E-8	1.5874220073019807E-6	0	0	3.718330004857775	65.9616119256962	TROAP;HJURP;NRM;BUB1B;MKI67;AURKB;AURKA;LMNB1;CDC20;BCL2L12;MAGED4B;MYBL2;GTSE1;DLGAP5;NMB;ANXA2;CMTM3;PLK1;F2R;TPX2;CCDC80;MELK;ESPL1;CENPI;TGFBI;PRR11;NES;SPC24;APOBEC3B
CID53358942 IDASANUTLIN GD-82-CS38 BAID18 0.1UM	15/218	2.0186869457019408E-8	1.5874220073019807E-6	0	0	7.056470022828307	125.028183344022	TROAP;PLK1;HJURP;BUB1B;MKI67;AURKB;AURKA;CDC20;TPX2;MELK;CDC45;MYBL2;PRR11;NES;APOBEC3B
CID16725726 GSK-690693 JF-16-BD66 BAID40 10UM	15/219	2.1462647859011133E-8	1.6502391464928559E-6	0	0	7.0215208034433285	123.97865383837879	CA12;ANXA2;TROAP;BUB1B;MKI67;AURKB;AURKA;CDC20;CCDC80;MELK;ESPL1;MYBL2;PRR11;NES;APOBEC3B
TD-17-NF32 BAID36 10UM	20/408	2.7887217506958192E-8	2.0976037516103336E-6	0	0	4.997938144329897	86.93962085465998	CA12;PLK1;HJURP;BUB1B;MKI67;AURKB;KIF15;AURKA;CDC20;TPX2;CCDC80;MELK;COL4A2;FANCD2;CHST14;TGFBI;PRR11;NES;DLGAP5;APOBEC3B
