Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID121499143 XMU-MP-1 BA-88-HT15 BAID24 10UM	16/525	0.007026496975677824	0.9999938455477257	0	0	2.086838294777058	10.34668407081581	APOBEC3C;STEAP3;SPARC;ANXA1;ANXA2;SLC43A3;GDF15;GPX8;EMP3;ADAMTS12;AQP1;MDK;COL8A1;S100A4;TGFBI;S100A11
CID9949093 BC-30-IU38 BAID28 10UM	4/60	0.013245959514387281	0.9999938455477257	0	0	4.660417655434267	20.1519382218905	CA12;SPARC;ANXA2;MDK
CID11211051 RB-22-TT44 BAID28 10UM	6/134	0.01694964810811367	0.9999938455477257	0	0	3.0675689799331103	12.508037688008567	CA12;TMEM37;SPARC;ANXA2;MDK;TGFBI
CID46943432 MOLIBRESIB EF-73-IP33 BAID16 10UM	9/260	0.0187256195288325	0.9999938455477257	0	0	2.3553892537956282	9.369414972977461	APOBEC3C;CA12;TMEM37;SPARC;PLAU;COL8A1;EMP3;TGFBI;AQP1
CID4858 OC-40-XI13 BAID27 1UM	8/226	0.023026570061080207	0.9999938455477257	0	0	2.4065733790504433	9.075444535950446	COL3A1;SPARC;GDF15;GPX8;COL8A1;EMP3;TGFBI;AQP1
CID117996749 CCT251236 NF-21-HQ00 BAID13 0.01UM	8/227	0.02356448078286459	0.9999938455477257	0	0	2.395461463954615	8.978224905352866	CA12;TMEM37;SPARC;ANXA2;COL8A1;S100A4;TGFBI;SERINC2
BD-11-DV28 BAID9 10UM	9/278	0.027353776138746767	0.9999938455477257	0	0	2.1957450015070834	7.902268206289126	TMEM37;STEAP3;SPARC;ANXA2;MDK;S100A4;TGFBI;S100A11;AQP1
CID130201615 AE-78-XJ76 BAID24 10UM	4/78	0.03138222369194067	0.9999938455477257	0	0	3.5235700817096167	12.196886007991408	SPARC;ANXA2;MDK;TGFBI
LB-67-JK40 BAID36 10UM	6/157	0.03353125581624046	0.9999938455477257	0	0	2.5972668276152295	8.818441012742827	SPARC;FN1;GPX8;COL8A1;TGFBI;EMP3
BD-11-DV28 BAID32 10UM	6/161	0.03720829822691935	0.9999938455477257	0	0	2.5297227316862663	8.3258828320854	TMEM37;STEAP3;SPARC;ANXA2;MDK;S100A4
CID44422459 EB-66-IH06 BAID37 0.01UM	3/49	0.03866216724096745	0.9999938455477257	0	0	4.243233515692485	13.802787773534764	ABCC3;SPARC;S100A4
CID22479762 UF-27-OP66 BAID4 10UM	4/84	0.03958939699280188	0.9999938455477257	0	0	3.2583056478405314	10.521700882914367	CA12;SPARC;MDK;PLAU
CID142417841 S0-EE-WNJ9 BAID35 1UM	5/123	0.04033872324845797	0.9999938455477257	0	0	2.7651129943502823	8.877238753903386	IKBIP;PLAU;MDK;SERINC2;AQP1
CID2475352 N-[2-(1H-INDOL-3-YL)ETHYL]BENZENESULFONAMIDE CF-26-ME34 BAID28 10UM	3/50	0.04068062516853927	0.9999938455477257	0	0	4.152740594617444	13.297089253959472	SPARC;ANXA2;MDK
CID126565 LESTAURTINIB RA-42-CM42 BAID45 0.01UM	3/50	0.04068062516853927	0.9999938455477257	0	0	4.152740594617444	13.297089253959472	STEAP3;ANXA2;TGFBI
CID135923992 DD-38-BM78 BAID43 1UM	3/50	0.04068062516853927	0.9999938455477257	0	0	4.152740594617444	13.297089253959472	TMEM37;SPARC;MDK
CID667730 DB-28-SP20 BAID28 10UM	6/165	0.04113403647662131	0.9999938455477257	0	0	2.4655770808354895	7.86745764593819	CA12;STEAP3;SPARC;ANXA2;MDK;ANG
CID3503 GOSSYPOL FA-95-HA77 BAID44 10UM	5/129	0.04781523228791211	0.9999938455477257	0	0	2.630510752688172	7.997833888953984	TMEM37;SPARC;ANXA2;MDK;PPIC
CID104974 SAREDUTANT CC-01-PR23 BAID44 10UM	3/54	0.0492732531383145	0.9999938455477257	0	0	3.826256330346708	11.518462106830082	CA12;SPARC;ANXA2
CID45483510 IC-05-WD74 BAID16 10UM	6/173	0.04974596303960205	0.9999938455477257	0	0	2.3465043157831493	7.041451074507595	TUBA1C;TMEM37;SPARC;ANXA2;TGFBI;AQP1
XB-53-OZ95 BAID51 1UM	6/174	0.050894606928462066	0.9999938455477257	0	0	2.3324175824175826	6.945935631000246	SPARC;ANXA2;FN1;TGFBI;S100A11;AQP1
CID10137940 BF-57-II91 BAID39 1UM	3/57	0.056250385496766045	0.9999938455477257	0	0	3.613134657836645	10.398393373218793	SPARC;GPX8;ADAMTS12
