Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	79/551	2.3977069280610247E-30	9.59322541917216E-27	0	0	5.772837281949771	393.72505179937605	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;FOXM1;MKI67;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;MYBL2;GTSE1;DLGAP5;CEP55;GAS2L3;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ASPM;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA7;CDCA8;HMMR;SKA3;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;E2F2;BUB1;E2F8;CENPU;GINS2;CDKN2C;RRM2;DDIAS;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK2;CDK1;CENPM;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	62/396	4.8914074414143487E-26	9.785260586549405E-23	0	0	6.2551958030840975	364.5511371095126	ARHGAP11A;TOP2A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;NUSAP1;MYBL2;GTSE1;DLGAP5;CEP55;CKAP2L;KIF23;CDC25C;PIMREG;WDR76;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;SERPINH1;BUB1;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;NES;SPC24;EZH2;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	58/360	4.630933055219422E-25	6.176121051310969E-22	0	0	6.436981342892724	360.67609505948485	TOP2A;LRR1;HJURP;BUB1B;MKI67;FOXM1;LMNB1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;GTSE1;DLGAP5;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;TROAP;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;EZH2;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	52/300	4.4357468203073536E-24	4.436855757012431E-21	0	0	6.974053295932679	375.01120851024314	TOP2A;HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;MYBL2;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;PIMREG;CDC25C;WDR76;CCNA2;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;TROAP;CDCA8;SKA3;CENPA;SKA1;AURKB;AURKA;CCNB2;BUB1;GINS2;CDKN2C;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF18B;KIF4A;CDK1;CENPM;SPC24;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	71/579	3.538089072794427E-23	2.831178876050101E-20	0	0	4.742164929473744	245.15034345496352	ARHGAP11A;TOP2A;ERCC6L;LRR1;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;LMNB1;CDC20;TUBA1C;EME1;PTTG1;MDK;PBK;PCLAF;MYBL2;GTSE1;DLGAP5;CEP55;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;CCNA2;ASPM;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;UHRF1;TROAP;CDCA7;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;SERPINH1;E2F2;BUB1;CA12;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CENPM;NES;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	68/550	1.9938029693312554E-22	1.329534280049059E-19	0	0	4.76765712334563	238.224704355719	ARHGAP11A;TOP2A;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;MYBL2;GTSE1;DLGAP5;CEP55;EIF5AL1;CKAP2L;KIF23;ESCO2;PIMREG;WDR76;CCNA2;ASPM;MELK;ESPL1;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;TROAP;CDCA7;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;TPX2;KIF18B;CENPH;KIF4A;CDK1;CENPM;NES;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	27/74	4.252747839953203E-22	2.4307491582361094E-19	0	0	18.503617021276597	910.5501654530833	TOP2A;TROAP;HJURP;CDCA8;MKI67;FOXM1;AURKB;AURKA;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;PIMREG;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID151345176 AC-45-YY00 BAID36 10UM	29/92	1.4475708146324084E-21	7.239663536680332E-19	0	0	14.864097255401603	713.2447898519988	TOP2A;HJURP;BUB1B;CDCA8;MKI67;CENPA;AURKB;AURKA;CDC20;TUBA1C;PTTG1;DLGAP5;RRM2;CDKN2C;UBE2C;PLK1;KIF23;PIMREG;CDC25C;CCNA2;TPX2;ESPL1;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
BE-04-AN21 BAID11 1UM	43/240	1.1344805580635947E-20	5.04339634756938E-18	0	0	7.167165009387386	329.1558299499524	TOP2A;CDCA2;LRR1;TROAP;HJURP;CDCA8;MKI67;FOXM1;CENPA;NCAPH;AURKB;LMNB1;AURKA;CDC20;TUBA1C;CCNB2;PTTG1;PCLAF;MYBL2;GTSE1;DLGAP5;GINS2;CDKN2C;RRM2;UBE2C;CBX2;PLK1;PIMREG;TPX2;MELK;KIF18B;ESPL1;KIFC1;FANCD2;KIF4A;CDK1;CENPM;BIRC5;KIF2C;KIF20A;PRR11;NES;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	82/834	2.0926471316170945E-20	8.372681173599996E-18	0	0	3.7256539137224283	168.8215692641653	ARHGAP11A;TOP2A;CDCA7L;LRR1;RPLP0;TNC;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;KIF15;LMNB1;CDC20;TUBA1C;PTTG1;EME1;PBK;PCLAF;RCC1;MYBL2;GTSE1;CEP55;DLGAP5;EIF5AL1;CKAP2L;KIF23;ESCO2;CDC25C;PIMREG;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;KIF20A;PRR11;DTL;CDCA2;TROAP;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;ORC1;SERPINH1;EIF4EBP1;E2F2;BUB1;CA12;GINS2;PPP1R14B;CDKN2C;RRM2;UBE2C;CBX2;PLK1;NDC80;TPX2;KIF18B;CENPH;CENPI;KIF4A;CDK1;CENPM;NES;EZH2;SPC25
