Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	77/551	4.596254577484626E-29	1.9147996569800953E-25	0	0	5.634684318507335	367.66160758202415	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;GAS2L3;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;ASPM;MELK;MTHFD2;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;KIF2C;MTFR2;KIF20A;PRR11;DTL;ASF1B;CDCA2;PCNA;SLC43A3;CDCA8;HMMR;SKA3;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;CCNB2;CDC45;ORC1;BUB1;E2F8;CENPU;GINS2;RRM2;DDIAS;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPH;CENPI;KIF4A;CDK1;CENPM;PLP2;APOBEC3B;SPC25
CID71678945 NA-16-OJ70 BAID30 0.1UM	63/396	4.9061705498429944E-27	9.653824149674048E-24	0	0	6.445631678189818	390.4718796293997	ARHGAP11A;LRR1;HJURP;BUB1B;YBX1;FOXM1;MKI67;CDC20;TUBA1C;CSRP2;PTTG1;NUF2;PBK;PCLAF;NUSAP1;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;WDR76;CCNA2;TMEM37;MELK;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;CDCA8;HMMR;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;GINS2;RRM2;UBE2C;PLK1;TPX2;RAD51;KIF4A;CDK1;CENPM;NES;SPC24;APOBEC3B;SPC25
CID9907182 GB-94-XG34 BAID16 10UM	74/550	6.951865686275118E-27	9.653824149674048E-24	0	0	5.362310617677728	322.97619101786273	ARHGAP11A;STEAP3;LRR1;RPLP0;HJURP;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;NUF2;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;ASPM;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;GNG5;SERPINH1;EIF4EBP1;CENPU;GINS2;PPP1R14B;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPH;KIF4A;MFAP2;CDK1;CENPM;VIM;NES;APOBEC3B;SPC25
CID44819306 CA-90-RU33 BAID12 10UM	53/300	4.248702573559014E-25	4.425023730361714E-22	0	0	7.21446816988395	404.8616233456424	HJURP;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;MYBL2;TK1;DLGAP5;CEP55;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;ASF1B;CDCA2;CDCA8;SKA3;TYMS;CENPA;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;BUB1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;KIF4A;CDK1;CENPM;SPC24;APOBEC3B;SPC25
CID53378674 BB-86-UL91 BAID24 10UM	56/360	1.2654871564392401E-23	1.0544038987451749E-20	0	0	6.207829644783336	327.3016101103117	LRR1;HJURP;NRM;BUB1B;MKI67;FOXM1;CDC20;TUBA1C;PTTG1;PCLAF;PBK;NUSAP1;MYBL2;TK1;GTSE1;DLGAP5;TCF19;CKAP2L;KIF23;ESCO2;WDR76;CCNA2;MELK;MTHFD2;KIFC1;FANCD2;BIRC5;KIF2C;KIF20A;MTFR2;PRR11;DTL;ASF1B;CDCA2;PCNA;CDCA8;TYMS;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;GINS2;RRM2;UBE2C;PLK1;TPX2;KIF4A;CDK1;CENPM;SPC24;SPC25
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	71/579	2.2057407080828454E-23	1.531519298312189E-20	0	0	4.786465552967403	249.7022197066547	ARHGAP11A;ERCC6L;LRR1;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;CSRP2;PTTG1;MDK;PBK;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;CEP55;TCF19;CKAP2L;ACTL6A;GPX8;KIF23;ESCO2;WDR76;CCNA2;TMEM37;ASPM;NEIL3;MELK;KIFC1;FANCD2;CKS2;BIRC5;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;BUB1;CA12;GINS2;RRM2;UBE2C;PLK1;TPX2;RAD51;CENPH;KIF4A;MFAP2;CENPM;PLP2;NES;APOBEC3B;SPC25
CID101476432 RC-52-AC88 BAID28 10UM	83/834	3.2874304071197325E-21	1.9564907251515435E-18	0	0	3.8193750324243	180.13769428402534	ARHGAP11A;STEAP3;LRR1;RPLP0;TNC;HJURP;NRM;BUB1B;MCM10;YBX1;FOXM1;MKI67;CDC20;TUBA1C;PTTG1;PBK;PCLAF;RCC1;MYBL2;OIP5;TK1;GTSE1;CEP55;DLGAP5;TCF19;EIF5AL1;ANXA2;CKAP2L;KIF23;ESCO2;WDR76;SGO1;CCNA2;TMEM37;NEIL3;MELK;MTHFD2;KIFC1;FANCD2;CKS2;DEPDC1;BIRC5;TAGLN2;KIF2C;MTFR2;KIF20A;PRR11;DTL;CDCA2;CDCA8;HMMR;CENPA;NCAPH;SKA1;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;EIF4EBP1;BUB1;CA12;GINS2;PPP1R14B;RRM2;UBE2C;PLK1;NDC80;TPX2;RAD51;CENPH;CENPI;KIF4A;MFAP2;CDK1;CENPM;VIM;TGFBI;NES;APOBEC3B;SPC25
CID44818584 AA-42-XZ05 BAID32 10UM	26/74	6.316296373954079E-21	3.2892113367365867E-18	0	0	17.567813199105146	817.0992639745217	HJURP;CDCA8;MKI67;FOXM1;TYMS;AURKB;AURKA;CDC20;TUBA1C;PTTG1;PCLAF;MYBL2;TK1;RRM2;CKAP2L;UBE2C;PLK1;ESCO2;TPX2;KIFC1;KIF4A;BIRC5;CENPM;KIF2C;KIF20A;PRR11
CID71678945 NA-16-OJ70 BAID32 10UM	50/328	8.419312807854144E-21	3.897206350835596E-18	0	0	6.005684962519495	277.60533278928244	LRR1;HJURP;NRM;BUB1B;MCM10;MKI67;FOXM1;CDC20;TUBA1C;PCLAF;OIP5;MYBL2;TK1;GTSE1;DLGAP5;ESCO2;WDR76;TMEM37;MELK;KIFC1;FANCD2;CKS2;BIRC5;TAGLN2;KIF2C;KIF20A;PRR11;ASF1B;CDCA2;CDCA8;TYMS;CENPA;AURKB;AURKA;BCL2L12;CCNB2;CDC45;ORC1;SERPINH1;GINS2;RRM2;UBE2C;PLK1;NDC80;TPX2;KIF4A;MFAP2;CENPM;TGFBI;NES
CID219077 OSANETANT SB-75-UH17 BAID32 10UM	40/217	6.719517116779383E-20	2.799350830850291E-17	0	0	7.455685634962238	329.1438094022648	CDCA2;HJURP;CDCA8;BUB1B;MKI67;FOXM1;CENPA;NCAPH;AURKB;CDC20;BCL2L12;TUBA1C;CDC45;PTTG1;PCLAF;SERPINH1;MYBL2;TK1;DLGAP5;EIF5AL1;TCF19;GINS2;RRM2;UBE2C;PLK1;WDR76;TPX2;MELK;CENPH;KIF4A;MFAP2;CENPM;BIRC5;TAGLN2;KIF2C;KIF20A;PLP2;NES;ASF1B;SPC25
