Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CID5330286 PALBOCICLIB AE-04-SN76 BAID7 1UM	55/551	1.8402788994242827E-26	7.002261212309396E-23	0	0	7.377457157258065	437.16815719747825	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;KIF15;LMNB1;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;GAS2L3;CKAP2L;ESCO2;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;MTFR2;DTL;ASF1B;PCNA;SLC43A3;CDCA7;CDCA8;TYMS;NCAPH;SKA1;CDC45;ORC1;E2F2;CENPU;GINS2;CDKN2C;RRM2;DDIAS;CBX2;TPX2;KIF18B;RAD51;CENPH;CDK4;CDK2;CENPM
CID53378674 BB-86-UL91 BAID24 10UM	42/360	6.214267554914759E-23	8.561174047554618E-20	0	0	8.485739359368145	433.8979950468203	TOP2A;PCNA;LRR1;HJURP;NRM;CDCA8;BUB1B;TYMS;FOXM1;NCAPH;SKA1;LMNB1;BCL2L12;CDC45;ORC1;PCLAF;NUSAP1;MYBL2;TK1;GTSE1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;ESCO2;PIMREG;WDR76;CCNA2;TPX2;MELK;KIF18B;ESPL1;TMSB15A;FANCD2;KIFC1;CENPM;KIF2C;MTFR2;DTL;SPC24;ASF1B
CID53358942 IDASANUTLIN GD-82-CS38 BAID19 1UM	52/579	6.749940116337413E-23	8.561174047554618E-20	0	0	6.486564030334448	331.138597563215	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;AQP1;LMNB1;CSRP2;EME1;MDK;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;CKAP2L;ACTL6A;ESCO2;PIMREG;WDR76;CCNA2;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;ASF1B;UHRF1;CDCA7;CDCA8;NCAPH;SKA1;BCL2L12;CDC45;ORC1;E2F2;GINS2;CDKN2C;RRM2;CBX2;TPX2;KIF18B;RAD51;CENPH;CDK4;CENPM
CID71678945 NA-16-OJ70 BAID30 0.1UM	41/396	1.902594494270362E-20	1.8098430126746818E-17	0	0	7.381606193452104	335.18754216700694	TOP2A;ARHGAP11A;LRR1;HJURP;CDCA8;BUB1B;TYMS;FOXM1;NCAPH;SKA1;BCL2L12;CSRP2;CDC45;ORC1;PCLAF;NUSAP1;MYBL2;OIP5;TK1;GTSE1;TCF19;GINS2;CDKN2C;RRM2;CKAP2L;CBX2;PIMREG;WDR76;CCNA2;TPX2;MELK;KIF18B;RAD51;ESPL1;TMSB15A;FANCD2;KIFC1;CENPM;KIF2C;SPC24;ASF1B
CID5330286 PALBOCICLIB AE-04-SN76 BAID8 10UM	53/703	7.460272021345886E-20	5.67726700824422E-17	0	0	5.34414323607427	235.36734416457557	TOP2A;ARHGAP11A;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;KIF15;LMNB1;EME1;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;CKAP2L;F2R;ESCO2;PIMREG;WDR76;SGO1;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;DTL;ASF1B;PCNA;CDCA8;TYMS;NCAPH;SKA1;BCL2L12;CDC45;ORC1;E2F2;CENPU;GINS2;POLQ;CDKN2C;RRM2;CBX2;TPX2;KIF18B;RAD51;CENPH;CDK2;CENPM
TF-29-QU48 BAID52 10UM	51/674	3.443449294172645E-19	2.1837207607211523E-16	0	0	5.336166142615273	226.85452672237219	TOP2A;STEAP3;LRR1;CDCA7L;HJURP;NRM;BUB1B;FOXM1;AQP1;LMNB1;EME1;MDK;PCLAF;MYBL2;TK1;GTSE1;TCF19;EIF5AL1;CKAP2L;PIMREG;WDR76;CCNA2;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;MTFR2;DTL;ASF1B;CDCA8;NCAPH;SKA1;BCL2L12;CDC45;ORC1;E2F2;GINS2;CDKN2C;RRM2;DDIAS;CBX2;TPX2;MEX3A;KIF18B;RAD51;CENPH;CDK2;CENPM;SPC24
BE-04-AN21 BAID12 10UM	58/874	4.904958447318093E-19	2.6661952702921917E-16	0	0	4.6989078087375304	198.1006441337726	TOP2A;STEAP3;LRR1;HJURP;NRM;BUB1B;MCM10;FOXM1;HOXC11;AQP1;KIF15;LMNB1;MAGED4B;EME1;MDK;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;EIF5AL1;CKAP2L;ESCO2;PIMREG;WDR76;CCNA2;DEPDC1B;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;MTFR2;ASF1B;CDCA8;NCAPH;SKA1;BCL2L12;CDC45;ORC1;CENPU;GINS2;POLQ;CDKN2C;RRM2;CBX2;TPX2;MEX3A;KIF18B;RAD51;CENPH;CDK4;CDK2;NOX4;CENPM;SPC24
CID71678945 NA-16-OJ70 BAID32 10UM	35/328	5.284720794632125E-18	2.5135453279469043E-15	0	0	7.510083772882408	298.7639888905979	TOP2A;LRR1;HJURP;NRM;CDCA8;BUB1B;MCM10;TYMS;FOXM1;BCL2L12;CDC45;EME1;ORC1;PCLAF;OIP5;MYBL2;TK1;GTSE1;GINS2;CDKN2C;RRM2;CBX2;ESCO2;PIMREG;WDR76;TPX2;MELK;KIF18B;ESPL1;TMSB15A;KIFC1;FANCD2;CENPM;KIF2C;ASF1B
CID9907182 GB-94-XG34 BAID16 10UM	44/550	1.5227786908432712E-17	6.437969909620719E-15	0	0	5.569579758615675	215.67311956748267	TOP2A;ARHGAP11A;STEAP3;LRR1;CDCA7;HJURP;CDCA8;BUB1B;MCM10;FOXM1;NCAPH;SKA1;BCL2L12;CDC45;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;EIF5AL1;CENPU;GINS2;CDKN2C;RRM2;CKAP2L;CBX2;ESCO2;PIMREG;WDR76;CCNA2;TPX2;MELK;KIF18B;RAD51;CENPH;ESPL1;FANCD2;KIFC1;CDK4;CENPM;KIF2C;MTFR2;ASF1B
CID101476432 RC-52-AC88 BAID28 10UM	53/834	1.2662657616509838E-16	4.4870919105749696E-14	0	0	4.417095677513356	161.68906498169082	TOP2A;ARHGAP11A;STEAP3;LRR1;CDCA7L;HJURP;NRM;BUB1B;MCM10;FOXM1;KIF15;LMNB1;EME1;PCLAF;MYBL2;OIP5;TK1;GTSE1;TCF19;EIF5AL1;CKAP2L;ESCO2;PIMREG;WDR76;SGO1;CCNA2;ZNF90;NEIL3;MELK;ESPL1;TMSB15A;FANCD2;KIFC1;KIF2C;MTFR2;DTL;CDCA8;NCAPH;SKA1;BCL2L12;CDC45;ORC1;E2F2;GINS2;CDKN2C;RRM2;CBX2;TPX2;KIF18B;RAD51;CENPH;CDK4;CENPM
